year,eût_VERB envoyé_VERB,eût_VERB renvoyé_VERB
1800,1.7292904885835014e-07,3.144164395507687e-08
1801,2.0240051412656612e-07,3.809892135109294e-08
1802,1.4993528907325526e-07,5.594600338554301e-08
1803,2.0673596168307995e-07,4.095712213825209e-08
1804,2.2988213288499537e-07,7.415552971679062e-08
1805,2.2174445746259153e-07,8.528632911009026e-09
1806,3.976703339958476e-07,1.0085842205853623e-07
1807,2.5337899955957255e-07,1.0533734240425474e-07
1808,2.3567169193938753e-07,1.8128591960930862e-08
1809,3.637039185377944e-07,3.162642769893864e-08
1810,1.6380887757350138e-07,4.212228077449254e-08
1811,2.3315813280078146e-07,3.259199843341776e-08
1812,6.934741492159446e-08,4.000812481308458e-08
1813,1.8117172828624462e-07,6.614205716459765e-08
1814,1.6362720600682223e-07,1.2586708564299443e-08
1815,1.8610842289490392e-07,9.440282155992463e-08
1816,1.4832664874120383e-07,4.4034472068688046e-08
1817,2.16405396713526e-07,3.580808893843823e-08
1818,2.64650140024969e-07,4.410835785506606e-08
1819,3.157070125325845e-07,4.140419918030602e-08
1820,3.465012525794009e-07,5.814575843032799e-08
1821,2.889416066409467e-07,5.325203744632745e-08
1822,3.5791447317023994e-07,4.6117833107928163e-08
1823,6.067969593459566e-07,1.4231069656034379e-07
1824,3.343181731452205e-07,6.484256687144807e-08
1825,4.666884763082635e-07,9.421824387345623e-08
1826,3.496769807043165e-07,3.6112734136395375e-08
1827,3.9081237446225714e-07,5.622536392024813e-08
1828,2.880102556446218e-07,6.328887991458032e-08
1829,2.211879461810895e-07,3.3435387791769244e-08
1830,2.421346039227501e-07,5.635891398014792e-08
1831,2.759643393801525e-07,5.456922025359745e-08
1832,1.5965363786563103e-07,2.841293600397421e-08
1833,2.988576284224109e-07,3.8225973497674204e-08
1834,1.7735608537350345e-07,4.1071935186209885e-08
1835,2.3823727701710595e-07,3.857174846189082e-08
1836,2.856318701560667e-07,3.8308275662757296e-08
1837,2.859693211121339e-07,5.287997240088771e-08
1838,4.0587201510788873e-07,7.637716237240966e-08
1839,3.027308821401675e-07,4.1249702320556025e-08
1840,2.9427962999761803e-07,4.33138822586443e-08
1841,1.9454262201179517e-07,2.43980835534785e-08
1842,2.6765977167997335e-07,4.293289634915709e-08
1843,2.0378843146318104e-07,3.2488010504039266e-08
1844,2.502783900126815e-07,5.2141331252641976e-08
1845,2.3102143131836783e-07,2.7343116215661212e-08
1846,1.6509693523403257e-07,2.0490753982471688e-08
1847,1.936167279836809e-07,4.7999691332734074e-08
1848,1.8021296455117408e-07,2.333114323960217e-08
1849,1.1563592750007956e-07,4.608678239037545e-08
1850,2.1792676818677137e-07,2.2403686017469226e-08
1851,2.302449644275839e-07,3.8696633453128015e-08
1852,1.8489949127342697e-07,2.408901877970493e-08
1853,2.2275305866514827e-07,2.7470886010405593e-08
1854,2.7485066311783157e-07,2.5978321716024766e-08
1855,1.788437771210738e-07,3.1841622671890946e-08
1856,1.9103828208244522e-07,2.692138423299184e-08
1857,2.3333613796694408e-07,4.735063896532665e-08
1858,2.0504502629137278e-07,2.5447114637699997e-08
1859,1.8535510548645107e-07,3.411756210880412e-08
1860,1.835450689213758e-07,2.5174511364411956e-08
1861,1.8297939163858246e-07,2.5937801240161207e-08
1862,1.9833959186144057e-07,3.6143891435358455e-08
1863,1.7680957853372092e-07,2.7969877081091e-08
1864,1.6829494597914163e-07,2.9247839705703882e-08
1865,1.7980146083118598e-07,1.97687466396701e-08
1866,2.228450739494292e-07,2.919367680931373e-08
1867,1.708189643068181e-07,2.426405742994575e-08
1868,1.8623325104272226e-07,2.7169306804353255e-08
1869,2.305021098436555e-07,2.6371003158942585e-08
1870,1.829161533350998e-07,1.204150201772336e-08
1871,9.240424247991541e-08,2.0180236148803488e-08
1872,1.5904502959074307e-07,1.3908880269752899e-08
1873,1.544389220953235e-07,1.496501056408306e-08
1874,1.8222557685021457e-07,1.9716210886144836e-08
1875,1.705015080233352e-07,2.6319025181464895e-08
1876,1.305939179019333e-07,1.934724735974669e-08
1877,1.632791395422828e-07,3.030559980743419e-08
1878,1.4252249513901916e-07,3.140326043649111e-08
1879,1.3868168480257737e-07,2.8102896010295808e-08
1880,1.379836902515308e-07,3.144744553651435e-08
1881,1.1853262549266219e-07,1.4642266066289267e-08
1882,1.124760089510346e-07,1.4641846846075168e-08
1883,1.308103207975364e-07,2.211768546089843e-08
1884,1.7428479281988984e-07,8.582206056928499e-09
1885,1.3793660968985932e-07,1.6758653131887513e-08
1886,1.2132511528761825e-07,1.613365974151293e-08
1887,1.1817353851029111e-07,2.8727267675776602e-08
1888,1.2871447552242898e-07,1.4583413587843097e-08
1889,1.378330125589855e-07,1.7542383545787743e-08
1890,1.1863439652870511e-07,8.520702365899524e-09
1891,8.095259573792646e-08,2.358461337337303e-08
1892,9.402768341715273e-08,1.002961980134387e-08
1893,1.1639406949370823e-07,1.7859408174558666e-08
1894,1.0523570637133162e-07,2.2055386850183822e-08
1895,7.04177907095982e-08,1.8055843042930064e-08
1896,9.612157469973681e-08,1.4152869098893461e-08
1897,1.0954221352221793e-07,1.6897470089816125e-08
1898,8.430949094417883e-08,1.0750873968845553e-08
1899,9.617986052035121e-08,2.4874102777516782e-08
1900,9.863001082521805e-08,1.6092265298084385e-08
1901,8.438995990900366e-08,1.2295225282343836e-08
1902,9.378641863122539e-08,7.856454153909453e-09
1903,1.0962447305473688e-07,1.5120615870500842e-08
1904,8.438161813728584e-08,5.374625189347171e-09
1905,1.0992416576982578e-07,1.7030505006232488e-08
1906,8.539346652014501e-08,1.9547901075611662e-08
1907,6.685696263275531e-08,1.2857108266928208e-08
1908,8.644045124128752e-08,1.0313916831705683e-08
1909,6.821219500352527e-08,1.0451868703853506e-08
1910,1.122271626741167e-07,1.6032452032632705e-09
