year,put_VERB apporter_VERB,put_VERB rapporter_VERB
1800,2.829747991484055e-08,1.5720821977538435e-08
1801,2.3811825844433088e-09,7.143547975374531e-09
1802,0.0,2.4616241489638924e-08
1803,3.900678446910888e-09,6.046051481689574e-08
1804,2.4718509461507665e-09,3.213406074564773e-08
1805,2.2743021688143017e-08,2.842877711017877e-09
1806,2.305335300434308e-08,1.152667650217154e-08
1807,1.4234775136401367e-08,5.693910232196231e-09
1808,1.8128591960930862e-08,2.2660739951163578e-09
1809,0.0,1.129515236897305e-08
1810,2.8081521108447305e-08,7.020380277111826e-09
1811,1.0028307073639553e-08,5.0141535368197765e-09
1812,4.000812481308458e-08,0.0
1813,8.627225156487839e-09,0.0
1814,2.8320094713762956e-08,3.1466771410748606e-09
1815,8.091670444798638e-09,2.697223555614414e-09
1816,1.1588019432906549e-08,2.3176038865813098e-09
1817,1.2454987263765815e-08,2.3353100786493997e-08
1818,1.668964877410417e-08,5.960588467246453e-09
1819,1.7596784473994376e-08,7.24573512300708e-09
1820,5.933240565525466e-09,2.3732962262101864e-09
1821,1.0847637454958203e-08,1.97229765852569e-09
1822,1.5038423839541792e-08,3.0076847679083585e-09
1823,1.1562743651438723e-07,3.9530747564242574e-09
1824,5.810567671460376e-08,4.8000341479337294e-08
1825,3.169959583715354e-08,1.4088708866211164e-08
1826,2.2019960965735663e-08,1.4092774947016551e-08
1827,2.5808365222701468e-08,9.217273055917019e-10
1828,2.7516904310687096e-08,1.4675682002973645e-08
1829,4.2865881511033876e-08,1.5431716349212365e-08
1830,4.279102583382155e-08,1.878630406793036e-08
1831,1.2472964883158966e-08,0.0
1832,5.411987746839486e-09,1.488296597074168e-08
1833,2.20088942626262e-08,1.9692167896323554e-08
1834,2.8003592333902816e-08,9.334530925997342e-10
1835,1.5882484660778573e-08,1.0588323107185715e-08
1836,2.1506400216253496e-08,1.8146025126952736e-08
1837,4.453050195252217e-08,8.349468672008697e-09
1838,2.7773513266993177e-08,2.7142295522253335e-08
1839,2.7266752411492234e-08,2.0974426639952526e-09
1840,2.293087852933695e-08,3.184844388215424e-08
1841,2.0545755319290038e-08,8.346713542550788e-09
1842,1.8112315203211438e-08,2.1466448174578545e-08
1843,4.3120451209688326e-08,1.0041748765843295e-08
1844,2.085653250105679e-08,1.3721403568922597e-08
1845,2.0646844234306627e-08,5.022205318283568e-09
1846,2.0490753982471688e-08,9.952652035849496e-09
1847,1.294373674909366e-08,1.5640349459999925e-08
1848,4.98803736093123e-08,1.206783295515379e-08
1849,2.5976186535103807e-08,1.0893239199560867e-08
1850,1.4935791270431764e-08,5.431196825611551e-09
1851,2.3862924081186065e-08,1.3543821175687754e-08
1852,3.059956199535918e-08,1.1718981340891332e-08
1853,2.20961471342207e-08,1.4332636411040767e-08
1854,1.2989160858012383e-08,8.313063126763609e-09
1855,1.5920811335945473e-08,1.4328730202350926e-08
1856,3.986435714864456e-08,5.694908100650764e-09
1857,4.78387889302212e-08,2.001418764052687e-08
1858,2.936205589776364e-08,4.404308473482388e-09
1859,2.1387128512628806e-08,2.3933214521321133e-08
1860,1.4189270203246451e-08,7.781213007262977e-09
1861,9.903524222920623e-09,1.0846716413936974e-08
1862,1.8975542914745347e-08,1.0843167252971853e-08
1863,2.946826249683454e-08,1.2486552236623538e-08
