year,auront_VERB accompagné_VERB
1800,9.432493897065797e-09
1801,0.0
1802,2.2378401354217203e-09
1803,5.851017448321727e-09
1804,7.4155526164076946e-09
1805,8.528632911009026e-09
1806,1.729001475325731e-08
1807,1.7081731584767113e-08
1808,9.064295980465431e-09
1809,0.0
1810,4.680253518074551e-09
1811,1.7549536934780008e-08
1812,2.1337665856435706e-08
1813,5.7514832008109806e-08
1814,1.2586708564299443e-08
1815,5.394447111228828e-09
1816,3.244645441213834e-08
1817,4.670620334934483e-09
1818,8.344824387052086e-09
1819,1.8631890696951814e-08
1820,7.119888678630559e-09
1821,6.903041693817613e-09
1822,2.0051231786055723e-09
1823,2.9648061783404955e-09
1824,4.210556348027694e-09
1825,1.7610886082763955e-09
1826,2.642395191543301e-09
1827,2.949527377893446e-08
1828,1.1923991571904935e-08
1829,2.914879893012312e-08
1830,7.305785310052215e-09
1831,6.236482441579483e-09
1832,6.764984572527055e-09
1833,4.6334514003376626e-09
1834,1.8669062740173104e-08
1835,1.4369867074037757e-08
1836,8.736974699274924e-09
1837,1.7394727436226276e-08
1838,8.2058102535143e-09
1839,6.292327547896548e-09
1840,3.1848443882154243e-09
1841,8.346713542550788e-09
1842,6.037438549100216e-09
1843,5.31621990873532e-09
1844,6.586273748609983e-09
1845,7.254296274794569e-09
1846,6.439951683034906e-09
1847,1.1325769655456952e-08
1848,3.218088684420195e-09
1849,3.3517659758786067e-09
1850,3.394498016007219e-09
1851,1.3543821175687754e-08
1852,1.6927417689771573e-08
1853,1.1943863675867306e-08
1854,1.0910895298366086e-08
1855,4.2455496895854594e-09
1856,1.5531567143511893e-09
1857,4.881508974818871e-09
1858,9.787352039936081e-10
1859,6.110608019582742e-09
1860,1.4646988510946812e-08
1861,4.2443675241088386e-09
1862,1.1746764450037972e-08
1863,7.491931519609807e-09
1864,9.589456340108882e-09
1865,1.4120533187167439e-08
1866,2.919367858567057e-09
1867,8.73506067478047e-09
1868,9.385760613156435e-09
1869,1.6115613732381462e-08
1870,1.1468097582678638e-09
1871,1.0621177271019633e-09
1872,3.0236697590169115e-09
1873,9.577607151811662e-09
1874,1.7923826867161097e-09
1875,5.149374260327022e-09
1876,6.04601479992084e-09
1877,2.4739263970730008e-09
1878,1.8117265465633636e-09
1879,9.163987790827832e-09
1880,4.492492600149944e-09
1881,1.3945015142624584e-09
1882,1.3310770263785798e-08
1883,1.8958017378167824e-09
1884,6.601696966868076e-09
1885,1.160214413431504e-08
1886,3.2267319927115068e-09
1887,1.9586773092328258e-08
1888,6.974675947901687e-09
1889,1.8795409673089125e-09
1890,7.209825181320184e-09
1891,5.099376032546843e-09
1892,5.014809900671935e-09
1893,6.15841644346915e-09
1894,1.8904617871129403e-09
1895,3.0093072478365457e-09
1896,5.897029087265082e-09
1897,1.0488084178916779e-08
1898,1.584339415217073e-08
1899,4.9748205555033564e-09
1900,8.30568502863116e-09
1901,7.824234593556412e-09
1902,2.9461704187383475e-09
1903,5.940242076007962e-09
1904,2.6873125946735854e-09
1905,6.192911072844254e-09
1906,2.0576738091193647e-09
1907,6.1714118260169926e-09
1908,2.4556945366072114e-09
1909,2.7504918342913243e-09
1910,1.6032452032632705e-09
1911,4.25629931299909e-09
1912,1.5628263128064646e-09
1913,1.590896969716482e-09
1914,4.68772043404897e-09
1915,1.6493066468115103e-08
1916,0.0
1917,1.0966424435210342e-09
1918,1.1486376294556067e-09
1919,2.762354567309444e-09
1920,7.572231730534895e-10
1921,7.572747429129834e-10
1922,1.4755870969551665e-09
1923,3.1847844361720945e-09
1924,3.867487219366694e-09
1925,7.698724324711748e-09
1926,0.0
1927,4.4596899506643695e-09
1928,4.570416489713125e-09
1929,2.2280812750352652e-09
1930,1.05036033204442e-08
1931,0.0
1932,0.0
1933,4.588264879146209e-09
1934,2.3963160344919743e-09
1935,4.787313656606784e-09
1936,2.424942913137329e-09
1937,0.0
1938,1.2965214457594243e-09
1939,1.5294050470515685e-09
1940,7.607348528892999e-09
1941,2.9515025978810172e-09
1942,0.0
1943,5.806470415592457e-09
