year,pouvait_VERB approcher_VERB,pouvait_VERB rapprocher_VERB
1800,5.0306631749208464e-08,9.432493897065797e-09
1801,4.286128785224719e-08,9.524730337773235e-09
1802,2.4616241489638924e-08,6.713520406265161e-09
1803,1.1702034896643454e-08,1.950339223455444e-09
1804,2.7190360185613827e-08,1.9774807569206132e-08
1805,5.685755422035754e-09,1.421438877713399e-08
1806,4.8988376022407465e-08,5.76333825108577e-09
1807,5.693910054560547e-08,1.9928686256776018e-08
1808,3.3991110370834576e-08,0.0
1809,2.710836710662079e-08,2.259030518203531e-09
1810,7.254392642153107e-08,0.0
1811,5.264861258069686e-08,0.0
1812,6.668020802180763e-08,1.0668832928217853e-08
1813,2.5881675469463516e-08,2.8757416004054903e-08
1814,1.2586708564299443e-08,0.0
1815,1.8880564667256294e-08,1.0788894222457657e-08
1816,9.038654980031424e-08,2.0858434979231788e-08
1817,4.670620157298799e-08,1.5568733857662664e-08
1818,7.987188865854478e-08,5.960588467246453e-09
1819,7.452756278780726e-08,0.0
1820,8.069207524386002e-08,2.8479554714522237e-08
1821,8.480879643002481e-08,1.577838126820552e-08
1822,6.616906489398389e-08,1.604098542884458e-08
1823,1.0673301886754416e-07,1.9765373782121287e-09
1824,9.431646219582035e-08,1.8526447931321854e-08
1825,7.308517524506897e-08,1.7610886082763955e-09
1826,9.160303449107232e-08,0.0
1827,6.175572764277604e-08,1.3825909306319772e-08
1828,9.630916508740484e-08,3.0268594741755805e-08
1829,1.5174521195149282e-07,8.573175946935407e-09
1830,9.288783786587373e-08,2.817945699007396e-08
1831,7.795603096383275e-08,6.236482441579483e-09
1832,6.088486514954639e-08,2.705993873419743e-09
1833,1.204697355206008e-07,1.2741991461950875e-08
1834,1.1294782353843402e-07,2.42697808516823e-08
1835,1.1798417176578369e-07,9.075705520444899e-09
1836,1.0820407680967037e-07,2.016225053580456e-08
1837,6.470838798122713e-08,7.653680356156656e-09
1838,1.1046283532323287e-07,1.7674054220151447e-08
1839,7.690622538802927e-08,1.4682098203877558e-08
1840,1.0255198645836572e-07,2.293087852933695e-08
1841,1.1043343306482711e-07,2.3113974734201292e-08
1842,8.45241387992246e-08,2.0795621225033756e-08
1843,9.451057536580265e-08,2.126487963494128e-08
1844,1.0483152124152184e-07,6.586273748609983e-09
1845,9.207376194808603e-08,4.464182268293371e-08
1846,7.669396495657566e-08,1.8148954339380907e-08
1847,3.9909856752728956e-08,1.5101026207275936e-08
1848,3.137636639394259e-08,7.24069959545659e-09
1849,9.133562173246901e-08,4.4410899846525353e-08
1850,9.300924830313306e-08,9.504594444820214e-09
1851,8.835731080125697e-08,3.0957306051959677e-08
1852,5.078225484567156e-08,1.5625309046640723e-08
1853,8.659301187208257e-08,1.7318601663873778e-08
1854,6.442623856628416e-08,2.3900057044556888e-08
1855,5.890700194299825e-08,1.9104973603134567e-08
1856,9.370712206191456e-08,1.501384794266869e-08
1857,4.9791392342513063e-08,1.3180074809326925e-08
1858,7.242640265303635e-08,1.1255455234504552e-08
1859,7.027199444564758e-08,1.7313389832906978e-08
1860,5.2637613379147297e-08,8.696649622663699e-09
1861,5.659156343540417e-08,2.9238975685075275e-08
1862,6.325181090005572e-08,1.1746764450037972e-08
1863,6.293222298836554e-08,1.9479021062807078e-08
1864,5.753673448793961e-08,1.1507347075223606e-08
1865,6.024760779155258e-08,2.447559133145205e-08
1866,4.81695678899996e-08,1.4110277390955162e-08
1867,4.124889585455094e-08,2.814630661873707e-08
1868,5.532658775564414e-08,1.432563490055827e-08
1869,6.641585770239544e-08,2.0510780629479086e-08
1870,6.250112960515253e-08,1.77755516972411e-08
1871,5.8416475212652585e-08,2.549082545044712e-08
1872,5.382132073350476e-08,1.814201766592305e-08
1873,5.267683889087493e-08,1.9155214303623325e-08
1874,5.197910013521323e-08,1.5533982988813477e-08
1875,4.63443683429432e-08,2.1741803024610817e-08
1876,2.9020871039620033e-08,1.874264654588842e-08
1877,4.0201303619369355e-08,2.8450154232473324e-08
1878,5.3747889694477635e-08,1.3889904337816006e-08
1879,4.093248051617593e-08,9.774920428640144e-09
