year,veut_VERB emporter_VERB,veut_VERB remporter_VERB
1800,1.5720821977538435e-08,9.432493897065797e-09
1801,4.286128785224719e-08,2.3811825400343878e-08
1802,4.699464284385613e-08,2.2378401354217203e-09
1803,5.070882025393075e-08,1.755305234496518e-08
1804,4.943701981119375e-08,1.730295728918918e-08
1805,1.421438877713399e-08,2.842877755426798e-08
1806,5.4751712497136396e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,3.172503681980743e-08,0.0
1809,8.810219043198231e-08,0.0
1810,4.212228077449254e-08,4.680253518074551e-09
1811,7.52123057168319e-08,3.5099073869560016e-08
1812,6.401299401659344e-08,1.3336041604361526e-08
1813,1.7254450312975678e-08,5.751483289628823e-09
1814,1.0698702368472368e-07,3.1466772298927026e-08
1815,1.8880564667256294e-08,2.697223555614414e-09
1816,4.1716869958463576e-08,6.952811659743929e-09
1817,2.0239355080775567e-08,2.490997452753163e-08
1818,3.9339884239097955e-08,5.960588467246453e-09
1819,3.415846450138815e-08,5.175524897538253e-09
1820,1.4239777357261119e-08,0.0
1821,3.648750634965836e-08,6.903041693817613e-09
1822,7.819980396561732e-08,1.4035862250239006e-08
1823,4.348382276475604e-08,7.906149512848515e-09
1824,1.7684335773537896e-08,5.052667617633233e-09
1825,5.987701001686219e-08,8.805443485471187e-09
1826,2.7304752237000685e-08,5.284790383086602e-09
1827,3.2260455640198415e-08,4.608636583469661e-09
1828,4.035812395386529e-08,5.503380862137419e-09
1829,4.8009784592295546e-08,5.143905745796928e-09
1830,1.982998831806526e-08,4.174734336004349e-09
1831,4.5214498811674275e-08,0.0
1832,3.5177919244233635e-08,1.0823975493678972e-08
1833,2.6642345218874652e-08,1.1583628500844156e-09
1834,4.85395617033646e-08,2.8003592777992026e-09
1835,3.781543966852041e-08,6.806779140333674e-09
1836,4.5701099793404865e-08,2.688300027031687e-09
1837,2.7135774516295896e-08,2.0873671680021744e-09
1838,4.102905393210676e-08,2.5248647617104325e-09
1839,4.055055669027752e-08,5.5931801412612e-09
1840,5.6690229399691816e-08,5.732719632334238e-09
1841,4.173356416004026e-08,9.630822361827995e-09
1842,5.567860128508073e-08,3.3541325272778977e-09
1843,4.6073907356003474e-08,2.953455480181333e-09
1844,6.915587391631561e-08,9.879410178825765e-09
1845,3.794555070157912e-08,3.9061593959388574e-09
1846,2.2832555401919308e-08,4.0981511517657054e-09
1847,3.5055954583640414e-08,4.314578916364553e-09
1848,2.976732105253177e-08,8.045221711050488e-10
1849,5.027649052635752e-08,2.513824481908955e-09
1850,5.974316508172706e-08,1.0183494048021657e-08
1851,2.0638204034639784e-08,7.094382858952031e-09
1852,2.3437962681782665e-08,2.6042181744401205e-09
1853,3.642878354526147e-08,4.777545470346922e-09
1854,3.740878540270387e-08,8.313063126763609e-09
1855,3.02495415382964e-08,1.4859423913549108e-08
1856,3.675804194358534e-08,7.765783571755946e-09
1857,3.9540225316159194e-08,2.4407544874094356e-09
1858,2.838332058274773e-08,9.787352039936081e-10
1859,4.0228169240208445e-08,5.092173349652285e-10
1860,3.8906062371779626e-08,2.746310290291376e-09
1861,4.0557289082698844e-08,5.187560159214399e-09
1862,2.3041730301542884e-08,6.325180823552046e-09
1863,2.4973104473247076e-08,2.4973103585068657e-09
1864,2.205574922697906e-08,3.3563094525845827e-09
1865,3.577201823645737e-08,2.8241067262513297e-09
1866,4.476363812955242e-08,6.811858188626729e-09
1867,2.523461972714358e-08,1.94112459439566e-09
1868,2.4699369660652337e-08,2.9639244392143382e-09
1869,1.5627261262807224e-08,3.906815315701806e-09
1870,4.013834242755365e-08,5.160643912205387e-09
1871,4.248470730772169e-08,0.0
1872,2.7817760539505798e-08,4.23313739617015e-09
1873,2.454261860407314e-08,2.9930022904522957e-09
1874,2.1508592240593316e-08,4.182226565063729e-09
1875,1.3731664694205392e-08,1.716458086775674e-09
1876,2.1765654167893445e-08,1.813804439976252e-09
1877,2.72131899237138e-08,4.329371083855449e-09
1878,3.804625947623208e-08,1.8117265465633636e-09
1879,1.3440515367335593e-08,1.832797580370027e-09
1880,1.9253539207397807e-08,6.417846254436199e-10
1881,2.022027167924989e-08,6.9725074602899895e-09
1882,3.660461800336634e-08,1.3310770263785798e-08
1883,3.222862687835004e-08,3.791603475633565e-09
1884,2.5086448474098688e-08,6.601696966868076e-10
1885,1.9981470700258797e-08,1.0313017106966527e-08
1886,2.19417763958063e-08,2.5813855497602844e-09
1887,2.154545164501087e-08,6.528924512139156e-09
1888,3.1703073943845084e-08,6.974675947901687e-09
1889,1.8168895721260014e-08,3.132568426877924e-09
1890,2.4906668727453507e-08,1.3108772956016423e-09
1891,2.039750413018737e-08,1.9122659011827636e-09
1892,1.7551833764173352e-08,5.014809900671935e-09
1893,1.847524977449666e-08,6.774258043407144e-09
1894,2.520615716150587e-08,1.449354058991048e-08
1895,1.5046536461227333e-08,3.0093072478365457e-09
1896,1.7691087705884456e-08,1.179405795248556e-09
1897,2.2724183423861177e-08,1.7480140668268973e-09
1898,2.0370077180587032e-08,5.6583546736987955e-09
1899,3.3165470370022376e-08,4.4220627160029835e-09
1900,2.6474371139784125e-08,1.5573159428683425e-09
1901,1.620734302321125e-08,8.941982265753268e-09
1902,2.6515532880466708e-08,4.910283846193408e-10
1903,1.2420506401156217e-08,4.860198465905796e-09
1904,1.827372564378038e-08,1.0749250378694342e-09
1905,1.4450125540577119e-08,2.580379465655369e-09
1906,2.41776678677752e-08,2.0576738091193647e-09
1907,4.422845378826423e-08,1.5428529565042481e-09
1908,2.2592390180875555e-08,1.4734167219643268e-09
1909,1.925344328412848e-08,3.300590023513905e-09
1910,2.7255168788542505e-08,4.275320542035388e-09
1911,1.2236860413850081e-08,5.3203743632934675e-09
1912,1.927485904218429e-08,3.125652625612929e-09
1913,2.333315407554437e-08,1.060597942803554e-09
1914,3.080502253283157e-08,2.0090231700464756e-09
1915,3.534228465440492e-09,0.0
1916,1.9777431248257926e-08,1.0987461607214755e-08
1917,2.7416060532914344e-08,8.773139548168274e-09
1918,9.189101035644853e-09,3.44591288836682e-09
1919,1.749491218561161e-08,9.207848372660976e-10
1920,1.665890891899835e-08,3.786115865267448e-09
1921,1.9689142760626055e-08,3.0290989716519334e-09
1922,1.9182632371439468e-08,7.377935484775833e-10
1923,1.8047112249064412e-08,4.246379248229459e-09
1924,1.1602462102189293e-08,0.0
1925,2.4195990988573612e-08,4.399271169575059e-09
1926,1.89484357093761e-08,1.1146138456652466e-09
1927,2.4528294062520217e-08,0.0
1928,2.6279895593006586e-08,1.4853853258500749e-08
1929,1.1140405931087116e-08,1.1140406375176326e-09
1930,1.575540586884472e-08,1.0503603542488804e-09
1931,1.4826963656844327e-08,6.843213995466613e-09
1932,2.082311922890767e-08,3.287861094491973e-09
1933,2.6382522833046096e-08,2.2941324395731044e-09
1934,1.7972370258689807e-08,5.990790086229936e-09
1935,1.9149254626427137e-08,1.196828414151696e-09
1936,1.4549657478823974e-08,2.424942913137329e-09
