year,tout_DET adieu_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,1.0028307073639553e-08
1812,2.6672082320544632e-09
1813,8.627225156487839e-09
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,1.1921177378582115e-09
1819,0.0
1820,0.0
1821,0.0
1822,1.0025615893027862e-09
1823,0.0
1824,8.421112696055388e-10
1825,2.4655239627691117e-08
1826,0.0
1827,1.0139000472531023e-08
1828,1.8344602503717056e-09
1829,0.0
1830,1.0436835840010872e-09
1831,4.677361609140007e-09
1832,0.0
1833,3.4750886612755494e-09
1834,0.0
1835,2.2689263801112247e-09
1836,4.704525213838906e-09
1837,1.043683617307778e-08
1838,1.2624323808552163e-09
1839,4.894032512581248e-09
1840,8.280595042986505e-09
1841,5.1364388298225094e-09
1842,6.708265054555795e-10
1843,2.3627644840651385e-09
1844,1.6465684371524958e-09
1845,0.0
1846,4.6836010625384006e-09
1847,2.1572894581822766e-09
1848,0.0
1849,4.1897072478036534e-09
1850,6.788996032014438e-10
1851,3.2247193804124663e-09
1852,6.510545436100301e-10
1853,5.971931837933653e-10
1854,4.1565315633818045e-09
1855,2.1227748447927297e-09
1856,1.0354378465748937e-09
1857,1.464452725752352e-09
1858,1.2723557762939208e-08
1859,5.092173349652285e-10
1860,9.612086238064421e-09
1861,3.7727710400226044e-09
1862,3.162590411776023e-09
1863,1.2486552236623538e-08
1864,4.315255264231155e-09
1865,6.118897888374164e-09
1866,3.8924903300596725e-09
1867,4.367530337390235e-09
1868,3.951899252285784e-09
1869,2.9301114867763545e-09
1870,1.7202146374017957e-09
1871,2.1242354542039266e-09
1872,1.8142017887967654e-09
1873,9.577607151811662e-09
1874,2.9873046258899194e-09
1875,5.7215269744226305e-09
1876,1.813804439976252e-09
1877,6.184815992682502e-10
1878,9.662541877730746e-09
1879,6.10932526790009e-10
1880,4.492492600149944e-09
1881,3.4862537301449947e-09
1882,9.317539406694664e-09
1883,5.0554711528150165e-09
1884,6.601696966868076e-10
1885,6.445635691854079e-10
1886,6.453463874400711e-10
1887,1.3057849246322917e-09
1888,6.340614699951175e-10
1889,1.8795409673089125e-09
1890,1.3108772956016423e-09
1891,6.374220040683554e-10
1892,0.0
1893,3.695050043717174e-09
1894,1.2603078580752936e-09
1895,9.027921521465032e-09
1896,2.358811590497112e-09
1897,3.4960281336537946e-09
1898,5.09251940616906e-09
1899,2.2110313580014918e-09
1900,1.0901211489056095e-08
1901,3.353243460679778e-09
1902,2.455141923096704e-09
1903,2.1600881083827517e-09
1904,4.299700151477737e-09
1905,2.5803795211665204e-09
1906,5.144184633820714e-09
1907,5.1428433733846646e-09
1908,5.893666887857307e-09
1909,2.2003934230241384e-09
1910,1.6032452032632705e-09
1911,7.4485237977484076e-09
1912,9.376958209905695e-09
1913,1.590896969716482e-09
