year,doit_VERB envoyer_VERB,doit_VERB renvoyer_VERB
1800,2.2952400513531757e-07,5.973912209356058e-08
1801,2.2383116515811707e-07,6.191074675143682e-08
1802,1.879785713754245e-07,5.818384352096473e-08
1803,1.3457341196954076e-07,8.581492494386112e-08
1804,2.1010733064485976e-07,1.0134588990240445e-07
1805,1.051864728651708e-07,1.0802935435094696e-07
1806,1.3543845511776453e-07,8.35684019762084e-08
1807,3.4732852327579167e-07,3.98573718030093e-07
1808,2.243413206315381e-07,1.9941451512295316e-07
1809,3.343365051478031e-07,2.191259653727684e-07
1810,2.2699229873524018e-07,2.0125089861267043e-07
1811,2.557218294896302e-07,1.7048121492280188e-07
1812,1.9203899626063503e-07,4.1341726841892523e-07
1813,3.6521919355436694e-07,1.6966875193702435e-07
1814,1.7621391634747852e-07,6.608021863030444e-08
1815,1.1867783911156948e-07,9.440282155992463e-08
1816,2.4103081841531093e-07,1.5064425440414198e-07
1817,1.743698163636509e-07,1.5257359109455138e-07
1818,1.1682753608965868e-07,1.5735953695639182e-07
1819,2.3496883727602835e-07,1.1903707530791507e-07
1820,2.3258303372131195e-07,8.069207524386002e-08
1821,3.1753992857375124e-07,7.987805616949117e-08
1822,2.887377377192024e-07,1.3434325296657335e-07
1823,2.3125487302877445e-07,1.2748665767503553e-07
1824,2.467386082116718e-07,1.1200079796935825e-07
1825,1.725866809465515e-07,1.426481759381204e-07
1826,1.3035817403306282e-07,1.6647089751131716e-07
1827,1.97249647726494e-07,2.3319701369928225e-07
1828,1.201571393494305e-07,1.770254129951354e-07
1829,1.9032451348266477e-07,1.7489279002802505e-07
1830,1.2211097555336892e-07,1.7325147894098336e-07
1831,2.1671776551102084e-07,2.463410453401593e-07
1832,2.232444984429094e-07,3.6801517921958293e-07
1833,1.4132027104096778e-07,2.5599820219213143e-07
1834,1.6055393814440322e-07,1.4468523090727103e-07
1835,2.38993578705049e-07,1.4218605315363675e-07
1836,2.5068396780625335e-07,1.8549269498180365e-07
1837,2.1708619613036717e-07,1.3428729062070488e-07
1838,1.84946344461423e-07,1.432860727845764e-07
1839,2.3491357126204093e-07,1.6290137239138858e-07
1840,2.4395907871621603e-07,1.4331799036426673e-07
1841,2.2471920146927005e-07,1.264848066284685e-07
1842,2.569265404872567e-07,1.596567074102495e-07
1843,1.9847220755764283e-07,1.4058448982723348e-07
1844,1.7618282299736165e-07,1.2623691247881652e-07
1845,2.2097702867540647e-07,1.7242903993519576e-07
1846,3.0267770512182324e-07,1.7036599331277102e-07
1847,2.464703072746488e-07,1.7042586364368617e-07
1848,1.713632258315556e-07,2.856053811228776e-07
1849,1.4328799124996294e-07,2.530583174120693e-07
1850,1.8194509721070062e-07,1.3781661323264416e-07
1851,1.9154833807988325e-07,1.5220675209093315e-07
1852,1.7773788840713678e-07,1.946653043205515e-07
1853,1.899074391076283e-07,1.176470547648023e-07
1854,3.153768375341315e-07,2.701745529520849e-07
1855,2.0484776541707106e-07,1.2471302568428655e-07
1856,1.9776862814069318e-07,1.6204602104608057e-07
1857,2.108811969492308e-07,1.9526036965089588e-07
1858,2.6181166390415456e-07,1.2283126693546365e-07
1859,2.057238077668444e-07,9.165911762920587e-08
1860,2.1833167807017162e-07,8.833964670884598e-08
1861,2.452301259836531e-07,8.394415118573306e-08
1862,3.3071660254790913e-07,1.0572087916216333e-07
1863,2.5172889195346215e-07,1.2636390067655157e-07
1864,2.5699742423057614e-07,1.0116875870380682e-07
1865,2.3769564450049074e-07,1.6003271241515904e-07
1866,2.23331639404023e-07,8.125573458528379e-08
1867,2.698163257264241e-07,1.1501163044158602e-07
1868,2.914525794039946e-07,6.965222354438083e-08
1869,1.8606208129767765e-07,1.0548401263577034e-07
1870,1.7374168237438425e-07,8.31437105830446e-08
1871,8.496941461544338e-08,1.072738911034321e-07
1872,2.6668766395232524e-07,9.010535251263718e-08
1873,1.9753814228806732e-07,6.524744833313889e-08
1874,2.2225546558729548e-07,6.751308490038355e-08
1875,1.8480533015008405e-07,4.405575992905142e-08
1876,1.9589087685289996e-07,1.2454790976335062e-07
1877,2.1213918444118463e-07,9.21537548492779e-08
1878,1.7573748323229665e-07,8.998242151392333e-08
