year,pourront_VERB aller_VERB
1800,4.087413785214267e-08
1801,8.810375362600098e-08
1802,1.320325679898815e-07
1803,9.361627917314763e-08
1804,7.662737999680758e-08
1805,9.381496113292087e-08
1806,1.123850950079941e-07
1807,2.3345032218458073e-07
1808,8.837688625362716e-08
1809,1.423189246452239e-07
1810,9.126494404654295e-08
1811,1.0780430415024966e-07
1812,4.000812481308458e-08
1813,4.888760685162197e-08
1814,1.2901375612273114e-07
1815,9.440282155992463e-08
1816,7.184571870766376e-08
1817,1.634717108345285e-07
1818,8.225612191381515e-08
1819,7.14222423425781e-08
1820,1.0561168295453172e-07
1821,1.34116234562498e-07
1822,1.45371430448904e-07
1823,7.906149335212831e-08
1824,1.3726413783388125e-07
1825,2.0956954926987237e-07
1826,2.3605397814208118e-07
1827,1.382590966159114e-07
1828,1.3758452155343548e-07
1829,1.9889768054781598e-07
1830,1.8786305133744463e-07
1831,1.0757932500382594e-07
1832,1.0688675899928057e-07
1833,8.340212787061319e-08
1834,1.5962048394158046e-07
1835,1.610937658824696e-07
1836,1.9893420244443405e-07
1837,1.586399065445221e-07
1838,1.7169080024359573e-07
1839,1.4612183463214024e-07
1840,1.4077012622237817e-07
1841,1.4317822660814272e-07
1842,1.2745704225380905e-07
1843,1.453100111348249e-07
1844,1.3611631288767967e-07
1845,1.054663059107952e-07
1846,1.8207498442279757e-07
1847,1.4399907399820222e-07
1848,1.3757329497821047e-07
1849,1.2150151462719805e-07
1850,1.5275240627943276e-07
1851,1.2253933334704925e-07
1852,1.2500247237312578e-07
1853,1.1466109128832613e-07
1854,1.4703729789289355e-07
1855,1.2524371584277105e-07
1856,1.403018217160934e-07
1857,8.59145572462694e-08
1858,1.1304391733801822e-07
1859,1.2068450416791165e-07
1860,1.4830075656391273e-07
1861,1.2780262181877333e-07
1862,1.3102160778544203e-07
1863,1.5183647406047385e-07
1864,1.46718676319324e-07
1865,1.1390563514623864e-07
1866,9.682569412916564e-08
1867,1.7421592701793998e-07
1868,1.4276236015575705e-07
1869,1.5138908793232986e-07
1870,1.1296076252165221e-07
1871,1.5506918771279743e-07
1872,1.2215625133649155e-07
1873,1.2271308946765203e-07
1874,1.332337831172481e-07
