year,devront_VERB avoir_VERB
1800,3.8673223912155663e-07
1801,1.9287578822968499e-07
1802,2.3273537408385891e-07
1803,2.8474951818679983e-07
1804,2.3729768372504623e-07
1805,3.3830244206001225e-07
1806,6.33967204066721e-07
1807,4.868293217441533e-07
1808,4.826737836083339e-07
1809,6.799681955271808e-07
1810,3.5803938658318657e-07
1811,7.01981491602055e-07
1812,4.320877451391425e-07
1813,6.614205858568312e-07
1814,4.782949076798104e-07
1815,4.801057684744592e-07
1816,7.393156238322263e-07
1817,3.565239978797763e-07
1818,4.4108355723437853e-07
1819,4.740780923384591e-07
1820,3.5124784858453495e-07
1821,4.092517542630958e-07
1822,2.686865059331467e-07
1823,4.1803764361247886e-07
1824,3.418971630253509e-07
1825,2.8705744625767693e-07
1826,3.5320016422701883e-07
1827,4.931241051053803e-07
1828,3.9349171743197076e-07
1829,4.646661295737431e-07
1830,4.43565511432098e-07
1831,6.376803298735467e-07
1832,6.345555902953492e-07
1833,6.509999366244301e-07
1834,6.412822699530807e-07
1835,4.916007014799106e-07
1836,6.035233468537626e-07
1837,6.359512099152198e-07
1838,5.188597356209357e-07
1839,5.96372842665005e-07
1840,5.235884259491286e-07
1841,5.277690888760844e-07
1842,5.628234589494241e-07
1843,7.395452712444239e-07
1844,5.219621925789397e-07
1845,5.50768504581356e-07
1846,6.668277023891278e-07
1847,6.342431220218714e-07
1848,5.591429044216056e-07
1849,7.66716482303309e-07
1850,5.600921895165811e-07
1851,6.99119141245319e-07
1852,6.315228802122874e-07
1853,5.571812380367192e-07
1854,5.377512479753932e-07
1855,4.1712524989634403e-07
1856,4.255649628248648e-07
1857,4.364069070561527e-07
1858,4.1596246092012734e-07
1859,4.328347245063924e-07
1860,5.707748300665116e-07
1861,6.399562835213146e-07
1862,4.260461139438121e-07
1863,4.644997488867375e-07
1864,4.674859610531712e-07
1865,5.346975058273529e-07
1866,4.2330833593950956e-07
1867,4.319002187003207e-07
1868,4.712639736226265e-07
1869,5.000723604098312e-07
1870,4.5643028556696663e-07
1871,6.096555580370477e-07
1872,5.696593348147871e-07
1873,5.291627758197137e-07
1874,6.476476528405328e-07
1875,5.063551498096786e-07
1876,5.102836553305679e-07
1877,4.3479255396050576e-07
1878,5.000365490559489e-07
1879,4.887460249847209e-07
1880,9.004238563647959e-07
1881,5.835988758917665e-07
1882,5.490692842613498e-07
1883,5.756917857979715e-07
1884,5.961332476545067e-07
1885,5.594811796072463e-07
1886,5.853291895618895e-07
1887,6.38528831586882e-07
1888,6.042606059963873e-07
1889,5.832842475683719e-07
1890,6.521614750454319e-07
1891,7.196494493655337e-07
1892,6.594474939447537e-07
1893,5.524099719877995e-07
1894,6.301539201558626e-07
1895,6.151024081191281e-07
1896,5.891131991120346e-07
1897,5.768446271758876e-07
1898,6.309065838649985e-07
1899,7.62805825615942e-07
1900,7.168844149418874e-07
1901,7.125642014216282e-07
1902,7.571657647531538e-07
1903,8.138131875057297e-07
1904,7.771707828396757e-07
1905,8.20044590454927e-07
1906,8.256416208496375e-07
1907,7.030266715446487e-07
1908,7.317969448195072e-07
1909,6.991750183260592e-07
1910,6.68018856231356e-07
1911,7.0973788979245e-07
1912,7.345283847826067e-07
1913,9.99613575913827e-07
1914,8.665586506140244e-07
1915,9.636663662604406e-07
1916,9.064656296686735e-07
1917,7.764228371343052e-07
1918,8.339109172084136e-07
1919,8.756663874009973e-07
1920,8.337026997651265e-07
1921,7.512165325351816e-07
1922,7.636162990820594e-07
1923,7.590402901769266e-07
1924,6.587620191567112e-07
1925,6.983843263697054e-07
1926,6.654244657511299e-07
1927,5.563463219004916e-07
1928,6.032949499967799e-07
1929,6.494856847893971e-07
1930,7.184464720921824e-07
1931,7.094132001839171e-07
1932,6.904508040861401e-07
1933,6.526806828333065e-07
1934,6.973279482735961e-07
1935,6.690270879516902e-07
1936,6.547346060870041e-07
1937,7.781310955579102e-07
1938,5.886207645744435e-07
1939,1.0292895922248135e-06
1940,5.249070795798616e-07
1941,9.031597869579855e-07
1942,6.553897264893749e-07
1943,4.790338152815821e-07
1944,4.6269880726867996e-07
1945,6.034456419001799e-07
1946,5.819021566821903e-07
1947,6.318061878118897e-07
1948,7.21893343325064e-07
1949,7.637632393198146e-07
1950,7.859532047405082e-07
1951,5.106811613586615e-07
1952,6.031627890479285e-07
1953,4.826674739888404e-07
1954,4.573547016661905e-07
1955,4.96498671509471e-07
1956,5.354780796551495e-07
1957,5.495393224919098e-07
1958,5.095702135804459e-07
1959,4.758959164519183e-07
1960,4.0832915715327545e-07
1961,4.606629602221801e-07
1962,4.6740217385377036e-07
1963,4.972395117874839e-07
1964,4.502136619066732e-07
1965,4.1696969788063143e-07
1966,4.3647909819810593e-07
1967,3.83087069621979e-07
1968,4.10515411886081e-07
1969,5.858867666574952e-07
1970,5.477081685967278e-07
1971,4.2289011048524117e-07
1972,4.3708851649171265e-07
1973,4.3388914150455093e-07
1974,4.056037141708657e-07
1975,4.637721815470286e-07
1976,3.5195324699088815e-07
1977,3.87867601148173e-07
1978,4.199998215881351e-07
1979,3.3707365787449817e-07
1980,3.399720185370825e-07
1981,3.074217147513991e-07
1982,3.7431237842611154e-07
1983,3.176604082000267e-07
1984,2.9690923497582844e-07
1985,3.025825776603597e-07
1986,2.673540393516305e-07
1987,2.7682000336426427e-07
1988,2.6924527674054843e-07
1989,2.9800503398291767e-07
1990,2.4300982204294996e-07
1991,2.5731833375175484e-07
1992,2.793541682422074e-07
1993,2.8139174901298247e-07
1994,2.70603720764484e-07
1995,2.6136211772609386e-07
1996,2.4608604576314974e-07
1997,2.526909383959719e-07
1998,2.4555865252295916e-07
1999,2.28053039563747e-07
2000,2.5624584054639854e-07
2001,2.0986004756196053e-07
2002,2.06355537102354e-07
2003,2.2751399342268996e-07
2004,2.2420387324473268e-07
2005,2.5401146785952733e-07
2006,1.9601155543114146e-07
2007,1.7615654712699325e-07
2008,1.9967392006492446e-07
2009,1.7499266391496349e-07
2010,1.5824706167677505e-07
2011,1.4722292007718352e-07
2012,1.34127560613706e-07
2013,1.285786623839158e-07
2014,1.1108733843911978e-07
2015,1.2501485002758272e-07
2016,1.2842308194649377e-07
2017,1.046494304546286e-07
2018,1.1694044133037096e-07
2019,9.897832597971501e-08
