year,peuvent_VERB envoyer_VERB,peuvent_VERB renvoyer_VERB
1800,6.917161954334006e-08,6.288328791015374e-08
1801,7.381665767525192e-08,9.524730337773235e-09
1802,7.832440473976021e-08,2.9091921760482364e-08
1803,4.4857802805609026e-08,7.801356893821776e-09
1804,9.887403784603066e-09,1.4831105232815389e-08
1805,3.4114531644036106e-08,2.842877755426798e-08
1806,7.492339904047185e-08,1.152667650217154e-08
1807,7.402083213037258e-08,3.9857372513552036e-08
1808,6.798222074166915e-08,2.2660739062985158e-08
1809,7.680704072754452e-08,1.581321384946932e-08
1810,9.594519667643908e-08,0.0
1811,7.771937760026049e-08,3.5099073869560016e-08
1812,4.800974906515876e-08,3.467370746079723e-08
1813,9.489947672136623e-08,3.163315653864629e-08
1814,8.810695817373926e-08,1.2586708564299443e-08
1815,5.3944472000466703e-08,2.6972236000233352e-08
1816,1.0892738089296472e-07,2.3176038865813098e-09
1817,4.826307531402563e-08,1.0898113522728181e-08
1818,5.0068944545955674e-08,2.384235386898581e-08
1819,7.970308502081025e-08,1.449147024601416e-08
1820,4.9839222526770754e-08,1.4239777357261119e-08
1821,1.518669137112738e-07,2.6626018723163725e-08
1822,6.717162648328667e-08,1.303330066093622e-08
1823,6.720227219148e-08,1.4824030003524058e-08
1824,1.2379035752019263e-07,2.2737005167527968e-08
1825,7.57268097117958e-08,1.4088708866211164e-08
1826,4.315912249808207e-08,3.435113882233054e-08
1827,6.452091128039683e-08,3.502563927781921e-08
1828,2.5682442839070063e-08,3.0268594741755805e-08
1829,3.1720752247110795e-08,4.715246859632316e-08
1830,5.322786122974321e-08,1.2524203008013046e-08
1831,8.419251429359065e-08,1.7150327380477393e-08
1832,2.976593194148336e-08,2.705993829010822e-08
1833,4.749287541017111e-08,3.359252431778259e-08
1834,3.733812548034621e-08,3.640467127752345e-08
1835,6.731148260996633e-08,2.4958190181223472e-08
1836,6.183090306421946e-08,4.368487438455304e-08
1837,5.427154903259179e-08,3.896418832027848e-08
1838,9.02639172295494e-08,3.029837714052519e-08
1839,8.87917366299007e-08,1.8177836125232716e-08
