year,voulaient_VERB acheter_VERB,voulaient_VERB racheter_VERB
1800,0.0,0.0
1801,9.524730337773235e-09,0.0
1802,4.475680270843441e-09,0.0
1803,9.751696339321825e-09,0.0
1804,4.943701892301533e-09,1.2359254952798437e-08
1805,5.685755422035754e-09,0.0
1806,1.729001475325731e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,1.581321384946932e-08,0.0
1810,3.042164919975221e-08,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,1.8880061958270744e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,1.71256075987003e-08,0.0
1818,2.6226590676969863e-08,0.0
1819,1.1386155129855524e-08,1.035105001712111e-09
1820,3.322614716694261e-08,1.1866481131050932e-09
1821,1.676452932031225e-08,0.0
1822,1.2030739071633434e-08,0.0
1823,6.917880934764753e-09,0.0
1824,1.0105335235266466e-08,0.0
1825,3.0819052199149155e-08,1.4969252504215547e-08
1826,2.1139161532346407e-08,0.0
1827,3.594736597278825e-08,0.0
1828,2.4765213879618386e-08,0.0
1829,1.628903412154159e-08,0.0
1830,1.982998831806526e-08,1.3567886369969528e-08
1831,3.1182412207897414e-09,0.0
1832,5.411987746839486e-09,0.0
1833,2.6642345218874652e-08,0.0
1834,2.14694217959277e-08,0.0
1835,3.6302822081779595e-08,7.563087933704082e-10
1836,1.4113575197427508e-08,0.0
1837,2.922314124020886e-08,6.957890930081589e-10
1838,2.7773513266993177e-08,9.468243078458727e-09
1839,3.425822825420255e-08,6.292327547896548e-09
1840,1.9109066329292546e-08,3.821813088222825e-09
1841,1.1556987367100646e-08,1.6051371787284552e-08
1842,2.3478927246856074e-08,6.708265054555795e-10
1843,7.088293507706567e-09,6.497602011990011e-09
1844,1.2623690537338916e-08,1.6465684371524958e-09
1845,3.2923345827384765e-08,0.0
1846,1.8148954339380907e-08,0.0
1847,3.074137566727586e-08,3.235934187273415e-09
