year,faut_VERB enseigner_VERB,faut_VERB renseigner_VERB
1800,1.0375742931501009e-07,0.0
1801,6.905429472681135e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,5.851017803593095e-08,0.0
1804,6.426812149129546e-08,0.0
1805,2.842877755426798e-08,0.0
1806,4.034336598124355e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,2.4926814390369145e-08,0.0
1809,1.129515236897305e-08,0.0
1810,7.956430891908894e-08,0.0
1811,7.521229861140455e-09,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,6.922689976818219e-08,0.0
1815,5.933891955578474e-08,0.0
1816,3.7081662185300956e-08,0.0
1817,6.383181272440197e-08,0.0
1818,2.741870730460505e-08,0.0
1819,1.6561680027393777e-08,0.0
1820,3.441279616822612e-08,0.0
1821,2.9584464655840748e-08,0.0
1822,1.804610860745015e-08,0.0
1823,4.842516432290722e-08,0.0
1824,2.5263338088166165e-08,0.0
1825,3.610231757988913e-08,0.0
1826,2.3781558056157337e-08,0.0
1827,5.346018383534101e-08,0.0
1828,3.5771975603893225e-08,0.0
1829,5.486832677092934e-08,0.0
1830,3.1310506187764986e-08,0.0
1831,5.6128342862393765e-08,0.0
1832,6.088486514954639e-08,0.0
1833,3.70676112027013e-08,0.0
1834,2.8003592333902816e-08,0.0
1835,9.529490796467144e-08,7.563087933704082e-10
1836,5.1749776019960336e-08,0.0
1837,5.775049416456568e-08,6.957890930081589e-10
1838,6.56464820281144e-08,6.312161904276081e-10
1839,4.055055669027752e-08,0.0
1840,3.3759349093998026e-08,0.0
1841,3.980740004294603e-08,7.0626033910059505e-09
1842,7.915753030829364e-08,0.0
1843,5.316219997553162e-08,0.0
1844,7.57421432240335e-08,0.0
1845,4.910600637231255e-08,1.1160455892778032e-09
1846,7.20103656703941e-08,0.0
1847,5.662884916546318e-08,0.0
1848,6.757986170669028e-08,4.82713291560799e-09
1849,4.1059134758825167e-08,1.256912263158938e-08
1850,5.4311968256115506e-08,0.0
1851,4.70809027319774e-08,0.0
1852,7.0313888045348e-08,0.0
1853,2.5679307569248522e-08,1.1943863675867306e-09
1854,7.06610379097583e-08,0.0
1855,5.253867740862006e-08,0.0
1856,7.714012184578678e-08,0.0
1857,2.9289054737091647e-08,0.0
1858,4.306435030798639e-08,0.0
1859,3.7172863898149444e-08,0.0
1860,6.087654469411063e-08,0.0
1861,5.847795137015055e-08,0.0
1862,3.072230825296174e-08,0.0
1863,7.591823703023692e-08,0.0
1864,5.0824116470948866e-08,0.0
1865,5.17752880568878e-08,0.0
1866,5.838735361862746e-08,0.0
1867,6.79393608038481e-08,1.94112459439566e-09
1868,5.285665238830006e-08,0.0
1869,9.327521865998278e-08,9.767038289254515e-10
1870,7.339582452914328e-08,2.2936195165357276e-09
1871,5.629224020253787e-08,0.0
1872,5.200711683528425e-08,0.0
1873,1.0116347226585276e-07,0.0
1874,6.512323835750067e-08,1.1949218281515073e-09
1875,5.549881265665135e-08,0.0
1876,5.501873445723504e-08,6.04601479992084e-10
1877,6.865145962819952e-08,0.0
1878,4.589707458535486e-08,0.0
1879,7.086817532808709e-08,0.0
1880,6.28948910730287e-08,4.492492600149944e-09
1881,7.809208568687609e-08,6.972507571312292e-10
1882,7.587139094766826e-08,3.9932310791357395e-09
1883,8.657494277031219e-08,0.0
1884,4.7532218161450146e-08,0.0
1885,6.1878104418156e-08,1.933690763067375e-09
1886,4.840097744818195e-08,0.0
1887,7.116528166761782e-08,6.528924623161458e-10
1888,7.925768130689903e-08,0.0
1889,5.6386230795624215e-08,1.2530273485467092e-09
1890,8.25852666253013e-08,0.0
1891,5.2268603667471325e-08,4.461953917456185e-09
1892,6.39388275658348e-08,2.5074049503359674e-09
1893,3.387129154930335e-08,3.695050043717174e-09
1894,7.183754746620252e-08,6.301539290376468e-10
1895,6.078800396380757e-08,6.018614495673091e-10
1896,4.9535042734305534e-08,1.7691086373616827e-09
1897,7.63299468076184e-08,0.0
1898,6.393941021087812e-08,5.6583548957434e-10
1899,7.849160965633928e-08,1.1055156790007459e-09
1900,1.012255381738214e-07,2.07642125715779e-09
1901,1.1456914705831878e-07,2.794369402536745e-09
1902,1.0508007619591808e-07,9.820567692386817e-10
1903,9.450385363152236e-08,5.400220270956879e-10
1904,6.772027916213119e-08,4.837162670412454e-09
1905,9.444188719953672e-08,2.0643036169332163e-09
1906,1.208883304570918e-07,2.572092316910357e-09
1907,8.537119811080629e-08,3.0857059130084963e-09
1908,9.135183631769905e-08,3.437972351250096e-09
1909,1.2872301624611282e-07,4.950885035270858e-09
1910,1.2665637427744514e-07,5.878565634276356e-09
1911,1.1545211719976578e-07,2.6601871816467337e-09
1912,8.595544898071239e-08,7.293189607793238e-09
1913,1.0712039255622585e-07,2.121195885607108e-09
1914,7.701255100300841e-08,2.0090231700464756e-09
1915,1.0720493293092659e-07,7.068456930880984e-09
1916,4.2851102222130066e-08,0.0
1917,8.77313937053259e-08,1.0966424213165737e-08
1918,9.418828739171659e-08,1.1486376294556067e-09
1919,8.01082791213048e-08,0.0
1920,8.253732630691957e-08,4.543339038320937e-09
1921,9.617389196137083e-08,1.060184651180407e-08
1922,3.098733003525922e-08,8.853522359686394e-09
1923,5.201814445854325e-08,6.369568872344189e-09
1924,9.153053071031536e-08,9.02413699321869e-09
1925,5.27912540349007e-08,7.698724324711748e-09
1926,5.9074533709235766e-08,5.57306911730393e-09
1927,6.801027296887696e-08,3.3447675740205796e-09
1928,7.312666383541e-08,3.4278122562625413e-09
1929,6.015819309368453e-08,0.0
1930,7.142450186847782e-08,9.453243521306831e-09
1931,8.668071416195744e-08,2.2810713318222042e-09
1932,6.575722011348262e-08,2.1919073223131136e-09
1933,6.652984296806608e-08,2.2941324395731044e-09
1934,6.350237669039416e-08,1.1981580172459871e-09
1935,6.462873614054843e-08,3.590485242455088e-09
1936,7.63857030960935e-08,4.849885826274658e-09
1937,6.043736533456467e-08,3.777335333410292e-09
1938,6.093650739558143e-08,0.0
1939,6.270560959364957e-08,1.5294050470515685e-09
1940,5.0715659227762444e-08,2.028626333583361e-08
1941,8.559357667081713e-08,8.854508237732261e-09
1942,8.49579322448335e-08,3.034211770724937e-09
1943,4.935499831049128e-08,1.4516175816936538e-08
1944,1.285274464635222e-07,6.4263723231761105e-09
1945,7.406913482554955e-08,6.535512131478072e-09
1946,5.707652661612883e-08,1.3921104269343232e-09
1947,5.722018059373113e-08,3.5762612871081956e-09
1948,5.762100485640076e-08,1.0871887834440486e-09
1949,5.3011845579931105e-08,5.890204768377316e-09
1950,6.062155932795577e-08,1.2762433776458693e-08
1951,6.929911222641749e-08,5.330700769690111e-09
1952,4.5342655852209646e-08,3.1634410646574906e-09
1953,4.201792691560513e-08,2.1547654771580937e-09
1954,6.254423112750374e-08,5.863521668203475e-09
1955,4.035811329572425e-08,3.754243138587299e-09
1956,3.9245136917998025e-08,8.72114114258693e-09
1957,4.240818185508033e-08,2.6505113659425206e-09
1958,4.880623549752272e-08,2.4816730892496253e-09
1959,5.658045765244424e-08,1.5501495642666896e-09
1960,6.22874978262189e-08,2.7683333403416555e-09
1961,4.238377115939329e-08,4.16889545107324e-09
1962,7.610347552144958e-08,6.341956404476434e-10
