year,fallut_VERB ajouter_VERB,fallut_VERB rajouter_VERB
1800,6.288328968651058e-09,0.0
1801,4.286128785224719e-08,0.0
1802,2.4616241489638924e-08,0.0
1803,1.5602713787643552e-08,0.0
1804,1.9774807569206132e-08,0.0
1805,5.685755422035754e-09,0.0
1806,5.76333825108577e-09,0.0
1807,5.693910232196231e-09,0.0
1808,2.2660739062985158e-08,0.0
1809,3.840352036377226e-08,0.0
1810,3.2761775514700275e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,4.5342538612658245e-08,0.0
1813,3.738464116054274e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,6.47333635583891e-08,0.0
1816,4.8669683394564345e-08,0.0
1817,9.341240669868967e-09,0.0
1818,3.5763532135746345e-09,0.0
1819,1.8631890696951814e-08,0.0
1820,9.493184904840746e-09,0.0
1821,2.5639868894700157e-08,0.0
1822,8.02049271442229e-09,0.0
1823,4.941343334508019e-09,0.0
1824,1.9368560089105813e-08,0.0
1825,1.2327619813845558e-08,0.0
1826,1.8496766784892316e-08,0.0
1827,7.373818444733615e-09,0.0
1828,1.7427371545863934e-08,0.0
1829,3.086343269842473e-08,0.0
1830,3.861629238599562e-08,0.0
1831,1.091384405071949e-08,0.0
1832,2.0294953273491956e-08,0.0
1833,1.2741991461950875e-08,0.0
1834,1.6802156110884425e-08,0.0
1835,3.479020449503878e-08,0.0
1836,2.2850549896702432e-08,0.0
1837,3.2006298056330706e-08,0.0
1838,1.7042836475411605e-08,0.0
1839,2.0974425751774106e-08,0.0
1840,2.6115722917552375e-08,0.0
1841,2.1829865914924085e-08,0.0
1842,2.683306021822318e-09,0.0
1843,2.3036953678001737e-08,0.0
1844,2.5247381074677833e-08,0.0
1845,2.4553003186156275e-08,0.0
1846,1.8148954339380907e-08,0.0
1847,8.629157832729106e-09,0.0
1848,3.781254065415851e-08,0.0
1849,1.256912263158938e-08,0.0
1850,1.9009188889640427e-08,0.0
1851,5.8044946626978344e-09,0.0
1852,2.0833745395520964e-08,0.0
1853,2.269334054005867e-08,0.0
