year,pouvait_VERB entrer_VERB,pouvait_VERB rentrer_VERB
1800,2.703981465401739e-07,4.087413785214267e-08
1801,1.5477687043130572e-07,2.3811825400343878e-08
1802,1.857407312400028e-07,2.2378401354217203e-08
1803,1.4042441875972145e-07,4.4857802805609026e-08
1804,2.496569493359857e-07,3.213406074564773e-08
1805,1.847870549909203e-07,3.4114531644036106e-08
1806,1.9595350408962986e-07,5.76333825108577e-09
1807,3.1031811431603273e-07,1.6227643584443285e-07
1808,1.4276265858370607e-07,3.6257183921861724e-08
1809,3.433726476487209e-07,3.840352036377226e-08
1810,1.8487001796074765e-07,6.786367379163494e-08
1811,4.2369597963443084e-07,4.512738271955641e-08
1812,3.5207148130211863e-07,4.5342538612658245e-08
1813,2.5594101771275746e-07,2.300593315851529e-08
1814,4.468281531444518e-07,7.866692897096073e-08
1815,3.45244615118645e-07,4.315557688983063e-08
1816,2.897004947044479e-07,4.6352077731626196e-08
1817,3.8143397773637844e-07,2.80237220096069e-08
1818,3.1471907391278364e-07,1.668964877410417e-08
1819,3.8298884419418755e-07,4.140419918030602e-08
1820,4.900856538370135e-07,4.153268307049984e-08
1821,3.7375039596554416e-07,2.7612166775270452e-08
1822,4.080425810570887e-07,5.9151133768864383e-08
1823,4.961108857060026e-07,6.81905376609393e-08
1824,4.48003191877433e-07,3.536867154707579e-08
1825,4.842993917009153e-07,3.874394849390228e-08
1826,4.536111930519837e-07,5.0205510859768765e-08
1827,5.115586532156158e-07,1.0784209791836474e-07
1828,4.622839924195432e-07,8.89713192009367e-08
1829,6.472748168562248e-07,4.9724420136953995e-08
1830,5.207980962040892e-07,4.800944353178238e-08
1831,5.799928430860746e-07,7.327867024287116e-08
1832,5.46610749552201e-07,6.088486514954639e-08
1833,5.247383683126827e-07,1.18153010930655e-07
1834,5.143326688994421e-07,1.0361329572106115e-07
1835,5.097521125208004e-07,4.689114518896531e-08
1836,5.235464186625904e-07,9.543465040451338e-08
1837,4.954018208991329e-07,5.0792603900617905e-08
1838,5.352713401407527e-07,8.332053624826585e-08
1839,5.285555175760237e-07,8.040196775027653e-08
1840,6.573518476216123e-07,8.599079848181646e-08
1841,5.380419452194474e-07,7.31942506604355e-08
1842,6.077688112782198e-07,6.976596012009395e-08
1843,5.304406158757047e-07,8.683159080646874e-08
1844,5.658706641042954e-07,1.08673511078905e-07
1845,5.675091756529582e-07,1.5401428754557855e-07
1846,5.731556598220777e-07,1.0362467151026067e-07
1847,5.199067345529329e-07,9.438141290729618e-08
1848,5.937373543929425e-07,4.907585093860689e-08
1849,4.776266564476828e-07,1.7596771328953764e-07
1850,3.795048826304992e-07,1.0455053711666551e-07
1851,4.7080902731977403e-07,7.739326690625603e-08
1852,4.791761512024095e-07,1.23049304079359e-07
1853,5.15377735155198e-07,7.644072752555076e-08
1854,4.1721185084497847e-07,1.0391328686409906e-07
1855,4.579886763167451e-07,1.003011078637428e-07
1856,5.156480256118812e-07,1.009551908737194e-07
1857,5.560038971452741e-07,1.054405984746154e-07
1858,5.255807877801999e-07,8.514996352460003e-08
1859,4.995421818421164e-07,7.230886467368691e-08
1860,5.217989382799715e-07,9.474770479300787e-08
1861,5.432790430859313e-07,1.164843013157224e-07
1862,5.168576535652392e-07,9.03597268120393e-08
1863,5.394190338847693e-07,9.98924178929883e-08
1864,4.425533859375719e-07,8.678457419364349e-08
1865,4.396192707645241e-07,9.131277778351432e-08
1866,4.967790800947114e-07,9.244664767038557e-08
1867,4.775166644321871e-07,9.414453927547584e-08
1868,5.004092145100003e-07,9.731552097491658e-08
1869,4.91282037273777e-07,6.641585770239544e-08
1870,4.954218297825719e-07,1.3417674438187532e-07
1871,5.926617063778394e-07,9.983906323896008e-08
1872,4.7532086000501295e-07,1.1852785064547788e-07
1873,4.788803380506579e-07,8.32054638522095e-08
1874,5.395071980274224e-07,6.452577849813679e-08
1875,5.052108349445916e-07,6.293679888358383e-08
1876,4.80053586215945e-07,7.920279188056156e-08
1877,3.989206334154005e-07,7.607323482261563e-08
1878,4.3723002818296663e-07,8.213160640480055e-08
1879,3.8366562193914433e-07,8.003215867802282e-08
1880,3.876379253142659e-07,8.599914025353428e-08
1881,4.4972674118071154e-07,9.203709794292081e-08
1882,4.1329940358991735e-07,8.518892968822911e-08
1883,4.1897217784026e-07,1.0995649546430286e-07
1884,4.244891158577957e-07,7.12983307948889e-08
1885,3.8673815083711816e-07,1.0893124624544726e-07
1886,4.3689951212400047e-07,7.873225627008651e-08
1887,3.120825908808911e-07,7.965287807110144e-08
1888,3.309801002160384e-07,6.530833474016617e-08
1889,3.621248936269694e-07,9.710961990094802e-08
1890,4.024393263080128e-07,8.061895329092295e-08
1891,4.1942368511627137e-07,9.561330216456554e-08
1892,3.4664873282963526e-07,1.0844526343589678e-07
1893,3.251643931889703e-07,8.80653558965605e-08
1894,3.7872251823500847e-07,9.137232126477102e-08
1895,3.3583867775632825e-07,9.148293855787415e-08
1896,3.0782490512137883e-07,7.371286159241208e-08
1897,3.606735674566153e-07,9.672344702948976e-08
1898,3.213945660718309e-07,6.846609323929442e-08
1899,3.753225712443964e-07,1.0170744246806862e-07
1900,3.32746509457138e-07,6.748368974740515e-08
1901,3.4091306133632315e-07,6.035838140405758e-08
1902,2.676104600141116e-07,5.155797921929661e-08
1903,3.358937021857855e-07,7.236295118673297e-08
1904,3.412887110698648e-07,5.4283713524228006e-08
1905,3.43190464491272e-07,6.141303288131894e-08
1906,3.4054502862090885e-07,6.635998062165527e-08
1907,3.224562874493131e-07,6.42855439991763e-08
1908,3.506731900415616e-07,6.237463878733251e-08
1909,3.0200399692148494e-07,6.876229718955074e-08
1910,2.6934520747090573e-07,7.428369741546703e-08
1911,3.713621197221073e-07,9.789488331080065e-08
1912,3.198584579422459e-07,7.345283847826067e-08
1913,3.462852191660204e-07,9.545381374209683e-08
1914,2.913083392286353e-07,8.036092680185902e-08
1915,3.6166937888992834e-07,6.125996065975414e-08
1916,2.7688403747561097e-07,9.55909200683891e-08
1917,3.004800248618267e-07,3.61891991929042e-08
1918,2.756730168584909e-07,7.925599732061528e-08
1919,2.9741349294454267e-07,8.471220525052559e-08
1920,2.7562924742596806e-07,7.875121355027659e-08
1921,2.4459973246848676e-07,5.982470696608289e-08
1922,2.729836126036389e-07,4.795657915224183e-08
1923,2.66460290276882e-07,6.157249998750558e-08
1924,3.093989846547629e-07,6.445812061883771e-08
1925,3.013500702309102e-07,7.478760721824074e-08
1926,2.886849870264996e-07,5.238685218955652e-08
1927,3.3336181104459683e-07,5.4631200896437804e-08
1928,2.7193976848138846e-07,5.141718517620575e-08
1929,2.8853651201643515e-07,9.803557787790851e-08
1930,2.4578432089583657e-07,6.932378227020308e-08
1931,2.6916640649687906e-07,5.930785462737731e-08
1932,2.707005535285134e-07,7.123698964051073e-08
1933,2.8676655006165674e-07,8.832410003378754e-08
1934,2.623966111059417e-07,6.470052937856963e-08
1935,2.6928640295409423e-07,5.38572777486479e-08
1936,2.3036957941258152e-07,6.789839801513153e-08
1937,2.5182237095577875e-07,4.280980192561401e-08
1938,2.722695171542e-07,6.871563584809337e-08
1939,2.3399897486342525e-07,5.047036566452334e-08
1940,2.0539842182643042e-07,5.0715659227762444e-08
1941,2.390717099842732e-07,4.7224041566096275e-08
1942,2.6701064825829235e-07,4.8547388331598995e-08
1943,2.2354910811372974e-07,4.645176332473966e-08
1944,2.602680808649893e-07,4.819779064746399e-08
1945,2.7449149797575956e-07,1.0892519952676594e-07
1946,2.6589307822177943e-07,6.542919095409161e-08
1947,2.872929769637267e-07,4.887557025767819e-08
1948,2.533149938699353e-07,5.544662684542345e-08
1949,2.552422131429921e-07,3.7304630495782476e-08
1950,2.5418515292585653e-07,5.530387880980925e-08
1951,2.6653503937268397e-07,5.863770979885885e-08
1952,2.699469803246757e-07,7.27591498161928e-08
1953,1.8746459318208508e-07,5.386913670690774e-08
1954,2.2965460289015027e-07,6.156697907044872e-08
1955,2.3276307103969884e-07,6.100645322248965e-08
1956,2.2064487836814806e-07,4.7094165012140365e-08
1957,2.305944803993043e-07,5.03597163969971e-08
1958,2.1921445636507997e-07,4.9633460008635666e-08
1959,2.29422141728719e-07,5.968075811324525e-08
1960,2.491499913048756e-07,3.668041514970355e-08
1961,2.9321230954337807e-07,3.960450811746341e-08
1962,2.3084720623955945e-07,5.200404373795209e-08
1963,2.618751580030221e-07,5.1728427763464424e-08
1964,2.39099961163447e-07,4.806334885643082e-08
1965,2.3365625168025872e-07,4.487075599968193e-08
1966,2.3762630974033527e-07,5.5944653354345064e-08
1967,2.4060037162598746e-07,4.733121983235833e-08
1968,2.3579933383643947e-07,5.7939264053175066e-08
1969,2.7613887709776463e-07,3.9967467557744385e-08
1970,2.667260616817657e-07,4.3687887085752664e-08
1971,2.0348053908492147e-07,4.367637984614703e-08
1972,1.9289352337636956e-07,3.437198259348406e-08
1973,2.3320852449160157e-07,3.473318344049403e-08
1974,2.2052240922221245e-07,3.31908722728258e-08
1975,1.913345926141119e-07,2.513051278185685e-08
1976,1.7654798512012349e-07,3.713792295911844e-08
1977,1.76303458943039e-07,2.7620874476497193e-08
1978,2.0851476278949121e-07,4.396037667220298e-08
1979,1.972115057924384e-07,3.5697038214266286e-08
1980,1.6600640151409607e-07,3.0699812469947574e-08
1981,1.644642821929665e-07,3.6688188487232765e-08
1982,2.0795133082174289e-07,2.9175261317959666e-08
1983,2.0651083332268172e-07,3.157657957331139e-08
1984,2.267412355649867e-07,4.1752862500743504e-08
1985,2.0513053300419415e-07,3.609334697785016e-08
1986,2.2479321160062682e-07,3.2370220282018636e-08
1987,1.8760208320145466e-07,3.849814689260711e-08
1988,1.930890363155413e-07,4.257553243292023e-08
1989,1.9153546304551128e-07,3.567279449612215e-08
1990,1.6563899407628924e-07,4.0320017546946474e-08
1991,2.1159888774491264e-07,3.634108480810028e-08
1992,2.0001097311705962e-07,4.518154383958972e-08
1993,1.8057815509564534e-07,3.655877023334142e-08
1994,2.1468950706093892e-07,4.589186275438806e-08
1995,1.8544781710261304e-07,4.446409818115171e-08
1996,1.7028514776029624e-07,4.217092808289635e-08
1997,1.7837007248999726e-07,4.5551498573104254e-08
1998,1.916787937261688e-07,4.958854304959459e-08
1999,2.0063183114871208e-07,3.519054914136177e-08
2000,1.72745032500643e-07,6.273604924444953e-08
2001,2.1336501276891795e-07,6.046072087428911e-08
2002,2.1336548172712355e-07,4.7317193718754424e-08
2003,2.1167969066482328e-07,5.708684369665207e-08
2004,2.0614423590359365e-07,6.12266006783102e-08
2005,1.8240186250295665e-07,5.6296869388461346e-08
2006,1.9436440368281183e-07,5.023825622174627e-08
2007,2.1729968580075365e-07,6.670780550166455e-08
2008,2.2436707070028206e-07,6.684179965077419e-08
2009,2.2601231819407985e-07,7.724472084191802e-08
2010,2.7492475851431664e-07,9.305872339382404e-08
2011,2.9062186968076276e-07,1.1089518636708817e-07
2012,3.7821246223757043e-07,1.3617011518363142e-07
2013,3.874094716138643e-07,1.4224538347207272e-07
2014,3.8501616472785827e-07,1.7345216463127144e-07
2015,4.32897167002011e-07,1.427474529691608e-07
2016,4.1261094452238467e-07,1.64671533298133e-07
2017,3.796057512772677e-07,1.3785549413114495e-07
2018,4.068391490363865e-07,1.7553973918893462e-07
2019,4.1479060541860235e-07,1.8571191162664036e-07
