year,tout_DET appel_NOUN,tout_DET rappel_NOUN
1800,8.489244152087849e-08,0.0
1801,5.238601841206503e-08,0.0
1802,4.2518962573012686e-08,0.0
1803,8.971560561121805e-08,9.751696339321825e-09
1804,1.0381773840606456e-07,0.0
1805,1.3645812657614442e-07,8.528632911009026e-09
1806,1.4120178803977979e-07,0.0
1807,3.1601202010733687e-07,8.540865348294346e-09
1808,1.4276265858370607e-07,2.2660739951163578e-09
1809,1.2424668227595248e-07,0.0
1810,1.6614900033573576e-07,2.3401267590372754e-09
1811,1.5042460432823646e-07,0.0
1812,1.7870294755084615e-07,2.6672082320544632e-09
1813,1.1215391992891455e-07,1.150296680130225e-08
1814,9.754699448194515e-08,3.1466771410748606e-09
1815,4.8550024001059455e-08,0.0
1816,8.1116134253989e-08,6.952811659743929e-09
1817,8.87417872519336e-08,6.227493631882908e-09
1818,2.3246296265710953e-07,9.536942124910297e-09
1819,2.0081036922192652e-07,0.0
1820,1.447710715751782e-07,3.5599443393152796e-09
1821,1.8440983495793262e-07,7.889190412058156e-09
1822,1.4938167680611514e-07,0.0
1823,1.0179167908574982e-07,9.882686891060644e-10
1824,8.673746343390576e-08,1.1789557774477544e-08
1825,2.0956954926987237e-07,1.584979791857677e-08
1826,1.4445094009829518e-07,4.403992281964975e-09
1827,1.640674582858992e-07,9.217273055917019e-10
1828,2.3297645412867496e-07,0.0
1829,2.0404158718179133e-07,1.0287811491593857e-08
1830,1.5863989943909473e-07,1.461157062010443e-08
1831,1.9644919291295082e-07,3.1182412207897414e-09
1832,1.6912461830997927e-07,5.411987746839486e-09
1833,2.0039676762451109e-07,9.266902800675325e-09
1834,1.5588666046895128e-07,1.6802156110884425e-08
1835,1.7092579440713962e-07,4.5378527602224494e-09
1836,1.7003497987388982e-07,6.048674894287842e-09
1837,1.5724833701824537e-07,4.87052354003481e-09
1838,2.0135797029752212e-07,3.5348108440302894e-08
1839,1.8177835769961348e-07,3.0063343814390464e-08
1840,2.1975425568143692e-07,3.1848443882154243e-09
1841,1.5730343605468988e-07,2.5682194149112547e-09
1842,1.724024052407458e-07,2.0124795163667386e-09
1843,1.9138391493811469e-07,7.088293507706567e-09
1844,2.1405388395123737e-07,7.1351295982680085e-09
1845,2.751052363691997e-07,2.5669049108500985e-08
1846,3.4483014133002143e-07,5.854501328173001e-09
1847,2.6642524275644064e-07,5.2853591725465776e-08
1848,2.0756672469701698e-07,3.298540818263973e-08
1849,2.455168512938144e-07,9.217356655710773e-09
1850,1.1609183303562531e-07,6.788996032014438e-09
1851,2.2960001899718918e-07,1.6768540334055615e-08
1852,2.617239260871429e-07,3.059956199535918e-08
1853,2.4186324409924964e-07,8.360704129017904e-09
1854,1.9535698392303402e-07,4.1565315633818045e-09
1855,1.592081169121684e-07,3.714855978387277e-09
1856,1.5893970584102135e-07,1.2942972915652717e-08
1857,1.8842625593151752e-07,9.763018005148894e-09
1858,1.5953383947220345e-07,1.9574704079872163e-09
1859,1.8331823703476857e-07,1.0693564256314403e-08
1860,2.2840147906322272e-07,7.781213007262977e-09
1861,2.0891719110238682e-07,2.4051414637682456e-08
1862,1.5451512958009062e-07,4.517986262886353e-10
1863,1.7481173131272953e-07,5.6439215967429845e-08
1864,1.7021284648421897e-07,9.10998321224099e-09
1865,1.9721677269046722e-07,1.4120533631256649e-09
1866,1.8927234357590805e-07,6.811858188626729e-09
1867,1.5674580922109271e-07,9.7056229719783e-09
1868,2.1241458547649472e-07,1.9265508299781686e-08
1869,1.718998667854521e-07,8.301982545866338e-09
1870,1.8807680568500018e-07,2.2936195165357276e-09
1871,1.6781459866166415e-07,3.18635318130589e-09
1872,1.5239295336755276e-07,1.028047680318167e-08
1873,1.4246691115715748e-07,7.781805422268917e-09
1874,1.4518299984445093e-07,5.974609140757536e-10
1875,1.7221796611011086e-07,1.0870901512305409e-08
1876,1.6203319219698642e-07,7.859819461941697e-09
1877,9.710160941978074e-08,3.0924081073635534e-09
1878,1.0689186868972911e-07,6.039088673581716e-10
1879,1.6128618085531343e-07,6.720257905712401e-09
1880,1.2065551135975738e-07,2.888030792291829e-08
1881,1.6385392864748383e-07,1.673401861523871e-08
1882,1.5174278455987178e-07,8.652000893505374e-09
1883,1.219632403959281e-07,9.479008689083912e-09
1884,1.5646021989113024e-07,1.9805090900604227e-09
1885,1.3987029712225763e-07,3.2228177904158883e-09
1886,1.535924347706441e-07,6.453463874400711e-10
1887,1.5799997310494973e-07,7.834709436771448e-09
1888,1.6866035412732572e-07,5.07249175996094e-09
1889,1.3094135464797318e-07,3.132568426877924e-09
1890,1.448519348912214e-07,3.277193239004106e-09
