year,peuvent_VERB appliquer_VERB,peuvent_VERB rappliquer_VERB
1800,2.5153315874604232e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,3.3567602031325805e-08,0.0
1803,2.5354410126965377e-08,0.0
1804,3.213406074564773e-08,0.0
1805,9.665784261869703e-08,0.0
1806,4.034336598124355e-08,0.0
1807,3.4163463169534225e-08,0.0
1808,3.852325747288887e-08,0.0
1809,4.0662548883574345e-08,0.0
1810,7.254392642153107e-08,0.0
1811,2.757784400841956e-08,0.0
1812,5.067695596494559e-08,0.0
1813,3.4508900625951355e-08,0.0
1814,4.72001566720337e-08,0.0
1815,4.8550024445148665e-08,0.0
1816,6.257530316133852e-08,0.0
1817,3.113746771532533e-08,0.0
1818,3.2187177367859476e-08,0.0
1819,3.001804671498576e-08,0.0
1820,2.7292905713238724e-08,0.0
1821,6.7058117281249e-08,0.0
1822,6.115625694746996e-08,0.0
1823,6.81905376609393e-08,0.0
1824,5.052667617633233e-08,0.0
1825,4.57883047033647e-08,0.0
1826,5.725189922145546e-08,0.0
1827,6.083400450052068e-08,0.0
1828,6.512333783348367e-08,0.0
1829,8.830371456269859e-08,0.0
1830,9.184415716845251e-08,0.0
1831,7.171954763407484e-08,0.0
1832,1.4882965615470312e-07,0.0
1833,9.266902623039641e-08,0.0
1834,6.814207864636046e-08,0.0
1835,7.789980571715205e-08,0.0
1836,6.317505096831155e-08,0.0
1837,7.653680000885288e-08,0.0
1838,5.996553653631054e-08,0.0
1839,7.620707975775076e-08,0.0
1840,5.5416290223320175e-08,0.0
1841,6.099521243640993e-08,0.0
1842,4.762868144325694e-08,6.708265054555795e-10
1843,5.493427224223524e-08,0.0
1844,8.013299179765454e-08,0.0
1845,6.361459981008011e-08,0.0
1846,6.439951505399222e-08,0.0
1847,1.0732514965638984e-07,0.0
1848,9.815170187721378e-08,0.0
1849,8.128032646936845e-08,0.0
1850,6.721106160512136e-08,0.0
1851,5.224045551699419e-08,0.0
1852,1.1914298170268012e-07,0.0
1853,5.4344578614973216e-08,0.0
1854,5.819144277552368e-08,0.0
1855,6.156047049898916e-08,0.0
