year,doivent_VERB assembler_VERB,doivent_VERB rassembler_VERB
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,1.3427040812530322e-08,2.4616241489638924e-08
1803,9.751696339321825e-09,2.5354410126965377e-08
1804,0.0,1.4831105232815389e-08
1805,0.0,0.0
1806,2.5935023018064385e-08,8.645007376628655e-09
1807,0.0,0.0
1808,0.0,4.5321479902327155e-09
1809,2.259030518203531e-09,2.0331274441787173e-08
1810,0.0,0.0
1811,1.2535384286138651e-08,0.0
1812,0.0,5.3344164641089264e-09
1813,0.0,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,2.6972236000233352e-08
1816,0.0,0.0
1817,1.556873407970727e-09,2.1796227045456362e-08
1818,1.9073883805731384e-08,1.4305412854298538e-08
1819,0.0,3.1053151161586356e-09
1820,1.0679833017945839e-08,2.3732962262101864e-08
1821,5.9168927535324656e-09,1.7750679148775816e-08
1822,5.012807946513931e-09,1.604098542884458e-08
1823,9.882686891060644e-10,6.917880934764753e-09
1824,3.3684450784221553e-08,5.052667617633233e-09
1825,1.8491430608946757e-08,2.0252519661312363e-08
1826,3.5231937367541377e-09,2.642395191543301e-09
1827,3.6869092223668076e-09,4.608636583469661e-09
1828,1.0089530988466322e-08,4.586150570418113e-09
1829,0.0,1.714635211591542e-09
1830,0.0,1.0436835395921662e-08
1831,1.5591206103948707e-09,0.0
1832,0.0,0.0
1833,2.3167256557599103e-08,8.108539617524002e-09
1834,1.120143711119681e-08,3.733812370398937e-09
1835,4.5378527602224494e-09,6.050470346963266e-09
1836,1.4113575197427508e-08,1.1425274948351216e-08
1837,2.0873671680021744e-09,7.653680356156656e-09
1838,2.5248647617104325e-09,1.1361890983607736e-08
1839,4.1249702320556025e-08,0.0
1840,2.4204817705708592e-08,8.280594876453051e-09
1841,1.0272877659645019e-08,2.5682194149112547e-09
1842,1.7441490030023488e-08,1.341653010911159e-09
1843,1.5357969118667825e-08,0.0
1844,1.1525978393933656e-08,0.0
1845,1.674068350610014e-08,1.3392547515422848e-08
1846,5.854501328173001e-09,8.781752214304106e-09
1847,2.6966118227278457e-09,0.0
1848,1.689496542667257e-08,1.6090443422100975e-09
1849,8.379414495607307e-09,1.6758829879393033e-09
1850,3.394497838371535e-08,5.431196825611551e-09
1851,1.6123596680017727e-08,1.1608989325395669e-08
1852,5.208436348880241e-09,8.463708844885787e-09
1853,1.3138249599364826e-08,3.5831591027601917e-09
1854,5.7152309551611324e-09,3.63696517347023e-09
1855,1.539011762474729e-08,1.0613874223963649e-09
1856,7.765783571755946e-09,5.177189232874468e-10
1857,4.9791392342513063e-08,2.4407544874094356e-09
1858,2.936205500958522e-09,5.872411001917044e-09
1859,1.018434669930457e-08,2.036869339860914e-09
