year,devait_VERB assurer_VERB,devait_VERB rassurer_VERB
1800,1.1947824418712116e-07,1.5720821977538435e-08
1801,1.1905913055443307e-07,0.0
1802,4.2518962573012686e-08,0.0
1803,1.0336798084153997e-07,2.5354410126965377e-08
1804,6.179627121127851e-08,7.4155526164076946e-09
1805,1.7341554325867037e-07,4.264316544322355e-08
1806,3.7461699520235925e-08,8.645007376628655e-09
1807,1.679703558465917e-07,1.4234775136401367e-08
1808,5.211970233176544e-08,2.2660739951163578e-09
1809,1.603911670144953e-07,2.259030518203531e-09
1810,7.254392642153107e-08,2.3401267590372754e-09
1811,1.930449116116506e-07,5.0141535368197765e-09
1812,1.2802598803318688e-07,0.0
1813,1.581657897986588e-07,5.751483289628823e-09
1814,1.195737269199526e-07,9.440030979135372e-09
1815,1.4834729711310501e-07,0.0
1816,6.952811304472561e-08,3.0128852301913867e-08
1817,1.401186011662503e-07,0.0
1818,9.298518222067287e-08,2.2650237241350624e-08
1819,1.573359611484193e-07,1.3456364911235141e-08
1820,2.3495633172387898e-07,3.559944161679596e-08
1821,2.0807740952477616e-07,8.875339574387908e-09
1822,2.245737960038241e-07,3.60922172149003e-08
1823,1.9666546791086148e-07,1.581229902569703e-08
1824,9.768490372152883e-08,1.0947446504872005e-08
1825,2.447913232117571e-07,5.283265824829186e-09
1826,1.8056367423469055e-07,1.7615968683770689e-09
1827,2.414925575067173e-07,1.3825909306319772e-08
1828,1.9537002060587838e-07,1.4675682002973645e-08
1829,2.0146963208844682e-07,8.573175946935407e-09
1830,2.46309326712435e-07,8.349468672008697e-09
1831,1.855353559676587e-07,2.494592976631793e-08
1832,2.8683535902018775e-07,3.2471927369215337e-08
1833,3.0580778798139363e-07,2.0850531967653296e-08
1834,2.3709708329988644e-07,4.0138484536100805e-08
1835,1.6563163285354676e-07,2.949604294144592e-08
1836,1.8549269498180365e-07,9.409050427677812e-09
1837,2.7622826337392326e-07,1.6003149028165353e-08
1838,2.1335107192044234e-07,2.019891809368346e-08
1839,2.2442635838615388e-07,1.3982949909063791e-08
1840,2.713487390337832e-07,2.165694112932215e-08
1841,2.112360419914694e-07,1.926164472365599e-08
1842,2.8711374966405856e-07,3.018719141323345e-08
1843,2.0556051083531202e-07,2.008349753168659e-08
1844,2.6345094283897197e-07,1.756339607084101e-08
