year,devaient_VERB assurer_VERB,devaient_VERB rassurer_VERB
1800,4.7162465932615305e-08,0.0
1801,7.143547975374531e-08,7.143547975374531e-09
1802,6.713520406265161e-08,0.0
1803,3.510610468993036e-08,0.0
1804,2.2246657849223084e-08,0.0
1805,6.254330742194725e-08,0.0
1806,3.1698359492793315e-08,5.76333825108577e-09
1807,1.6512339584551228e-07,8.540865792383556e-09
1808,9.517511045942229e-08,0.0
1809,4.292158095609011e-08,0.0
1810,7.488405628919281e-08,4.680253518074551e-09
1811,3.259199843341776e-08,5.0141535368197765e-09
1812,1.4136203674297576e-07,0.0
1813,5.176335093892703e-08,5.463909147351842e-08
1814,1.1328037885505182e-07,0.0
1815,8.361393355471591e-08,2.4275012222574333e-08
1816,5.7940098940889584e-08,0.0
1817,1.4478922594207688e-07,9.341240669868967e-09
1818,1.3947777688372298e-07,5.960588467246453e-09
1819,1.4698491668241331e-07,0.0
1820,1.7562392429226747e-07,3.5599443393152796e-09
1821,1.4496387734652671e-07,9.86148829262845e-10
1822,1.3534581455587613e-07,0.0
1823,1.0673301886754416e-07,1.1859224713361982e-08
1824,6.905312233129735e-08,1.6000115010683658e-08
1825,9.950150570148253e-08,8.805443041381977e-10
1826,1.0305341646699162e-07,2.642395191543301e-09
1827,1.6775436506577535e-07,1.1982455028203276e-08
1828,1.0364700386844561e-07,1.4675682002973645e-08
1829,1.6631960875201912e-07,9.430493719264632e-09
1830,1.669893663347466e-07,0.0
1831,1.0446107978623331e-07,7.795603274018958e-09
1832,1.1229874274931717e-07,1.352996914505411e-08
1833,9.961920710566119e-08,0.0
1834,1.7735608537350345e-07,0.0
1835,1.194967893525245e-07,1.1344631900556124e-08
1836,1.263501019366231e-07,1.0753200108126748e-08
1837,9.810626266926192e-08,3.478945576063097e-09
1838,1.312929640562288e-07,5.680945491803868e-09
1839,1.2864313703175867e-07,9.088918062616358e-09
1840,2.095627564813185e-07,1.6561189752906103e-08
1841,1.3097918838411715e-07,7.704658244733764e-09
1842,1.2611538124929211e-07,6.037438549100216e-09
1843,1.4058448982723348e-07,1.4176587015413133e-08
1844,1.0702694197561868e-07,1.1525978393933656e-08
1845,1.428538354275588e-07,4.408380149811819e-08
1846,1.1240642550092161e-07,9.952652035849496e-09
1847,1.7474044966547808e-07,1.1325769655456952e-08
1848,9.895622810063287e-08,9.65426583121598e-09
