year,grand_ADJ est_NOUN,grand_ADJ reste_NOUN
1956,8.721141808720745e-09,6.976913269340912e-09
1957,2.1204090427939803e-08,7.951533653738352e-09
1958,2.068060844795383e-08,4.1361216673863055e-09
1959,1.3951346078400206e-08,2.7127618040800883e-08
1960,2.4915000451652958e-08,5.536666680683311e-09
1961,2.014966143937258e-08,1.3896318540318475e-09
1962,1.8391673295425903e-08,1.9025869768540815e-09
1963,1.8751554531348802e-08,5.172842487688456e-09
1964,8.517555771803131e-09,1.1559539880856562e-08
1965,1.313290448612392e-08,6.5664522708175355e-09
1966,1.7725039658245123e-08,9.970334780007306e-09
1967,1.7256174211777164e-08,6.409436315024664e-09
1968,1.3474247301248354e-08,3.5931326802796093e-09
1969,1.3625273381778769e-08,7.720988265402795e-09
1970,2.759235046001507e-08,5.978342543233595e-09
1971,1.695671192347703e-08,3.5968783507200897e-09
1972,1.7955513909040377e-08,6.15617617993891e-09
1973,9.372446485578223e-09,1.4885649823881408e-08
1974,1.4063928965857286e-08,2.812785782069227e-09
1975,1.5420996479775795e-08,2.8557400888473694e-09
1976,1.88546389057187e-08,6.2848797277581525e-09
1977,1.0578207698674902e-08,5.876781727920388e-09
1978,2.079206917748877e-08,2.3762365408686037e-09
1979,1.2289144368793359e-08,2.3407893401383717e-09
1980,7.390695833109362e-09,3.411090521154847e-09
1981,1.2018544437442102e-08,3.795329828193417e-09
1982,2.1105507896912457e-08,1.8622506869903077e-09
1983,1.0104505787644769e-08,4.420721011477724e-09
1984,2.841514157303493e-08,4.059305780401701e-09
1985,2.1656008541981464e-08,9.02333674446254e-09
1986,2.637573637276347e-08,4.196139935519483e-09
1987,2.8109758298811016e-08,3.666490056009053e-09
1988,2.9383114052983217e-08,7.795520007292112e-09
1989,4.390497854167563e-08,7.134558721588746e-09
1990,5.285191467807593e-08,3.814055737905164e-09
1991,3.8099522925438833e-08,8.20605094986604e-09
1992,7.107828087216106e-08,8.264915862810085e-09
1993,4.98528672787657e-08,4.985286683467649e-09
1994,6.699156829270692e-08,8.439882348554306e-09
1995,6.6153898692356e-08,2.1689803286761844e-09
1996,6.138805841438e-08,9.074756945892659e-09
1997,5.993618246158405e-08,2.876936688878118e-09
1998,6.86610619471395e-08,3.814503379828693e-09
1999,9.460316152676285e-08,3.1991408688814005e-09
2000,5.831801630495903e-08,6.627047466345459e-09
2001,7.053750769592249e-08,2.1906058911280724e-09
2002,3.504977272861254e-07,8.762442660348313e-09
2003,9.042222659516597e-08,3.75023062604285e-09
2004,6.915522024475429e-08,1.0131019578807354e-08
2005,5.53961203575426e-08,4.503749595485829e-09
2006,7.494559539633627e-08,2.0589450144825605e-09
2007,9.826419430924993e-08,5.192823337996089e-09
2008,9.919834673133288e-08,4.683183785214595e-09
2009,9.01188379476281e-08,4.76819250749827e-09
2010,1.0911962217141635e-07,6.140930985942816e-09
2011,6.959628817693186e-08,1.911985902935953e-09
2012,6.22978235942373e-08,7.1489305863980945e-09
2013,5.494576371667392e-08,3.0680376017500066e-09
2014,5.673466454969578e-08,6.4963353585412165e-09
2015,6.649726280727464e-08,4.2114931125825095e-09
2016,8.347500468630642e-08,2.6927420848643635e-09
2017,1.9370206594260253e-07,3.270294757218295e-09
2018,1.8096081516594253e-07,3.3559066636712487e-09
2019,1.7448756534088616e-07,3.571382800604539e-09
