year,voulant_VERB apporter_VERB,voulant_VERB rapporter_VERB
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,0.0,4.7623651688866175e-09
1802,4.475680270843441e-09,2.6854081625060644e-08
1803,1.7553053011098996e-08,2.3404069793286908e-08
1804,0.0,7.4155526164076946e-09
1805,2.842877711017877e-09,2.842877711017877e-09
1806,5.76333825108577e-09,1.4408345627714425e-08
1807,3.131650672116848e-08,2.562259560079383e-08
1808,0.0,2.2660739062985158e-08
1809,2.259030518203531e-09,4.518061036407062e-09
1810,2.3401267590372754e-09,0.0
1811,0.0,2.0056614147279106e-08
1812,8.00162425207418e-09,4.000812303672774e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,2.966945977789237e-08,5.394447111228828e-09
1816,0.0,2.3176038865813098e-09
1817,4.670620334934483e-09,1.2454987263765815e-08
1818,4.530047426065664e-08,3.9339884239097955e-08
1819,6.210630232317271e-09,2.4842520929269085e-08
1820,3.4412794391869284e-08,1.1866481131050932e-08
1821,2.9584464877885353e-09,1.676452932031225e-08
1822,1.5038423839541792e-08,8.02049271442229e-09
1823,9.882686669016039e-09,1.9765373782121287e-09
1824,4.210556348027694e-09,1.0947446504872005e-08
1825,2.0252518551089338e-08,7.044354655150187e-09
1826,5.284790716153509e-09,1.9377566218281572e-08
1827,4.885154680778214e-08,2.7651818612639545e-09
1828,1.3758451711254338e-08,2.7516904310687096e-09
1829,3.5150020671892435e-08,4.286587973467704e-09
1830,3.1310507964121825e-08,8.349468672008697e-09
1831,3.4300654760954785e-08,1.870944732473845e-08
1832,7.57678284557528e-08,1.7588959622116818e-08
1833,4.170106393530659e-08,2.3167257001688313e-09
1834,4.293884092732014e-08,2.8003592777992026e-09
1835,2.647080776796429e-08,1.0588323107185715e-08
1836,1.8818100411266414e-08,1.008112526790228e-08
1837,4.5922078584226256e-08,1.3915781860163179e-09
1838,3.787297142565649e-08,1.3255539776935166e-08
1839,5.2436064379435265e-08,8.38977065598101e-09
1840,2.93005673057678e-08,1.0828470897727982e-08
1841,1.9903700909651434e-08,1.6051371787284552e-08
1842,3.219967226186782e-08,1.341653010911159e-09
1843,5.2571507147547436e-08,2.953455480181333e-09
1844,4.665277009152646e-08,5.488561383160118e-09
1845,2.7901140065011987e-08,1.674068439427856e-09
1846,2.3418005978825818e-08,9.367202347121406e-09
1847,2.9123406797282314e-08,0.0
1848,3.057184283505876e-08,1.448139919091318e-08
1849,6.452149392544015e-08,7.54147366777147e-09
1850,2.647708452485631e-08,1.4935791270431764e-08
1851,2.1283148576856092e-08,4.514607354622058e-09
1852,3.2552727624590716e-08,5.208436348880241e-09
1853,1.911018188138769e-08,1.2541056637616066e-08
1854,1.1950028078189234e-08,3.117398783558656e-09
1855,3.6087172361476405e-08,1.1144567935161831e-08
1856,2.2779632846692266e-08,1.346069211649592e-08
1857,2.489569705943495e-08,7.322263739784063e-09
1858,1.9085336866453417e-08,4.404308473482388e-09
1859,2.036869339860914e-08,4.073738679721828e-09
1860,3.7990625756378904e-08,8.696649622663699e-09
1861,1.5562680477643198e-08,2.3108222890755314e-08
1862,1.8523744343967863e-08,4.517986429419807e-09
1863,1.9978483756233345e-08,4.4951587452324304e-09
1864,7.1920918109924514e-09,7.1920918109924514e-09
1865,1.2708480268130984e-08,3.294791106611683e-09
1866,3.357272970738734e-08,9.731225825149181e-09
1867,1.8925964795357686e-08,4.85281148598915e-09
1868,1.2349685496459983e-08,7.409810987013543e-09
1869,3.27195772698019e-08,0.0
1870,1.3761716655125156e-08,1.204150290590178e-08
1871,1.3807530674370128e-08,3.18635318130589e-09
1872,1.3908880713842109e-08,0.0
1873,4.309923129497406e-08,1.1972008939764578e-09
1874,1.0156835372754358e-08,2.2703514179767126e-08
1875,2.0597497651930752e-08,5.1493745933939294e-09
1876,1.934724691565748e-08,9.069021977836655e-09
1877,1.3606595072879202e-08,6.80329748092845e-09
1878,1.5097721961510047e-08,0.0
1879,2.1993570742395718e-08,2.443730107160036e-09
1880,2.3746031807547752e-08,5.134277003548959e-09
1881,9.064259676172526e-09,6.972507571312292e-10
1882,2.2628309448435857e-08,1.3310770263785798e-09
1883,3.0964760755480825e-08,3.791603364611262e-09
1884,1.5844072720483382e-08,6.601696966868076e-09
1885,7.090199316550638e-09,8.379326343899152e-09
1886,1.8069698126677025e-08,3.2267318816892043e-09
1887,9.79338704576449e-09,7.1818171409887555e-09
1888,1.4583413587843097e-08,3.1703073499755874e-09
1889,1.7542382657609323e-08,1.0650732185091272e-08
1890,1.1142456957102809e-08,6.554386478008212e-10
1891,7.649063604731055e-09,3.1871101313640793e-09
1892,2.5074049503359674e-08,6.268512375839919e-10
1893,4.926733243593162e-09,6.158416554491453e-10
1894,2.1425234253413805e-08,0.0
1895,1.5046536461227333e-08,6.018614495673091e-10
1896,1.533227589334274e-08,0.0
1897,1.1070755867592652e-08,3.4960281336537946e-09
1898,9.053367944211743e-09,1.6975064687230201e-09
1899,2.266307141951529e-08,3.8693048765026106e-09
1900,5.191053142894475e-09,2.07642125715779e-09
1901,1.5648468743023614e-08,0.0
1902,5.401312119790447e-09,0.0
1903,1.7280705089106618e-08,1.0800440541913758e-09
1904,1.0749250378694342e-08,0.0
1905,1.1353669671088085e-08,4.1286072338664326e-09
1906,3.2922779613642206e-08,5.144184522798412e-10
1907,1.902852053703441e-08,2.5714217422034835e-09
1908,1.7680999775393502e-08,0.0
1909,1.1001967059609541e-08,5.5009836685826485e-09
1910,1.4963622119168463e-08,2.137660271017694e-09
1911,2.2877608696347806e-08,5.3203743632934675e-09
1912,6.251305473270463e-09,2.6047106693738442e-09
1913,8.484783320383826e-09,1.060597942803554e-09
1914,8.036092513652449e-09,1.0045115406143168e-08
1915,2.8273829055791566e-08,8.246533234057551e-09
1916,4.394984820521586e-09,1.0987462051303964e-09
1917,1.973956464951243e-08,6.57985488317081e-09
1918,2.756730221875614e-08,2.2972752589112133e-09
1919,2.025726608678724e-08,0.0
1920,1.741613253614105e-08,0.0
1921,1.1359120866138994e-08,2.2718242842501013e-09
1922,2.2871600613427745e-08,0.0
1923,1.4862327368803108e-08,4.246379248229459e-09
1924,1.0313299547703991e-08,1.289162443462999e-09
1925,1.3197813508725176e-08,3.299453377181294e-09
1926,7.802296586589819e-09,0.0
