year,voulant_VERB établir_VERB,voulant_VERB etablir_VERB,voulant_VERB rétablir_VERB
1800,1.5091990235305275e-07,3.144164484325529e-09,6.917161954334006e-08
1801,1.3572741375256214e-07,0.0,7.619784270218588e-08
1802,1.4769744893783354e-07,0.0,8.727576528144709e-08
1803,1.1311967429428194e-07,0.0,8.386458461018265e-08
1804,1.310080950389647e-07,0.0,5.19088700912107e-08
1805,9.665784084234019e-08,0.0,5.685755510853596e-08
1806,2.0171684411707247e-07,0.0,2.0459850702536642e-07
1807,2.4199119152967796e-07,0.0,1.1387820109121094e-07
1808,1.1783584685787218e-07,0.0,6.571614363792833e-08
1809,1.4683697724393596e-07,0.0,4.518061147429364e-08
1810,1.872101442756957e-07,0.0,8.190443878675069e-08
1811,1.1532553179094407e-07,0.0,4.512738049911036e-08
1812,1.3869483250772419e-07,0.0,3.200649700829672e-08
1813,6.614205716459765e-08,2.8757416448144113e-09,8.627224912238773e-08
1814,1.5733385794192145e-07,0.0,4.720015844839054e-08
1815,3.236668320028002e-07,2.697223555614414e-09,5.124724800076308e-08
1816,1.900435186996674e-07,0.0,9.038654980031424e-08
1817,2.413153712410576e-07,0.0,9.341240669868967e-08
1818,1.8000977775045612e-07,1.1921177378582115e-09,1.0133000838408179e-07
1819,2.101263092413319e-07,0.0,1.2214239630825574e-07
1820,1.5070430769981158e-07,0.0,1.3527788134126695e-07
1821,1.98215916569211e-07,9.86148829262845e-10,5.818278125957477e-08
1822,1.8346877084240987e-07,0.0,7.418955760840618e-08
1823,2.0457162541731577e-07,9.882686891060644e-10,5.33665103219505e-08
1824,1.3894836214944917e-07,0.0,9.68427977809938e-08
1825,1.8315322147799407e-07,0.0,1.1623184548170684e-07
1826,2.985906562003038e-07,0.0,6.605988545071995e-08
1827,2.590053789219837e-07,0.0,7.465991025412677e-08
1828,1.7427372611678038e-07,0.0,5.961995697134626e-08
1829,2.2033062307968976e-07,0.0,7.715858690859889e-08
1830,1.0228098723530366e-07,0.0,2.713577385016208e-08
1831,1.1225668572478753e-07,0.0,7.327867024287116e-08
1832,1.217697267463791e-07,0.0,7.712082528144037e-08
1833,1.5753734228241e-07,0.0,5.5601415582806624e-08
1834,1.4001796078133566e-07,0.0,9.054495109239724e-08
1835,1.0663953986522756e-07,0.0,5.445423312266939e-08
1836,1.7944402586067554e-07,0.0,6.98957980382886e-08
1837,1.1689256851354912e-07,0.0,6.540417363254392e-08
1838,1.3255539776935166e-07,0.0,3.2192026155897224e-08
1839,1.566090475080273e-07,0.0,5.733009666997191e-08
1840,1.363113337760069e-07,0.0,5.6690228511513396e-08
1841,1.553772825957367e-07,6.420548537278137e-10,4.237561901376807e-08
1842,1.7038993505025246e-07,0.0,3.957876337778998e-08
1843,2.0319774662880263e-07,0.0,5.139012604349347e-08
1844,1.470934396508028e-07,5.488561272137815e-10,5.59833241986496e-08
1845,1.5792045360285556e-07,5.580227946389016e-10,4.519984786455211e-08
1846,1.7387869100105036e-07,2.9272506640865004e-09,4.5079661115110525e-08
1847,1.4345974719276455e-07,0.0,6.310071842818843e-08
1848,1.464230319214721e-07,0.0,5.229394112182817e-08
1849,8.714591803737903e-08,0.0,5.4466196885982754e-08
1850,1.194863337161678e-07,6.788996032014438e-10,5.634866884207668e-08
1851,1.5220674853821947e-07,0.0,3.0957306496048886e-08
1852,1.8424843695186155e-07,0.0,2.539112653465736e-08
1853,1.4870110831566308e-07,5.971931837933653e-10,5.3747385209135246e-08
1854,1.6106560352113775e-07,1.0391328908454511e-09,4.520228236160051e-08
1855,1.549625565644419e-07,1.0613874223963649e-09,4.404757802944914e-08
1856,1.0613237755308091e-07,0.0,4.970101485923806e-08
1857,1.518149392865098e-07,0.0,4.149282706311652e-08
1858,1.5268268604984314e-07,4.893676019968041e-10,3.8170673288817625e-08
1859,1.7058779988587958e-07,0.0,5.4995472176244675e-08
1860,1.364000787873465e-07,4.577183909670879e-10,6.911547512089555e-08
1861,1.480812548138033e-07,0.0,7.875659235878629e-08
1862,1.4322017172219148e-07,4.517986262886353e-10,3.524029429380349e-08
1863,1.7281387876266763e-07,4.994620828036034e-10,4.195481473345808e-08
1864,1.9370700421461606e-07,0.0,4.650886253898534e-08
1865,1.4920696500553277e-07,0.0,4.0008176993566735e-08
1866,1.1628814644559782e-07,0.0,2.6274308950746672e-08
1867,1.1986444192757517e-07,0.0,3.3484399253325137e-08
1868,1.2201488619467682e-07,1.975949626142892e-09,2.7663294543955885e-08
1869,1.3966864997883022e-07,0.0,2.24641887314192e-08
1870,1.3876397453316258e-07,5.734048791339319e-10,5.447346484999116e-08
1871,1.401995426419944e-07,6.37270636261178e-09,2.8677178853797614e-08
1872,1.4755507926622613e-07,1.2094678591978436e-09,3.3865098947316596e-08
1873,1.2031868612538688e-07,1.1972008939764578e-09,2.514121905106137e-08
1874,9.977597592580878e-08,0.0,1.911874852877915e-08
