year,aurait_VERB envoyé_VERB,aurait_VERB renvoyé_VERB
1800,7.231578535993322e-08,6.288328968651058e-09
1801,2.1430643926123594e-08,4.7623650800687756e-08
1802,8.280008501060365e-08,6.713520406265161e-09
1803,3.1205427575287104e-08,0.0
1804,6.921182915675672e-08,1.2359254952798437e-08
1805,3.980028751016107e-08,1.421438877713399e-08
1806,2.0171682990621775e-08,0.0
1807,5.693910054560547e-08,2.562259560079383e-08
1808,2.4926814390369145e-08,0.0
1809,6.777091243748146e-08,1.3554183553310395e-08
1810,4.212228077449254e-08,0.0
1811,6.267691787797958e-08,3.5099073869560016e-08
1812,7.20146218213813e-08,2.9339290108509886e-08
1813,5.463909147351842e-08,8.627225156487839e-09
1814,1.0698702368472368e-07,1.8880061958270744e-08
1815,4.8550024445148665e-08,4.8550024445148665e-08
1816,8.57513455798653e-08,2.5493642752394408e-08
1817,7.161617787687646e-08,1.401186100480345e-08
1818,1.0371424252753059e-07,1.1921176934492905e-08
1819,1.2317750019974483e-07,8.280840013696888e-09
1820,9.374520004712394e-08,1.542642635854463e-08
1821,9.368413600441272e-08,6.114122896860863e-08
1822,9.624591257306747e-08,1.604098542884458e-08
1823,1.0179167730939298e-07,1.581229902569703e-08
1824,1.035796870496597e-07,3.8737120178211626e-08
1825,1.1270967092968931e-07,1.6730341556581152e-08
1826,1.3300056878051691e-07,4.227832306469281e-08
1827,1.253549157809175e-07,6.175572764277604e-08
1828,1.1006761724274838e-07,4.3109814384934e-08
1829,1.3031227297233272e-07,2.4004892296147773e-08
1830,1.8681936353459605e-07,3.5485243188304594e-08
1831,1.02901957177437e-07,6.080570358335535e-08
1832,2.0700852587651752e-07,4.329590197471589e-08
1833,1.355284524606759e-07,6.02348677603004e-08
1834,1.2694961526449333e-07,2.6136685704614138e-08
1835,1.4748022181265696e-07,4.61348363955949e-08
1836,9.745087936607888e-08,3.696412420595152e-08
1837,1.3289572109442815e-07,5.0792603900617905e-08
1838,1.3003052856674913e-07,3.471689069556305e-08
1839,1.859732350339982e-07,4.1249702320556025e-08
1840,1.5159858435254137e-07,1.52872523528913e-08
1841,1.2712686725535605e-07,1.926164472365599e-08
1842,1.8447728677983832e-07,3.957876515414682e-08
1843,1.3822172206801042e-07,6.202256486176339e-08
1844,1.4928886571397015e-07,6.805815644383983e-08
1845,1.171847898717715e-07,1.9530798311961917e-08
