year,voulaient_VERB appeler_VERB,voulaient_VERB rappeler_VERB
1800,0.0,3.144164484325529e-09
1801,3.333655484993869e-08,9.524730337773235e-09
1802,0.0,0.0
1803,7.801356893821776e-09,7.801356893821776e-09
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,8.645007376628655e-09
1807,2.8469551160981155e-09,1.7081731584767113e-08
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,4.680253518074551e-09,0.0
1811,2.5070767684098882e-09,3.760615285841595e-08
1812,0.0,3.467370746079723e-08
1813,4.601186631703058e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,0.0,1.3486118000116676e-08
1816,0.0,6.952811659743929e-09
1817,1.556873407970727e-09,0.0
1818,1.4305412854298538e-08,1.1921177378582115e-09
1819,1.035105001712111e-09,1.035105001712111e-09
1820,1.0679833017945839e-08,2.3732962262101864e-09
1821,0.0,1.3806083387635226e-08
1822,5.012807946513931e-09,0.0
1823,2.9648061783404955e-09,2.3718449426723964e-08
1824,5.052667617633233e-09,3.3684450784221553e-09
1825,0.0,3.522177216552791e-09
1826,2.642395191543301e-09,7.0463874735082754e-09
1827,1.566936447261469e-08,0.0
1828,1.0089530988466322e-08,1.2841221419535032e-08
1829,6.001223074036943e-09,7.715858174606183e-09
1830,0.0,1.1480519646056564e-08
1831,1.091384405071949e-08,7.795603274018958e-09
1832,4.464889968858188e-08,1.3529969367098715e-09
1833,2.3167257001688313e-09,1.7375443306377747e-08
1834,4.2005389389032644e-08,4.667265685043276e-09
1835,3.025235173481633e-09,6.806779140333674e-09
1836,8.064899859050456e-09,8.064899859050456e-09
1837,1.6698937344017395e-08,8.349468672008697e-09
1838,2.5248647617104325e-08,1.199310784016916e-08
1839,1.3283802502428443e-08,4.194885327990505e-09
1840,3.3759349093998026e-08,1.3376346252869098e-08
1841,3.2102743574569104e-08,5.1364388298225094e-09
1842,2.3478927246856074e-08,9.391571076378114e-09
1843,2.8353174030826267e-08,1.7720733769266417e-09
1844,2.6345094994439933e-08,7.683985892015244e-09
1845,2.8459162138005922e-08,1.1160455892778032e-09
