year,devraient_VERB avoir_VERB
1800,2.703981465401739e-07
1801,2.6669243879950955e-07
1802,2.4616241489638924e-07
1803,2.9060055339868995e-07
1804,2.5212878540514794e-07
1805,2.3595885068061762e-07
1806,3.4580028795971884e-07
1807,1.6227643584443285e-07
1808,1.9714843801921234e-07
1809,2.710836497499258e-07
1810,2.2699229873524018e-07
1811,1.6797415014480066e-07
1812,4.1608447531871207e-07
1813,3.0195286626621964e-07
1814,2.926409763404081e-07
1815,3.3445573421886365e-07
1816,3.314173682156252e-07
1817,2.4442911694677605e-07
1818,4.673101443586347e-07
1819,2.2875821059642476e-07
1820,3.607410121730936e-07
1821,4.1418249452362943e-07
1822,4.6719370061509835e-07
1823,2.5596159503038507e-07
1824,3.006337294664263e-07
1825,4.455554289961583e-07
1826,2.9242508503557474e-07
1827,3.935775509944506e-07
1828,4.10919085425121e-07
1829,3.3178190506077954e-07
1830,4.5087131184118334e-07
1831,5.051550715506892e-07
1832,4.3025303853028163e-07
1833,3.973184448113898e-07
1834,3.883164936269168e-07
1835,4.3563386498135515e-07
1836,3.2528430438105715e-07
1837,4.557418549211434e-07
1838,3.2633877822263457e-07
1839,4.6283565779958735e-07
1840,4.223103644562798e-07
1841,5.014448447582254e-07
1842,5.359903525459231e-07
1843,5.333940862328745e-07
1844,4.77504841001064e-07
1845,4.832477316085715e-07
1846,5.362722959034727e-07
1847,4.557273882710433e-07
1848,5.438569701254892e-07
1849,5.86559053772362e-07
1850,4.6029393274693575e-07
1851,3.689079051127919e-07
1852,4.492276275414042e-07
1853,4.526724239894975e-07
1854,3.683726106373797e-07
1855,3.863450217522768e-07
1856,3.722398957961559e-07
1857,3.7001839814365667e-07
1858,4.237923292293999e-07
1859,3.931157834813348e-07
1860,3.8173715211087256e-07
1861,4.0132852063834434e-07
1862,3.9261300344151095e-07
1863,3.985707337506028e-07
1864,4.1474396539342706e-07
1865,4.678603318097885e-07
1866,4.602869694281253e-07
1867,4.192829123894626e-07
1868,5.305424792823032e-07
1869,3.882397834331641e-07
1870,4.644579405521654e-07
1871,4.906983690489142e-07
1872,4.6020252852940757e-07
1873,4.5074614263285184e-07
1874,4.6362967509594455e-07
1875,4.2739807781799755e-07
1876,4.347084541223012e-07
1877,4.150011534420628e-07
1878,4.1850884713312553e-07
1879,5.32122214735864e-07
1880,4.4411495991880656e-07
1881,4.6855251412125654e-07
1882,4.2794127352863143e-07
1883,4.6257559915829916e-07
1884,4.152467454332509e-07
1885,4.995367817173246e-07
1886,3.98824056446756e-07
1887,4.655123291286145e-07
1888,4.387705416775134e-07
1889,4.4733076265401905e-07
1890,5.315607154443569e-07
1891,4.066752410381014e-07
1892,4.5070603960084554e-07
1893,4.5264360437613504e-07
1894,4.3417605866125086e-07
1895,5.386659722717013e-07
1896,4.475845116758137e-07
1897,4.917746423416247e-07
1898,5.347145588530111e-07
1899,4.7537173486489337e-07
1900,4.832870672544232e-07
1901,5.471375175147841e-07
1902,4.551833114874171e-07
1903,4.7629941946070176e-07
1904,4.907032575829362e-07
1905,5.40331484444323e-07
1906,5.571151859840029e-07
1907,5.657127530867001e-07
1908,6.065565685275942e-07
1909,5.754029075433209e-07
1910,5.178482069823076e-07
1911,4.958588419867738e-07
1912,5.52198628156475e-07
1913,5.393140440901334e-07
1914,5.410968810792838e-07
1915,6.019969305270934e-07
1916,5.471756026054209e-07
1917,6.217962891241768e-07
1918,5.743187898588076e-07
1919,5.515501015906921e-07
1920,5.8154739690508e-07
1921,5.565969445342489e-07
1922,4.876815182797145e-07
1923,5.04257513966877e-07
1924,4.0995365679918905e-07
1925,5.38910740033316e-07
1926,4.324701592395286e-07
1927,4.2255561538695474e-07
1928,4.410451879266475e-07
1929,4.745812987039244e-07
1930,5.05223340496741e-07
1931,4.984140673514048e-07
1932,5.107144147586951e-07
1933,4.611206065874285e-07
1934,4.7327242214123544e-07
1935,4.535979769570986e-07
1936,4.922634389004088e-07
1937,5.061629622105102e-07
1938,5.250911954135518e-07
1939,3.9152769204520155e-07
1940,3.3979492286562163e-07
1941,4.486283842197736e-07
1942,4.520975664945581e-07
1943,4.3838852548105933e-07
1944,5.462416652335378e-07
1945,9.367567486151529e-07
1946,5.415309374257049e-07
1947,5.221341439209937e-07
1948,5.196762344894523e-07
1949,5.615328859676083e-07
1950,4.5412994609250745e-07
1951,4.691016783908708e-07
1952,5.050961249253305e-07
1953,5.171436896489467e-07
1954,5.541028258448932e-07
1955,5.227783503869432e-07
1956,5.537925176213321e-07
1957,5.451218498819799e-07
1958,4.872351269114006e-07
1959,5.820811566081829e-07
1960,5.225228960625827e-07
1961,5.454305096463941e-07
1962,6.075594001231366e-07
1963,6.188013230712386e-07
1964,5.572915142693091e-07
1965,5.532235718419543e-07
1966,6.092982403060887e-07
1967,5.083176120024291e-07
1968,6.903306370986684e-07
1969,7.157810273383802e-07
1970,7.76724675688456e-07
1971,7.56885924602102e-07
1972,6.735882607245003e-07
1973,6.522120088447991e-07
1974,7.003836799412966e-07
1975,6.379723345162347e-07
1976,6.947648785171623e-07
1977,7.181427577052091e-07
1978,6.867323349979415e-07
1979,6.641989784839097e-07
1980,7.248567044371157e-07
1981,6.546943609464506e-07
1982,6.871704840705206e-07
1983,6.965793772906181e-07
1984,8.165004032889556e-07
1985,7.026171715551754e-07
1986,7.612996455463872e-07
1987,6.789117605876527e-07
1988,7.231843710542307e-07
1989,6.854664320599113e-07
1990,7.006964892752876e-07
1991,7.63162745442969e-07
1992,6.766211413378187e-07
1993,6.807686077081598e-07
1994,7.332147902161523e-07
1995,7.488404776267998e-07
1996,7.921728979454201e-07
1997,7.173161975515541e-07
1998,6.80412028941646e-07
1999,7.773912216180179e-07
2000,7.254407705659105e-07
2001,7.46996590805793e-07
2002,7.671519028917828e-07
2003,7.392121119664807e-07
2004,7.937433679217065e-07
2005,7.178977057265001e-07
2006,8.458146112388931e-07
2007,6.98234998708358e-07
2008,6.390416729118442e-07
2009,6.96632923791185e-07
2010,6.740852427356003e-07
2011,6.240722427719447e-07
2012,5.116592092235805e-07
2013,5.165459810996254e-07
2014,4.556096655505826e-07
2015,4.3511374769877875e-07
2016,4.54244883485444e-07
2017,4.5029443640487443e-07
2018,4.726665565613075e-07
2019,4.4234127472009277e-07
