year,voudraient_VERB assurer_VERB
1800,0.0
1801,0.0
1802,0.0
1803,2.3404069793286908e-08
1804,2.4718509461507665e-09
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,2.8757416448144113e-09
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,3.1053151161586356e-09
1820,0.0
1821,9.86148829262845e-10
1822,0.0
1823,1.9765373782121287e-09
1824,1.6842225392110777e-09
1825,2.289415235168235e-08
1826,0.0
1827,5.530363722527909e-09
1828,9.172301251858528e-10
1829,0.0
1830,5.218417697960831e-09
1831,1.5591206103948707e-09
1832,6.764984572527055e-09
1833,8.108539617524002e-09
1834,0.0
1835,7.563087933704082e-10
1836,2.016224964762614e-09
1837,2.7831563720326358e-09
1838,3.1560809521380406e-09
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,2.3627644285539873e-09
1844,2.7442805805577564e-09
1845,0.0
1846,1.7563503984519002e-09
1847,1.6179670936367074e-09
1848,5.63165514222419e-09
1849,8.379414939696517e-10
1850,2.0366988096043315e-09
1851,2.1283147688677673e-08
1852,6.510545436100301e-10
1853,1.7915795513800958e-09
1854,2.0782657816909023e-09
1855,1.5920811335945473e-09
1856,1.5531567143511893e-09
1857,4.881509085841174e-10
1858,4.404308473482388e-09
1859,1.018434669930457e-09
1860,6.408057640072684e-09
1861,4.715963619617014e-09
1862,2.2589932147099034e-09
1863,4.495158911765884e-09
1864,9.589456340108882e-09
1865,5.177528628053096e-09
1866,4.865612801552288e-09
1867,9.7056229719783e-10
1868,9.87974813071446e-10
1869,5.371870948067681e-09
1870,2.8670243956696595e-09
1871,2.1242354542039266e-09
1872,9.071008832961525e-09
1873,6.584604861359367e-09
1874,3.5847653734322193e-09
1875,6.293679799540541e-09
1876,4.836811839936672e-09
1877,4.329371083855449e-09
1878,1.2078177347163432e-09
1879,5.498392852132383e-09
1880,1.9253538763308597e-09
1881,2.7890030285249168e-09
1882,0.0
1883,4.423537092179686e-09
1884,4.621187876807653e-09
1885,7.090199094506033e-09
1886,5.162771099520569e-09
1887,7.834709769838355e-09
1888,1.2047167707862627e-08
1889,6.265136853755848e-09
1890,4.5880703680722945e-09
1891,7.649063604731055e-09
1892,5.641661360300532e-09
1893,1.2316833108982905e-09
1894,1.449354058991048e-08
1895,1.1435367319734269e-08
1896,1.0024948871034667e-08
1897,1.631479840114025e-08
1898,5.6583546736987955e-09
1899,6.633094074004475e-09
1900,6.22926377147337e-09
1901,1.0618603774048552e-08
1902,2.9461704187383475e-09
1903,5.940242076007962e-09
1904,9.674325340824907e-09
1905,7.741138396966107e-09
1906,1.1317205839134203e-08
1907,5.142843373384665e-10
1908,4.4202499438483756e-09
1909,3.850688656825696e-09
1910,8.550641084070776e-09
1911,1.2236860413850081e-08
1912,2.6047106693738442e-09
1913,7.42418571064718e-09
