year,auraient_VERB assuré_VERB,auraient_VERB rassuré_VERB
1800,1.2576657937302116e-08,0.0
1801,2.1430643926123594e-08,0.0
1802,2.9091921760482364e-08,0.0
1803,4.6808139586573816e-08,0.0
1804,2.7190360185613827e-08,0.0
1805,7.107194477384837e-08,0.0
1806,2.0171682990621775e-08,8.645007376628655e-09
1807,1.1387820109121094e-07,5.693910232196231e-09
1808,1.3596443970698147e-08,0.0
1809,9.036122072814123e-09,0.0
1810,3.042164919975221e-08,2.3401267590372754e-09
1811,6.518399686683551e-08,0.0
1812,1.600324850414836e-08,2.6672082320544632e-09
1813,2.300593315851529e-08,0.0
1814,6.608021863030444e-08,0.0
1815,2.0768621311617608e-07,0.0
1816,1.0660977523002657e-07,0.0
1817,4.203558034987509e-08,0.0
1818,6.795070817133819e-08,0.0
1819,5.796588098405664e-08,0.0
1820,1.2222476186707354e-07,2.3732962262101864e-09
1821,1.1537941446704281e-07,0.0
1822,7.118187284049782e-08,1.0025615893027862e-09
1823,6.127265805844218e-08,0.0
1824,4.21055617039201e-08,0.0
1825,4.490776106536032e-08,8.805443041381977e-10
1826,2.7304752237000685e-08,3.5231937367541377e-09
1827,7.18947319455765e-08,3.6869092223668076e-09
1828,9.630916508740484e-08,0.0
1829,7.11573591161141e-08,1.714635211591542e-09
1830,5.322786122974321e-08,9.39315203396518e-09
1831,6.704218691311326e-08,0.0
1832,2.570694235259907e-08,0.0
1833,5.560141858040879e-08,1.1583628500844156e-09
1834,7.374279675786966e-08,8.401078055442213e-09
1835,5.067268915581735e-08,3.025235173481633e-09
1836,4.838939915430274e-08,6.720750067579218e-10
1837,4.5922078584226256e-08,2.7831563720326358e-09
1838,5.302215910774066e-08,6.312161904276081e-10
1839,7.550793412747225e-08,0.0
1840,1.2930468074046075e-07,0.0
1841,3.2102743574569104e-08,0.0
1842,4.22620693996123e-08,2.683306021822318e-09
1843,4.1939067330076796e-08,6.497602011990011e-09
1844,5.4885614275690386e-08,0.0
1845,6.249855033502172e-08,0.0
1846,5.327596142024049e-08,0.0
1847,8.359496916909848e-08,0.0
1848,2.896279838182636e-08,0.0
1849,6.954914510970411e-08,0.0
1850,4.073397619208663e-08,0.0
1851,8.513259075471069e-08,8.384270167027807e-09
1852,5.989701890030119e-08,2.6042181744401205e-09
1853,3.702597695109944e-08,0.0
1854,6.546537179019651e-08,1.0391328908454511e-09
1855,2.865746040470185e-08,2.653468555990912e-09
1856,4.193523395201737e-08,5.177189343896771e-09
1857,5.564920257938866e-08,4.881509085841174e-10
1858,3.474509924217273e-08,1.468102750479261e-09
1859,5.3467818617036755e-08,0.0
1860,4.943358788978003e-08,4.577183909670879e-10
1861,5.2818794671338765e-08,6.6023493339173456e-09
1862,4.879425219428413e-08,6.325180823552046e-09
1863,4.295374012031061e-08,9.489779628779615e-09
1864,6.424935605764404e-08,2.8768367688059016e-09
1865,7.248540612181387e-08,2.3534221238463715e-09
1866,6.179328693178832e-08,1.4596839292835284e-09
1867,3.542552207136396e-08,9.7056229719783e-10
1868,4.989272639477349e-08,6.421836395986702e-09
1869,5.6648822521765396e-08,4.883519366671862e-09
1870,4.185855573268782e-08,3.4404292748035914e-09
1871,8.921789174110017e-08,3.18635318130589e-09
1872,6.168286148522384e-08,3.628403577593531e-09
1873,4.2500630570430076e-08,1.7958012854535355e-09
1874,5.078417686377179e-08,4.182226565063729e-09
1875,2.4030413214859436e-08,2.8607636259891933e-09
1876,5.078652520751348e-08,5.441413541973361e-09
1877,5.751878973114799e-08,3.710889595609501e-09
1878,5.193616203769125e-08,0.0
1879,3.360128886242819e-08,3.0546627449723474e-09
1880,5.134277003548959e-08,2.5671385017744797e-09
1881,5.020205406935929e-08,3.4862537301449947e-09
1882,2.861815673327328e-08,1.3310770263785798e-09
1883,3.222862687835004e-08,6.319338941018771e-10
1884,4.8192386969958534e-08,1.3203393933736152e-09
1885,4.3185760745245716e-08,1.2891271383708158e-09
1886,3.6784744139595205e-08,6.453463874400711e-10
1887,2.8074376601239237e-08,6.528924623161458e-10
1888,2.7264643875923866e-08,1.268122939990235e-09
1889,4.009687515349469e-08,0.0
1890,4.260351360585446e-08,0.0
1891,2.8046567734918426e-08,0.0
1892,5.767031296954883e-08,0.0
1893,3.0176241949675386e-08,4.310891643655168e-09
1894,6.805662167153059e-08,0.0
1895,4.935263930860856e-08,0.0
1896,4.65865284127176e-08,2.948514543632541e-09
1897,4.952706689209663e-08,0.0
1898,2.8291774256672397e-08,0.0
1899,3.758753308602536e-08,4.4220627160029835e-09
1900,3.3741844873702576e-08,6.22926377147337e-09
1901,3.7444550571308355e-08,1.117747761014698e-08
1902,4.0264328760031276e-08,0.0
1903,3.94216073118514e-08,5.400220270956879e-10
1904,3.0635362691100454e-08,1.6123875568041512e-09
1905,3.4061010012464976e-08,0.0
1906,4.629766081620801e-08,5.144184522798412e-10
1907,4.422845378826423e-08,9.257117739025489e-09
1908,4.2237946473733246e-08,2.9468334439286537e-09
1909,1.925344328412848e-08,1.6502950117569526e-09
1910,2.672075360976578e-08,3.740905363258662e-09
1911,2.553779587799454e-08,6.916486494645824e-09
1912,3.125652625612929e-08,3.125652625612929e-09
1913,2.969674284258872e-08,2.6514948014977335e-09
1914,1.9420557606508737e-08,0.0
1915,5.183535378705528e-08,0.0
1916,7.91097249930317e-08,0.0
1917,4.934890895924582e-08,2.1932848870420685e-09
1918,7.581008532042688e-08,1.1486376294556067e-09
1919,4.6960025201769895e-08,0.0
1920,6.360674831284996e-08,7.572231730534895e-10
1921,3.0290991048786964e-08,0.0
1922,4.352981974875547e-08,1.4755870969551665e-09
1923,3.503262746562541e-08,2.1231896241147297e-09
1924,2.3204924204378585e-08,2.578324886925998e-09
1925,3.629398648286042e-08,1.0998177923937646e-09
1926,3.232380052509143e-08,1.1146138456652466e-09
1927,4.2367055641534535e-08,0.0
1928,3.999114284169991e-08,4.570416489713125e-09
1929,5.904415445456834e-08,1.1140406375176326e-09
1930,4.516549623190258e-08,1.0503603542488804e-09
1931,3.42160717536899e-08,0.0
1932,4.055028668403793e-08,5.4797681947604815e-09
1933,7.455930273181366e-08,0.0
1934,3.714289675826876e-08,2.3963160344919743e-09
1935,4.4282650435434334e-08,2.393656828303392e-09
1936,4.9711328387047615e-08,0.0
1937,1.510934133364117e-08,0.0
1938,3.8895642262559704e-08,2.5930428915188486e-09
1939,3.6705721129237645e-08,0.0
1940,3.550096039361961e-08,0.0
1941,2.9515025090631752e-08,0.0
1942,3.6410540360520827e-08,6.068423541449874e-09
1943,6.967764676346633e-08,5.806470415592457e-09
1944,6.7476911169706e-08,1.6065930807940276e-08
1945,6.317661416233022e-08,2.178504043826024e-09
1946,5.4292307538617024e-08,2.7842208538686464e-09
1947,4.4107220986688844e-08,4.7683483828109274e-09
1948,3.587722829934137e-08,1.0871887834440486e-09
1949,5.2030145525350235e-08,1.9634016634739737e-09
1950,5.9558026066497405e-08,2.1270722960764488e-09
1951,4.051332780363737e-08,5.330700769690111e-09
1952,2.9525450528922192e-08,0.0
1953,4.632745742583211e-08,3.232148326759443e-09
1954,4.593092128857279e-08,9.772536113672459e-10
1955,3.2849627018549654e-08,0.0
1956,2.1802854632824165e-08,2.616342476002842e-09
1957,2.47381048978923e-08,8.835037701437898e-10
1958,2.7298403537656668e-08,8.272243445794913e-10
1959,3.5653439312000046e-08,5.425523585955716e-09
1960,3.0451666077624395e-08,1.3841666701708277e-09
1961,2.014966149488373e-08,6.948159270159238e-10
1962,2.72704117065814e-08,0.0
1963,2.3277792138287623e-08,1.2932106496776896e-09
1964,2.8594651979574337e-08,3.041984220075733e-09
1965,3.447387442179206e-08,1.0944086747954884e-09
1966,3.323444985880997e-08,2.215629901769489e-09
1967,3.106111279294055e-08,2.465167847631733e-09
1968,3.907531720415136e-08,3.1439910674890825e-09
1969,4.1329997202410595e-08,0.0
1970,3.954903604608262e-08,9.197450023812337e-10
1971,3.648262136835001e-08,5.652237344833111e-09
1972,3.796308689629768e-08,2.0520587451500205e-09
1973,3.804110448868414e-08,5.513203782392395e-10
1974,2.6440186928766707e-08,0.0
1975,2.798625331479343e-08,5.711480177694739e-10
1976,3.028169359708954e-08,2.856763492431469e-09
1977,4.172515133404886e-08,5.876781838942691e-10
1978,1.841583241457556e-08,2.3762365408686037e-09
1979,3.2771051650115623e-08,0.0
1980,3.979605622816962e-08,1.7055452605774235e-09
1981,2.84649726012276e-08,2.5302198114474095e-09
1982,3.848651530802272e-08,1.2415004579935385e-09
1983,2.841892232652299e-08,6.315316047889041e-10
1984,2.4355836458767044e-08,0.0
1985,2.2257564680217e-08,3.609334831011779e-09
1986,2.0980699844130868e-08,1.1988970927134801e-09
1987,2.810975807676641e-08,1.2221633705067347e-09
1988,2.7584148298842592e-08,5.996553809062277e-10
1989,3.457516939420202e-08,2.1952488715726304e-09
1990,3.0512445903241314e-08,0.0
1991,4.10302547493302e-08,5.861465202094962e-10
1992,2.8651710337612712e-08,5.509944167592096e-10
1993,3.877445209354846e-08,3.323524566667402e-09
1994,2.5847139539791897e-08,1.5824779264761446e-09
1995,3.145021310047014e-08,1.0844901643380922e-09
1996,2.7224270837677977e-08,0.0
1997,2.4453962410575514e-08,4.79489448146353e-10
1998,3.766822231909828e-08,0.0
1999,3.0163327835452947e-08,2.7421207526856506e-09
2000,2.076474814316498e-08,1.3254094488601709e-09
2001,2.9792239786274877e-08,0.0
2002,2.4534839937473407e-08,4.38122149670761e-10
2003,2.9168459647621603e-08,4.1669229178253886e-10
2004,2.5107310008820605e-08,4.404791253964646e-10
2005,2.522099862289906e-08,4.5037495954858286e-10
2006,2.2648395159308166e-08,4.529678854225949e-09
2007,2.1969636776475454e-08,1.5977917877663117e-09
2008,2.554463840453991e-08,1.2772318758180745e-09
2009,1.907277002999308e-08,1.907277002999308e-09
2010,2.5508482437430757e-08,2.8342759250676863e-09
2011,2.0649448373433188e-08,2.2943831279320648e-09
2012,1.599998711299122e-08,5.446804340891731e-09
2013,2.0639525644128298e-08,2.7891249310130206e-09
2014,1.9705550968751595e-08,3.897801192920269e-09
2015,1.7510945582444037e-08,4.654808538617772e-09
2016,1.636358604173438e-08,2.899876117012923e-09
2017,1.4842107098900215e-08,2.264050280587071e-09
2018,1.9360999914397325e-08,3.872199894061623e-09
2019,1.5050828139351324e-08,3.826481798085979e-09
