year,doit_VERB échauffer_VERB,doit_VERB réchauffer_VERB
1800,3.144164395507687e-08,3.144164484325529e-09
1801,4.0480102825313224e-08,2.3811825844433088e-09
1802,2.0140561218795483e-08,0.0
1803,2.145373123596528e-08,0.0
1804,4.943701892301533e-09,7.4155526164076946e-09
1805,3.1271653710973624e-08,2.842877755426798e-08
1806,1.4408345627714425e-08,0.0
1807,3.131650672116848e-08,0.0
1808,0.0,2.945896149242344e-08
1809,9.036122072814123e-09,4.518061036407062e-09
1810,3.2761775514700275e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,3.244645441213834e-08,0.0
1817,1.8682481339737933e-08,0.0
1818,2.384235386898581e-08,1.1921177378582115e-09
1819,9.315945348475907e-09,0.0
1820,5.933240565525466e-09,7.119888678630559e-09
1821,2.9584463767662328e-09,1.97229765852569e-09
1822,3.208197085768916e-08,4.010246357211145e-09
1823,2.569498569471307e-08,3.9530747564242574e-09
1824,4.8000341479337294e-08,8.421112696055388e-09
1825,2.6416328680056722e-08,2.641632912414593e-09
1826,7.927186018719112e-09,0.0
1827,2.7651818612639545e-08,0.0
1828,5.595103758082587e-08,1.559291185060374e-08
1829,1.457439946506156e-08,1.714635211591542e-09
1830,1.2524203008013046e-08,2.0873671680021744e-09
1831,2.3386808933878456e-08,4.677361609140007e-09
1832,4.19429042608499e-08,1.488296597074168e-08
1833,1.6217079235048004e-08,8.108539617524002e-09
1834,1.4935249481595747e-08,7.467624740797874e-09
1835,1.0588323107185715e-08,5.294161553592858e-09
1836,8.064899859050456e-09,1.344150035720304e-08
1837,3.061472142462662e-08,1.6003149028165353e-08
1838,1.1361890983607736e-08,6.312161904276081e-09
1839,3.0063343814390464e-08,8.38977065598101e-09
1840,2.356784811752277e-08,1.0191501864653674e-08
1841,1.219904177673925e-08,3.2102742686390684e-09
1842,1.542900918138912e-08,2.683306021822318e-09
1843,4.4892523476391943e-08,8.269675610961258e-09
1844,2.085653250105679e-08,2.195424508855126e-09
1845,6.138250796539069e-09,6.696273757711424e-09
1846,9.367202125076801e-09,9.952652035849496e-09
1847,4.314578916364553e-09,5.9325460100012606e-09
1848,1.045878850192139e-08,1.045878850192139e-08
1849,3.3517659758786067e-09,7.54147322368226e-09
1850,1.5614691761811628e-08,6.1100964288129944e-09
1851,7.094382858952031e-09,6.449438760824933e-10
1852,2.018269107395554e-08,3.906327261660181e-09
1853,2.388772735173461e-09,4.180352064508952e-09
1854,6.234797567117312e-09,5.195664343204953e-09
1855,8.491099379170919e-09,7.429711956774554e-09
1856,3.6240324075009767e-09,1.2942972915652717e-08
1857,1.757343248698362e-08,6.345961978126979e-09
1858,1.9574704079872163e-09,6.8511463169329545e-09
1859,6.110608019582742e-09,4.073738679721828e-09
1860,2.4259074749011234e-08,5.950338888283113e-09
1861,3.3011746669586728e-09,8.960331143725853e-09
1862,5.421583626485926e-09,3.162590411776023e-09
1863,9.489779628779615e-09,6.493007020935693e-09
1864,3.835782358407869e-09,4.794727948009836e-10
