year,fallait_VERB endormir_VERB
1800,0.0
1801,4.7623651688866175e-09
1802,2.2378401354217203e-09
1803,0.0
1804,1.4831105232815389e-08
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,2.6672082320544632e-09
1813,5.176335093892703e-08
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,2.384235475716423e-09
1819,0.0
1820,5.933240565525466e-09
1821,0.0
1822,3.0076847679083585e-09
1823,5.929612356680991e-09
1824,0.0
1825,8.805443041381977e-10
1826,8.807984341885344e-10
1827,2.7651818612639545e-09
1828,0.0
1829,0.0
1830,1.0436835840010872e-09
1831,3.1182412207897414e-09
1832,0.0
1833,0.0
1834,3.733812370398937e-09
1835,5.294161553592858e-09
1836,1.3441500135158435e-09
1837,0.0
1838,3.787297142565649e-09
1839,1.3982950353153e-09
1840,1.2739377552861697e-08
1841,6.420548537278137e-09
1842,7.379091560011375e-09
1843,3.5441467538532834e-09
1844,7.683985892015244e-09
1845,8.928364714222425e-09
1846,1.1709002656346001e-08
1847,4.314578916364553e-09
1848,1.206783295515379e-08
1849,8.379414495607307e-09
1850,8.146795238417326e-09
1851,1.3543821175687754e-08
1852,6.510545436100301e-09
1853,4.777545470346922e-09
1854,4.1565315633818045e-09
1855,5.306937111981824e-10
1856,2.5885946719483854e-09
1857,6.8341128311999455e-09
1858,1.3702292633865909e-08
1859,1.2730433596175317e-08
1860,4.119465657481669e-09
1861,4.715963619617014e-09
1862,4.517986429419807e-09
1863,1.9978483312144135e-09
1864,9.589455896019672e-10
1865,9.88437331983505e-09
1866,6.3252967308358166e-09
1867,1.94112459439566e-09
1868,1.432563490055827e-08
1869,3.4184632902167778e-09
1870,3.4404292748035914e-09
1871,0.0
1872,6.047339295989218e-10
1873,2.3944017879529156e-09
1874,1.1949218281515073e-09
1875,5.721527140956084e-10
1876,4.232210137899983e-09
1877,2.4739263970730008e-09
1878,1.2078177347163432e-09
1879,0.0
1880,1.2835692508872398e-09
1881,6.9725074602899895e-09
1882,7.986462158271479e-09
1883,6.319338941018771e-10
1884,7.922036360241691e-09
1885,1.2891271383708158e-09
1886,1.2906927748801422e-09
1887,5.876032105334161e-09
1888,1.9021844099853524e-09
1889,1.8795409673089125e-09
1890,0.0
1891,6.374220040683554e-10
1892,0.0
1893,3.079208221734575e-09
1894,6.301539290376468e-10
1895,3.611168697403855e-09
1896,5.89702897624278e-10
1897,5.826713556089658e-10
1898,2.8291773368493978e-09
1899,7.738609753005221e-09
1900,2.595526460424935e-09
1901,5.029864968975062e-09
1902,9.820567692386817e-10
1903,8.640352433531007e-09
1904,1.0749250378694342e-09
1905,5.160759042333041e-10
1906,0.0
1907,2.5714217422034835e-09
1908,9.822778146428846e-10
1909,0.0
1910,5.344150677544235e-10
1911,1.0640748282497725e-09
1912,5.209421227725386e-10
1913,3.71209285532359e-09
1914,1.3393487430235496e-09
1915,0.0
1916,2.197492410260793e-09
1917,6.57985488317081e-09
1918,4.594550517822427e-09
1919,9.207848372660976e-10
1920,2.2716695191604686e-09
1921,2.2718242842501013e-09
1922,0.0
1923,0.0
1924,2.578324886925998e-09
1925,2.1996355847875293e-09
1926,7.802296586589819e-09
1927,4.4596899506643695e-09
1928,0.0
1929,3.342121912552898e-09
1930,1.0503603542488804e-09
1931,3.4216069977333063e-09
1932,1.0959536611565568e-09
1933,0.0
1934,3.5944740517379614e-09
1935,1.196828414151696e-09
1936,3.6374143697059935e-09
1937,1.2591118148108649e-09
1938,5.186085783037697e-09
1939,4.588215141154706e-09
1940,0.0
1941,5.9030051957620344e-09
1942,0.0
1943,2.9032352077962287e-09
1944,0.0
1945,6.535512131478072e-09
1946,5.568441707737293e-09
1947,3.5762612871081956e-09
1948,1.0871887834440486e-09
1949,2.945102384188658e-09
1950,0.0
1951,6.396841278899501e-09
1952,3.1634410646574906e-09
1953,1.0773827385790469e-09
1954,5.863521668203475e-09
1955,1.8771215692936494e-09
1956,5.232684952005684e-09
1957,3.534015080575159e-09
1958,1.6544486891589827e-09
1959,1.5501495642666896e-09
1960,2.7683333403416555e-09
1961,6.948159270159238e-10
1962,6.341956404476434e-10
1963,2.5864212993553792e-09
1964,1.8251904432275978e-09
1965,2.188817349590977e-09
1966,1.1078149508847446e-09
1967,1.4791006197611978e-09
1968,2.6948494546985557e-09
1969,1.8167031212712459e-09
1970,2.2993624781975086e-09
1971,3.083038491169532e-09
1972,3.0780880067027283e-09
1973,1.6539611902288698e-09
1974,1.1251143350321513e-09
1975,1.1422960355389478e-09
1976,1.7140580066410394e-09
1977,1.7630346071939584e-09
1978,1.1881182704343018e-09
1979,1.7555920051037788e-09
1980,1.7055452605774235e-09
1981,1.2651099057237047e-09
1982,0.0
1983,1.89459470334441e-09
1984,1.1598016991243298e-09
1985,0.0
1986,2.3977941854269602e-09
1987,3.0554083707556856e-09
1988,5.996553809062277e-10
1989,1.0976244357863152e-09
1990,2.179460389939436e-09
1991,0.0
1992,0.0
1993,5.539207426075166e-10
1994,1.5824779264761446e-09
1995,1.0844901643380922e-09
1996,1.6014276571496566e-09
1997,9.58978896292706e-10
1998,2.3840645013706308e-09
1999,0.0
2000,0.0
2001,1.3143635069212678e-09
