year,devrait_VERB accompagner_VERB
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,2.4718509461507665e-09
1805,0.0
1806,5.76333825108577e-09
1807,2.8469551160981155e-09
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,1.71256075987003e-08
1818,1.1921177378582115e-09
1819,5.175524897538253e-09
1820,4.746592452420373e-09
1821,4.930744257336528e-09
1822,8.02049271442229e-09
1823,9.882686891060644e-10
1824,5.894778887238772e-09
1825,3.522177216552791e-09
1826,0.0
1827,0.0
1828,7.337841001486822e-09
1829,8.573175946935407e-09
1830,2.0873671680021744e-09
1831,0.0
1832,2.705993873419743e-09
1833,5.791814139399776e-09
1834,1.8669061851994684e-09
1835,0.0
1836,2.016224964762614e-09
1837,1.1132625488130543e-08
1838,5.680945491803868e-09
1839,6.9914749545318955e-09
1840,1.0828470564661075e-08
1841,7.704658244733764e-09
1842,1.2745703159566801e-08
1843,1.1223130869097986e-08
1844,5.488561161115513e-09
1845,1.0602432709561072e-08
1846,8.781752214304106e-09
1847,1.0247124926365814e-08
1848,7.24069959545659e-09
1849,8.379414939696517e-10
1850,1.3577992064028876e-09
1851,6.449438760824933e-10
1852,5.208436348880241e-09
1853,5.971931837933653e-10
1854,2.1302223984775992e-08
1855,8.491099379170919e-09
1856,0.0
1857,1.0251168802710708e-08
1858,6.361778659424999e-09
1859,1.3748867822016564e-08
1860,3.661747127736703e-09
1861,8.017138064531082e-09
1862,3.6143890103090826e-09
1863,5.9935452156878455e-09
1864,1.0548401263577034e-08
1865,1.694463946932956e-08
1866,3.4059290943133647e-09
1867,9.220341823379385e-09
1868,8.89177353968762e-09
1869,1.660396442559886e-08
1870,1.1468097582678638e-08
1871,1.0621177271019633e-09
1872,4.8378714367913744e-09
1873,5.9860045809045914e-09
1874,1.6131444624534197e-08
1875,8.58229043387837e-09
1876,1.0882827083946722e-08
1877,6.184815992682502e-10
1878,1.69094480639842e-08
1879,1.4662380642960215e-08
1880,1.2193908105473383e-08
1881,9.064259565150223e-09
1882,2.6621540527571597e-09
1883,3.159669414998234e-09
1884,7.2618666635548834e-09
1885,1.933690763067375e-09
1886,6.4534639854230136e-09
1887,1.2404957061562527e-08
1888,5.07249175996094e-09
1889,6.265136853755848e-09
1890,3.9326319978272295e-09
1891,4.461953917456185e-09
1892,8.149066310636499e-09
1893,6.774258043407144e-09
1894,5.671385139294216e-09
1895,4.814891596538473e-09
1896,3.5382172747233653e-09
1897,1.0488084178916779e-08
1898,9.05336783318944e-09
1899,1.1055156790007459e-08
1900,8.824790675987515e-09
1901,1.117747761014698e-08
1902,4.910283735171106e-09
1903,8.100330184390714e-09
1904,1.0211787859759625e-08
1905,3.096455536422127e-09
1906,9.259531807970234e-09
1907,4.114274698707732e-09
1908,3.437972351250096e-09
1909,1.1001967337165297e-08
1910,1.336037680488289e-08
1911,6.384448969498635e-09
1912,1.2502610502451716e-08
1913,8.484783542428431e-09
1914,1.7411533548283842e-08
1915,7.068456930880984e-09
1916,7.69122365795738e-09
1917,5.483212106582869e-09
1918,5.743188147278033e-09
1919,4.603924352863942e-09
1920,9.843901693784574e-09
1921,4.543648568500203e-09
1922,9.591316185719734e-09
1923,4.246379248229459e-09
1924,6.445812328337297e-09
1925,9.898360353588487e-09
1926,3.232380052509143e-08
