year,aient_VERB appelé_VERB,aient_VERB rappelé_VERB
1800,3.144164484325529e-09,9.432493897065797e-09
1801,2.3811825400343878e-08,2.3811825844433088e-09
1802,8.056224487518193e-08,0.0
1803,6.436119548425268e-08,7.801356893821776e-09
1804,3.707776485839531e-08,0.0
1805,8.528632911009026e-09,3.1271653710973624e-08
1806,8.06867319624871e-08,0.0
1807,4.555128185756985e-08,0.0
1808,2.2660739062985158e-08,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0
1810,3.7442028144596406e-08,1.6380887757350138e-08
1811,4.512738271955641e-08,5.0141535368197765e-09
1812,1.600324850414836e-08,2.6672082320544632e-09
1813,0.0,0.0
1814,4.090680150170556e-08,3.1466771410748606e-09
1815,4.5852800667489646e-08,0.0
1816,4.6352077731626196e-08,0.0
1817,3.7364962679475866e-08,3.113746815941454e-09
1818,3.099506074022429e-08,2.384235475716423e-09
1819,7.349245834120666e-08,2.070209959015301e-08
1820,5.814575843032799e-08,8.306536791735653e-09
1821,3.747365440176509e-08,0.0
1822,3.308453244699194e-08,0.0
1823,3.4589405117912975e-08,8.894418535021487e-09
1824,3.2842340402794434e-08,8.421112696055388e-10
1825,1.937197424695114e-08,8.805443041381977e-10
1826,2.2019960965735663e-08,8.807984341885344e-10
1827,3.3182182335167454e-08,9.217273055917019e-10
1828,3.118582370120748e-08,9.172301251858528e-10
1829,4.4580517055692326e-08,1.2002446148073886e-08
1830,4.0703660886265425e-08,0.0
1831,2.9623292263636358e-08,6.236482441579483e-09
1832,5.141388470519814e-08,8.117981842303834e-09
1833,2.4325620628928846e-08,1.1583628500844156e-09
1834,5.3206825612051034e-08,1.3068342852307069e-08
1835,2.2689263801112247e-08,1.0588323107185715e-08
1836,3.8980349614803345e-08,6.048674894287842e-09
1837,2.5048407792382932e-08,6.957891152126194e-09
1838,3.787297231383491e-08,6.312161904276081e-09
1839,4.1249702320556025e-08,5.5931801412612e-09
1840,6.624475901162441e-08,1.6561189752906103e-08
1841,4.8796167106957e-08,6.420548537278137e-09
1842,3.5553803456878086e-08,6.708265054555795e-10
1843,3.4260082770742883e-08,7.088293507706567e-09
1844,5.2690189988879865e-08,0.0
1845,3.906159662392383e-08,1.674068439427856e-09
1846,4.507965911670908e-08,1.6392604607062822e-08
1847,3.235934187273415e-08,3.775256551818984e-09
1848,4.103063133698015e-08,5.63165514222419e-09
1849,1.9272654583346593e-08,6.703531951757213e-09
1850,3.869727649430388e-08,3.394498016007219e-09
1851,2.644269869733762e-08,2.579775504329973e-09
1852,4.036538214791108e-08,1.4974254725075298e-08
1853,2.329053394589664e-08,5.971931837933653e-09
1854,2.338049043260071e-08,6.234797567117312e-09
1855,4.0332722051061864e-08,7.429711956774554e-09
1856,5.2807330064297275e-08,5.177189343896771e-09
1857,3.661131842136456e-08,0.0
1858,3.670256987220455e-08,8.808616946964776e-09
1859,2.036869339860914e-08,8.147477359443656e-09
1860,2.9751696217772405e-08,1.0985241161165504e-08
1861,3.819930682880113e-08,3.772770984511453e-09
1862,2.710791768834042e-08,3.162590411776023e-09
1863,4.295374012031061e-08,4.994620828036034e-10
1864,3.452204211384924e-08,4.315255264231155e-09
1865,5.271665770578693e-08,2.8241067262513297e-09
1866,3.5518972651971126e-08,3.8924903300596725e-09
1867,2.9602150064533816e-08,9.220341823379385e-09
1868,3.013323279787983e-08,3.210918109175509e-08
1869,2.4417595057002472e-08,2.9301114867763545e-09
1870,3.325748210158963e-08,1.1468097582678638e-09
1871,1.1683295220166201e-08,0.0
1872,3.3260366905096816e-08,1.2094678591978436e-09
1873,4.3697831131339626e-08,5.9860045809045914e-09
1874,4.301718448118663e-08,1.7923826867161097e-09
1875,2.460256709468922e-08,3.432916173551348e-09
1876,3.748529309177684e-08,6.650616057868319e-09
1877,2.535774612510977e-08,4.329371083855449e-09
1878,2.8383716710322915e-08,3.6234530931267273e-09
1879,1.7717043832021773e-08,1.0385853066452455e-08
1880,2.3104245627791897e-08,4.492492600149944e-09
1881,2.4403776777148778e-08,7.669758161910067e-09
1882,1.5307385581309063e-08,3.9932310791357395e-09
1883,1.3902545781263598e-08,1.8958017378167824e-09
1884,1.8484751507230612e-08,1.0562715146988921e-08
1885,4.1252068427866107e-08,6.445635580831777e-09
1886,1.871504551331782e-08,6.453463874400711e-10
1887,3.003305337756501e-08,4.570247291724172e-09
1888,4.2482117379449846e-08,3.1703073499755874e-09
1889,3.633779144252003e-08,8.14467782106476e-09
1890,2.3595791986963377e-08,5.898947996740844e-09
1891,2.8683990294098294e-08,6.374220040683554e-10
1892,2.1312942521944933e-08,4.387958441043338e-09
