year,aurait_VERB enseigné_VERB,aurait_VERB renseigné_VERB
1800,3.144164395507687e-08,0.0
1801,3.5717739876872656e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,7.4155526164076946e-09,0.0
1805,0.0,0.0
1806,8.645007376628655e-09,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,1.3554183553310395e-08,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,2.1337665856435706e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.6183340889597275e-08,2.697223555614414e-09
1816,2.7811246638975717e-08,0.0
1817,4.203558034987509e-08,0.0
1818,1.3113295338484932e-08,0.0
1819,1.3456364911235141e-08,0.0
1820,4.746592452420373e-09,0.0
1821,4.2404398215012407e-08,0.0
1822,4.511527151862538e-08,0.0
1823,3.261286707356703e-08,0.0
1824,9.263223965660927e-09,0.0
1825,2.4655239627691117e-08,0.0
1826,1.4973572604048968e-08,0.0
1827,2.6730091917670507e-08,0.0
1828,2.2013523448549677e-08,0.0
1829,8.573175946935407e-09,0.0
1830,1.5655253093882493e-08,0.0
1831,1.2472964883158966e-08,0.0
1832,2.976593194148336e-08,0.0
1833,2.548398292390175e-08,0.0
1834,2.333632664885954e-08,0.0
1835,4.689114518896531e-08,0.0
1836,3.965242711956307e-08,0.0
1837,4.87052354003481e-08,0.0
1838,3.28232410140572e-08,0.0
1839,9.088918062616358e-09,0.0
1840,4.968357103507515e-08,0.0
1841,4.237562123421412e-08,0.0
1842,2.2137275124123335e-08,6.708265054555795e-10
1843,5.2571508035725856e-08,0.0
1844,4.7750482679020934e-08,0.0
1845,2.2320911341466854e-08,0.0
1846,3.922516000898213e-08,0.0
1847,3.66739207890987e-08,0.0
1848,4.585776380849893e-08,0.0
1849,4.357295679824347e-08,0.0
1850,3.394497838371535e-08,0.0
1851,2.4507867735223954e-08,0.0
1852,4.296959943417278e-08,0.0
1853,1.4332636411040767e-08,0.0
1854,3.4291385730966795e-08,2.0782657816909023e-09
1855,3.237231638308913e-08,0.0
1856,7.040977578753882e-08,5.177189232874468e-10
1857,3.368241152656992e-08,2.9289055625270066e-09
1858,2.4468379322684086e-08,0.0
1859,3.666364989385329e-08,0.0
1860,4.897586691754441e-08,0.0
1861,1.9335450573976232e-08,0.0
1862,3.11741068514948e-08,0.0
1863,4.694943456229339e-08,0.0
1864,3.8837296045812764e-08,0.0
1865,3.577201823645737e-08,0.0
1866,4.135770836910524e-08,0.0
1867,3.88224918879132e-08,0.0
1868,2.2723421366777075e-08,3.951899252285784e-09
1869,5.3718711257033647e-08,9.767038289254515e-10
1870,4.7019199200803996e-08,0.0
1871,3.186353225714811e-08,0.0
1872,2.7213026498884574e-08,0.0
1873,2.2746817762708815e-08,0.0
1874,3.644511537004291e-08,0.0
1875,1.3159512590732447e-08,0.0
1876,4.413590914964516e-08,6.04601479992084e-10
1877,5.1952454782622226e-08,0.0
1878,4.589707458535486e-08,3.6234530931267273e-09
1879,4.154341226580982e-08,0.0
1880,5.647704881539539e-08,1.9253538763308597e-09
1881,3.69542902944886e-08,6.2752567586699115e-09
1882,4.5256619785050134e-08,0.0
1883,3.917990198942789e-08,0.0
1884,4.291102939646407e-08,3.9610181801208455e-09
1885,4.060750313783501e-08,5.156508553483263e-09
1886,4.7755634113855194e-08,0.0
1887,3.852065688647599e-08,1.9586774424595887e-09
1888,3.550744054336974e-08,1.268122939990235e-09
1889,2.8193115397812107e-08,1.8795409673089125e-09
1890,4.0637196718762425e-08,1.3108772956016423e-09
1891,2.2309770031370135e-08,4.461953917456185e-09
1892,2.1312942521944933e-08,4.387958441043338e-09
1893,2.5249507373814595e-08,1.23168328869383e-08
1894,3.213785149114301e-08,6.9316934414587195e-09
1895,3.972285611553161e-08,1.023164486468886e-08
1896,4.422771837653272e-08,8.845543852942228e-09
1897,2.9133568446582103e-08,5.2440420894583895e-09
1898,3.451596342074481e-08,1.1316709347397591e-08
1899,3.427098604902312e-08,5.527578395003729e-09
1900,2.7512582434496835e-08,5.19105292084987e-09
1901,2.8502569193733507e-08,4.191554126009578e-08
1902,2.9461702411026636e-08,5.4013122863239005e-09
1903,3.4021386596805314e-08,3.2401321625741275e-09
1904,3.654745128756076e-08,1.0749250378694342e-08
1905,5.26397414546409e-08,5.676835002077496e-09
1906,4.6812079546043606e-08,7.716276506641861e-09
1907,4.6799875974556926e-08,8.228549397415463e-09
1908,4.2237946473733246e-08,1.4243028090277221e-08
1909,5.3909637642846064e-08,6.0510818578052294e-09
1910,3.847788576649691e-08,6.412980813053082e-09
1911,5.2671705219609066e-08,3.6710581241550244e-08
1912,3.750783150735515e-08,1.719108944087111e-08
1913,3.3939134169713725e-08,8.484783542428431e-09
1914,2.6117300322425763e-08,8.036092680185902e-09
1915,2.9451904026700504e-08,2.3561523843085297e-09
1916,4.8344833913915863e-08,0.0
1917,5.263883906536648e-08,7.676496771580332e-09
1918,3.790504266021344e-08,1.378365155346728e-08
1919,3.4069039145379065e-08,4.603924352863942e-09
1920,2.5745588771997063e-08,6.057785384427916e-09
1921,4.392193631019836e-08,9.844571380313027e-09
1922,3.9840852394945614e-08,5.902348387820666e-09
1923,4.564857647437748e-08,7.431163684401554e-09
1924,4.640984840875717e-08,6.445812328337297e-09
1925,6.818870446068104e-08,3.299453377181294e-09
1926,3.4553028882555736e-08,3.343841648018042e-09
1927,3.3447673075670536e-08,4.4596899506643695e-09
1928,3.999114284169991e-08,1.1426041224282812e-09
1929,5.013182757807044e-08,1.1140406375176326e-09
1930,2.941009036305786e-08,5.2518016602221e-09
1931,5.2464642408267537e-08,3.4216069977333063e-09
1932,4.274219378430644e-08,1.753525857850491e-08
1933,4.7029715233293246e-08,1.605892663292252e-08
1934,2.6359476379411717e-08,4.7926320689839486e-09
1935,5.505410882733486e-08,1.196828414151696e-08
1936,4.122403041151301e-08,2.5461901032031165e-08
1937,3.5255130370615007e-08,3.777335333410292e-09
1938,2.7226949583791793e-08,2.5930428915188486e-09
1939,4.435274547631707e-08,3.058810094103137e-09
1940,7.100192078723921e-08,2.5357829169792012e-09
1941,5.60785480274717e-08,0.0
1942,1.517105907566929e-08,1.2136847082899749e-08
1943,3.4838823381733164e-08,5.806470415592457e-09
1944,2.2492303131116387e-08,1.927911696952833e-08
1945,2.6142048525912287e-08,0.0
1946,2.227376683094917e-08,2.7842208538686464e-09
1947,3.9338875268413176e-08,2.3841741914054637e-09
1948,3.4790041070209554e-08,4.348755133776194e-09
1949,2.1597418964347526e-08,4.908504269707237e-09
1950,3.403315673722318e-08,1.0635361036293034e-08
1951,2.5587365115598004e-08,8.529121409139861e-09
1952,3.1634410646574906e-08,3.1634410646574906e-09
1953,3.124409886368085e-08,3.232148326759443e-09
1954,3.322662323057557e-08,4.886268278880834e-09
1955,1.3139850985055546e-08,9.385607846468247e-10
1956,3.1396108823855684e-08,4.360570571293465e-09
1957,3.534015036166238e-08,1.7670075402875796e-09
1958,2.8952852559882558e-08,6.617794756635931e-09
1959,4.030388822684472e-08,5.425523585955716e-09
1960,4.6369581951921646e-08,1.1073333361366622e-08
1961,2.153929301584867e-08,6.94815938118154e-09
1962,3.170978146727066e-08,5.0735651235811474e-09
1963,3.4916688207431434e-08,4.526237162849611e-09
1964,2.8594651979574337e-08,1.3384730657151067e-08
1965,3.8851506900527966e-08,4.924839203113152e-09
1966,4.597432123887302e-08,3.3234448526542337e-09
1967,4.53590871529741e-08,6.902469706915326e-09
1968,4.715986534620242e-08,7.186265360559219e-09
1969,3.40631842732364e-08,5.904285060864822e-09
1970,3.357069289222636e-08,7.3579600190498695e-09
1971,3.494110245583215e-08,3.5968783507200897e-09
1972,3.283293992240033e-08,3.5911027485013847e-09
1973,2.591205827684462e-08,4.410563025913916e-09
1974,2.7565301152776556e-08,5.625571675160757e-10
1975,3.1413140533231854e-08,1.7134440533084216e-09
1976,3.8851982964160925e-08,5.142174241967723e-09
1977,2.8208553715103335e-08,2.3507127355770763e-09
1978,3.26732525479656e-08,8.316828115084718e-09
1979,2.63338808537128e-08,7.022368020415115e-09
1980,3.524793257270176e-08,9.096241093686785e-09
1981,3.6055631369436014e-08,7.590659656386833e-09
1982,3.7245012407538525e-08,8.069752865935698e-09
1983,2.841892232652299e-08,1.2630632095778083e-09
1984,3.885335786435462e-08,5.799008384599347e-09
1985,4.030423994549892e-08,4.210890747202711e-09
1986,4.136195030923773e-08,4.196139880008332e-09
1987,3.360949207831254e-08,8.555143260480236e-09
1988,3.897759981441595e-08,1.798966087207532e-09
1989,2.798942233539492e-08,5.488121956886971e-09
1990,3.5416231725093894e-08,6.538381391862913e-09
1991,2.5790447111262438e-08,4.68917216167597e-09
1992,3.4712648755430564e-08,4.4079553340736766e-09
1993,3.268132431344384e-08,6.647049133334804e-09
1994,4.272690645734656e-08,3.164955852952289e-09
1995,3.199246023655178e-08,2.7112254663563817e-09
1996,3.4163790019192675e-08,1.067618438099771e-09
1997,3.979762297490197e-08,3.3564262480467733e-09
1998,4.005228504411207e-08,6.198567881199324e-09
1999,3.6104587763929885e-08,4.113180906983871e-09
2000,3.843687323978884e-08,3.97622823555821e-09
2001,4.249775287235025e-08,2.190605918883648e-09
2002,3.1106672793157486e-08,6.571832411594869e-09
2003,3.333538245442469e-08,3.333538334260311e-09
2004,3.744072429867629e-08,1.7619165015858584e-09
2005,3.963299732845371e-08,5.404499514582994e-09
2006,4.776752149382446e-08,4.941467679486777e-09
2007,3.914589896680809e-08,1.5977917877663117e-09
2008,3.15050527888161e-08,5.960415716543821e-09
2009,3.576144536054926e-08,2.860915504498962e-09
2010,3.4011311100812236e-08,4.2514138876015295e-09
2011,3.6327733710095345e-08,3.4415748029203996e-09
2012,2.7574447614142628e-08,5.1063788752969685e-09
2013,2.8449075983871808e-08,5.578249862026041e-09
2014,3.529675751678951e-08,6.496335469563519e-09
2015,4.012001397768472e-08,5.984753581600444e-09
2016,3.06558334273177e-08,4.556948152156792e-09
2017,3.19482644783875e-08,7.043711836018929e-09
2018,3.020316086121966e-08,6.453666934191915e-09
2019,3.163224704394452e-08,4.08158040698936e-09
