year,faudrait_VERB aller_VERB
1800,4.087413785214267e-08
1801,2.1430643926123594e-08
1802,3.5805442166747525e-08
1803,1.326230716358623e-07
1804,8.404293083685843e-08
1805,1.506725197941705e-07
1806,8.645007198992971e-08
1807,1.7651122163897526e-07
1808,1.3823051858707913e-07
1809,1.6942729530455836e-07
1810,1.6380887757350138e-07
1811,6.769107585569145e-08
1812,1.9203899626063503e-07
1813,1.4091133948568313e-07
1814,5.034683425719777e-08
1815,8.90083740046066e-08
1816,3.0128852301913867e-08
1817,6.694555310104988e-08
1818,4.410835785506606e-08
1819,4.7614829412623294e-08
1820,7.475883023744245e-08
1821,8.678109963966563e-08
1822,5.1130641054442094e-08
1823,8.795591099897138e-08
1824,6.989523626543814e-08
1825,1.6290069027036225e-07
1826,1.2243097557984584e-07
1827,2.451794500757387e-07
1828,2.4673491338944586e-07
1829,2.9748920837846526e-07
1830,1.5968359434737067e-07
1831,1.02901957177437e-07
1832,1.9077256752098037e-07
1833,2.061885879811598e-07
1834,1.6242083233919402e-07
1835,1.5428699384756328e-07
1836,1.6801875801775168e-07
1837,1.3428729062070488e-07
1838,1.3318661729044834e-07
1839,1.9366386538877123e-07
1840,1.350373963759921e-07
1841,1.6500810318120784e-07
1842,1.885022413716797e-07
1843,1.334961865495643e-07
1844,2.77172347296073e-07
1845,2.399497986971255e-07
1846,2.294964502880248e-07
1847,2.5941406534002454e-07
1848,2.2848429637178924e-07
1849,2.262441967104678e-07
1850,2.0299097513998277e-07
1851,1.5801124675363099e-07
1852,1.6601890706624545e-07
1853,1.421319808514454e-07
1854,2.0834615099829534e-07
1855,1.926418207176539e-07
1856,2.940643355486827e-07
1857,1.8012768521202815e-07
1858,1.7176802202811814e-07
1859,1.6702328764495178e-07
1860,1.9590346767017763e-07
1861,2.0467282979552692e-07
1862,1.630993011758619e-07
1863,2.0827569358061737e-07
1864,1.6781547174105071e-07
1865,2.0521841292975296e-07
1866,2.6031028710349347e-07
1867,2.081856109725777e-07
1868,2.7416299985816295e-07
1869,2.554080538175185e-07
1870,1.594065537346978e-07
1871,1.8587060424124502e-07
1872,2.3766043000250647e-07
1873,1.8017873060216516e-07
1874,1.9118749605695484e-07
1875,1.9567622189242684e-07
1876,2.0616910489934526e-07
1877,1.4163228456709476e-07
1878,1.666788449483647e-07
1879,1.6678457370744582e-07
1880,1.7584898159839213e-07
1881,2.112669790221844e-07
1882,1.7104339633533527e-07
1883,2.0158691427241138e-07
1884,1.624017471613115e-07
1885,1.7661041340488737e-07
1886,1.8134232959710062e-07
1887,2.0304955228311883e-07
1888,1.8514595012675272e-07
1889,1.741708075542192e-07
1890,1.9925334981962806e-07
1891,1.8039042970485752e-07
1892,1.7990630851727474e-07
1893,1.866000189920669e-07
1894,1.5627817617769324e-07
1895,1.9500311054798658e-07
1896,1.261964257537329e-07
1897,1.590692733088872e-07
1898,1.4485388533103105e-07
1899,1.475863484756701e-07
1900,1.8583969563223945e-07
1901,1.5760244309603877e-07
1902,1.2423018347362813e-07
1903,1.3932567810570617e-07
1904,1.3974025137031276e-07
1905,1.6204784003548411e-07
1906,1.6101297717341367e-07
1907,1.316567903586474e-07
1908,1.6404040081852145e-07
1909,1.6282911019516177e-07
1910,1.4589531360797992e-07
1911,1.5216269844131602e-07
1912,1.7086901493712503e-07
1913,1.283323456391372e-07
1914,1.0781757708855366e-07
1915,1.4490336752714938e-07
1916,1.7909563609919132e-07
1917,1.7984936562243092e-07
1918,1.2405286042849184e-07
1919,1.6113735057388112e-07
1920,1.3630017292598495e-07
1921,1.3630945261411398e-07
1922,1.586256104246786e-07
1923,1.475616784318845e-07
1924,1.7661525930634525e-07
1925,1.4847540796836256e-07
1926,1.515874856750088e-07
1927,1.728129888078911e-07
1928,1.3939769871740282e-07
1929,1.5930781671613659e-07
1930,1.1764036145223145e-07
1931,1.6081553155800066e-07
1932,1.3918611330154818e-07
1933,1.3420674349617912e-07
1934,1.1741948924282042e-07
1935,1.3763526851562347e-07
1936,1.260970350358548e-07
1937,1.397614113329837e-07
1938,1.1668692678767911e-07
1939,1.3611705185212486e-07
1940,1.4200384157447843e-07
1941,1.475751361112998e-07
1942,2.1542903994031803e-07
1943,1.1612940653549231e-07
1944,1.8636480092482088e-07
1945,1.9170835230397643e-07
1946,1.4338736775698635e-07
1947,1.3232167361820757e-07
1948,1.3372421392432443e-07
1949,1.364564212735786e-07
1950,1.659116435348551e-07
1951,1.4286278826602938e-07
1952,1.381369258979248e-07
1953,1.5191096736089094e-07
1954,1.93496219935696e-07
1955,1.4641548773397517e-07
1956,1.377940321845017e-07
1957,1.8111826705080603e-07
1958,1.5220928162307246e-07
1959,2.0306958958826726e-07
1960,1.584870830129148e-07
1961,1.7092472148760862e-07
1962,1.5854891444178065e-07
1963,1.69410597550268e-07
1964,1.624419496693008e-07
1965,1.6251968304459297e-07
1966,1.3847686375356716e-07
1967,1.479100717460824e-07
1968,1.6214011111514992e-07
1969,1.3943196108812117e-07
1970,1.6463435770219803e-07
1971,1.5569344213872682e-07
1972,1.220974894522442e-07
1973,1.4113801682924532e-07
1974,1.316383730909365e-07
1975,1.365043829082424e-07
1976,1.4512357893181616e-07
1977,1.4985793939104042e-07
1978,1.396038982193204e-07
1979,1.6502565358678112e-07
1980,1.4951946525343374e-07
1981,1.4042720408724563e-07
1982,1.3966879919280473e-07
1983,1.3956848476937012e-07
1984,1.269982874418929e-07
1985,1.4317028274035692e-07
1986,1.4266875325574802e-07
1987,1.2954932060438296e-07
1988,1.331234926738034e-07
1989,1.6080197440260235e-07
1990,1.3022275879848166e-07
1991,1.365721402635245e-07
1992,1.4325854635899304e-07
1993,1.3072529725377535e-07
1994,1.466429608854014e-07
1995,1.388147410352758e-07
1996,1.4786515123432764e-07
1997,1.3617500371765345e-07
1998,1.3732211812111927e-07
1999,1.6315618722728686e-07
2000,1.1177619541058448e-07
2001,1.5903798100680433e-07
2002,1.3713223268041475e-07
2003,1.3000799015117082e-07
2004,1.5372721406947676e-07
2005,1.6078385556284047e-07
2006,1.540090863727528e-07
2007,1.330161722989942e-07
2008,1.3921827246576868e-07
2009,1.3923121855441423e-07
2010,1.5966421074153914e-07
2011,1.5142929044031916e-07
2012,1.7225518433860998e-07
2013,2.0639525644128298e-07
