year,dut_VERB entrer_VERB,dut_VERB rentrer_VERB
1800,3.772997558826319e-08,0.0
1801,7.143547975374531e-09,0.0
1802,1.1189200677108602e-08,2.2378401354217203e-08
1803,1.950339223455444e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,5.685755422035754e-09,1.9900143755080535e-08
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,2.4926814390369145e-08,9.064295980465431e-09
1809,6.7770917766551975e-09,6.7770917766551975e-09
1810,4.680253518074551e-09,1.6380887757350138e-08
1811,1.7549536934780008e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,3.4613449884091096e-08,0.0
1815,5.394447111228828e-09,2.966945977789237e-08
1816,6.952811659743929e-09,9.270415546325239e-09
1817,4.670620334934483e-09,2.1796227045456362e-08
1818,2.026600220972341e-08,1.668964877410417e-08
1819,1.035105001712111e-09,1.0351049795076506e-08
1820,2.0173018810965004e-08,1.3053129244156025e-08
1821,8.875339574387908e-09,0.0
1822,3.0076847679083585e-08,5.012807946513931e-09
1823,0.0,1.4824030003524058e-08
1824,2.105278085196005e-08,2.5263338088166165e-09
1825,3.522177394188475e-08,2.4655239627691117e-08
1826,2.4662355713189754e-08,1.5854372037438225e-08
1827,8.295545583791863e-09,2.5808365222701468e-08
1828,1.2841221419535032e-08,2.7516904310687096e-09
1829,3.943661042171698e-08,1.1145129263923081e-08
1830,2.817945699007396e-08,3.5485243188304594e-08
1831,4.989185953263586e-08,1.2472964883158966e-08
1832,7.441482807735156e-08,0.0
1833,2.89590715851773e-08,4.6334514003376626e-09
1834,2.14694217959277e-08,2.5203233278148218e-08
1835,1.8907719834260206e-08,8.31939672707449e-09
1836,3.965242711956307e-08,2.083432448785061e-08
1837,2.5744196108234974e-08,2.0873672568200163e-08
1838,4.039783618736692e-08,2.840472923537618e-08
1839,2.7266752411492234e-08,1.4682098203877558e-08
1840,5.6690229399691816e-08,3.121147429396842e-08
1841,3.338685417020315e-08,3.338685417020315e-08
1842,4.494537719779146e-08,3.3541326160957396e-08
1843,4.6073907356003474e-08,2.0674189471492355e-08
1844,6.256959750317037e-08,7.080244301960192e-08
1845,3.627148004170522e-08,2.9575208060350633e-08
1846,6.322861167973315e-08,3.33706573485415e-08
1847,6.795461615638487e-08,3.3977308078192436e-08
