year,auront_VERB ajouté_VERB
1800,2.829747991484055e-08
1801,0.0
1802,8.951360541686881e-09
1803,7.801356893821776e-09
1804,0.0
1805,2.55858996212055e-08
1806,0.0
1807,1.1387820464392462e-08
1808,4.5321478125970316e-08
1809,2.259030518203531e-09
1810,2.3401267590372754e-09
1811,7.521229861140455e-09
1812,8.00162425207418e-09
1813,1.7254450312975678e-08
1814,0.0
1815,2.697223555614414e-09
1816,6.952811659743929e-09
1817,2.0239355080775567e-08
1818,9.536941902865692e-09
1819,4.140420006848444e-09
1820,3.322614716694261e-08
1821,4.930744257336528e-09
1822,7.017931125119503e-09
1823,1.581229902569703e-08
1824,1.6000115010683658e-08
1825,2.201360693732113e-08
1826,4.1397527184017235e-08
1827,6.452091305675367e-09
1828,2.4765213879618386e-08
1829,1.1145129263923081e-08
1830,3.1310507520032616e-09
1831,1.4032085715598441e-08
1832,1.2176972319366541e-08
1833,3.4750886612755494e-09
1834,1.8669061851994684e-09
1835,1.8907719834260206e-08
1836,6.720750067579218e-10
1837,9.045257876039159e-09
1838,1.009945904684173e-08
1839,9.788065469251706e-09
1840,6.3696887764308485e-09
1841,1.3483152372373297e-08
1842,5.366612043644636e-09
1843,1.8311423488626133e-08
1844,3.2931368743049916e-09
1845,2.17628883802945e-08
1846,1.6978054517835517e-08
1847,1.3483059113639229e-08
1848,1.769948809737798e-08
1849,1.1731181359664333e-08
1850,1.6293590476834652e-08
1851,1.1608989325395669e-08
1852,1.6276363368206148e-08
1853,7.166318205520383e-09
1854,6.754363734984281e-09
1855,1.3798036491152743e-08
1856,1.9673318973900678e-08
1857,1.3180074809326925e-08
1858,6.361778659424999e-09
1859,5.601390462572908e-09
1860,5.950338888283113e-09
1861,1.131831339762357e-08
1862,4.9697850279528666e-09
1863,5.494082966350788e-09
1864,6.712618905169165e-09
1865,4.23615986733239e-09
1866,5.838735717134114e-09
1867,1.2132028714972876e-08
1868,1.0867722721741302e-08
1869,1.953407657850903e-09
1870,5.160643912205387e-09
1871,3.823623728749226e-08
1872,1.0280476914203973e-08
1873,4.788803575905831e-09
1874,2.9873046258899194e-09
1875,8.010138330405425e-09
1876,7.255217759905008e-09
1877,1.6699003069220453e-08
1878,4.831270938865373e-09
1879,4.27652757650776e-09
1880,1.4119262203848848e-08
1881,1.743126887276958e-08
1882,1.2645231528551903e-08
1883,5.687405213450347e-09
1884,1.5183903911974994e-08
1885,2.1915161241281567e-08
1886,2.5813855497602844e-09
1887,1.1099172247952538e-08
1888,8.876860135842435e-09
1889,5.012109394186837e-09
1890,7.865263995654459e-09
1891,4.461953917456185e-09
1892,1.6298132621272998e-08
1893,1.847525021858587e-09
1894,8.822155450616265e-09
1895,2.2268872967856623e-08
1896,7.076434549446731e-09
1897,8.157399200570126e-09
1898,1.5277558773618694e-08
1899,9.39688327150634e-09
1900,3.633737311048435e-09
1901,2.235495566438317e-09
1902,9.820567692386817e-10
1903,3.2401321625741275e-09
1904,4.299700151477737e-09
1905,3.096455536422127e-09
1906,5.144184633820714e-09
1907,7.199980611716228e-09
1908,4.911389073214423e-09
1909,1.5402754627302784e-08
1910,4.275320542035388e-09
1911,3.1922244847493175e-09
