year,avaient_VERB envoyé_VERB,avaient_VERB renvoyé_VERB
1800,2.1694735607979965e-07,1.8864987794131594e-08
1801,2.404994461358001e-07,1.1905912700171939e-08
1802,1.9245425164626795e-07,8.951360541686881e-09
1803,2.652461432717246e-07,9.751696339321825e-09
1804,2.867347177470947e-07,2.4718509461507665e-09
1805,2.5301611117356515e-07,4.5486043376286034e-08
1806,3.630903222529014e-07,1.729001475325731e-08
1807,7.88606541846093e-07,2.562259560079383e-08
1808,2.243413206315381e-07,2.945896149242344e-08
1809,4.3147483097527584e-07,9.036122072814123e-09
1810,1.8018975822542416e-07,4.44624070894406e-08
1811,7.245452025017585e-07,2.2563691359778204e-08
1812,4.2675333133956883e-07,1.3336041604361526e-08
1813,5.722725973100751e-07,1.4378708002027452e-08
1814,6.419221563191968e-07,4.090680150170556e-08
1815,4.935919264426047e-07,3.236668177919455e-08
1816,2.804300720526953e-07,2.7811246638975717e-08
1817,4.4215204297870514e-07,9.341240669868967e-09
1818,4.971130920239375e-07,1.668964877410417e-08
1819,5.827641302857955e-07,1.8631890696951814e-08
1820,5.624712002827437e-07,2.610625848831205e-08
1821,7.031241011645761e-07,1.1833785507064931e-08
1822,8.682183079145034e-07,4.210758675071702e-08
1823,7.866618716434459e-07,2.2730180404550993e-08
1824,9.499015050096205e-07,4.378978601948802e-08
1825,8.233089374698466e-07,3.258013947515792e-08
1826,7.583674346278713e-07,6.34174881497529e-08
1827,7.281645935108827e-07,3.6869092667757286e-08
1828,7.879006602706795e-07,3.66892045633449e-08
1829,7.124309036043996e-07,6.172686539684946e-08
1830,6.366469733620761e-07,6.157733167810875e-08
1831,5.347783940123918e-07,5.76874619184764e-08
1832,8.077391839833581e-07,4.7354891563600177e-08
1833,7.726280273345765e-07,2.0850531967653296e-08
1834,7.122247325241915e-07,5.694063887062839e-08
1835,9.476549394094036e-07,2.4958190181223472e-08
1836,9.933268074746593e-07,6.04867480547e-08
1837,9.407068546352093e-07,4.313892532081809e-08
1838,1.0617056886985665e-06,3.787297231383491e-08
1839,1.0214545227427152e-06,5.5232654005976656e-08
1840,1.4261732985687559e-06,5.86011346115356e-08
1841,7.492780014217715e-07,3.852328944731198e-08
1842,1.0786890243252856e-06,9.726984018243456e-08
1843,6.692530405416619e-07,3.071593823733565e-08
1844,1.1449138810348813e-06,5.708103856250091e-08
1845,1.0111373285326408e-06,3.57134588568897e-08
1846,7.850886163396353e-07,4.507965911670908e-08
1847,8.359496632692753e-07,6.68759696509369e-08
1848,7.868226816754031e-07,6.033916122305527e-08
1849,6.896258355482132e-07,5.9493846293889874e-08
1850,7.977070595188707e-07,1.425689166723032e-08
1851,7.623236797371646e-07,3.740674614505224e-08
1852,7.565253667962679e-07,2.408901877970493e-08
1853,7.267840942404291e-07,1.6721408258035808e-08
1854,8.432563163296436e-07,3.221311928314208e-08
1855,7.413790967802925e-07,2.600399184871094e-08
1856,6.766586579942668e-07,2.4332790005132665e-08
1857,7.722547366029175e-07,5.418474913199134e-08
1858,7.086042614901089e-07,5.431980554249094e-08
1859,7.913237141110585e-07,5.4995471288066256e-08
1860,8.559333650737244e-07,3.524431591017674e-08
1861,9.248004744222271e-07,4.008569121083383e-08
1862,8.177555059774022e-07,5.0149647989883306e-08
1863,7.127324010980374e-07,3.49623441309177e-08
1864,7.594849193992559e-07,3.691940619887646e-08
1865,7.658035769964044e-07,3.95374932793402e-08
1866,8.694850066603976e-07,3.989802621617855e-08
1867,7.148191230044176e-07,3.0572714138088486e-08
1868,7.014621132839238e-07,4.3964877960434023e-08
1869,7.667125032639888e-07,3.662639258550371e-08
1870,7.39692268325598e-07,2.121598008386627e-08
1871,7.211779120552819e-07,2.549082545044712e-08
1872,7.934108907647897e-07,3.265563108811875e-08
1873,6.973695008127834e-07,2.7535620006347017e-08
1874,8.083646321210836e-07,2.3300975371398636e-08
1875,7.518086704294547e-07,3.833423178889461e-08
1876,5.767898301201058e-07,1.9951848173604958e-08
1877,7.21768003586476e-07,3.154256233983688e-08
1878,7.403922950288688e-07,1.3285995414946683e-08
1879,6.585852361240541e-07,1.588424503040642e-08
1880,6.597546189368586e-07,1.2835692508872398e-08
