year,peut_VERB appliquer_VERB,peut_VERB rappliquer_VERB
1800,1.462036493649066e-06,0.0
1801,1.359655243504676e-06,0.0
1802,1.2867581062891986e-06,0.0
1803,1.515413600827742e-06,3.900678446910888e-09
1804,1.5103008763617254e-06,2.4718509461507665e-09
1805,1.6062258509919047e-06,2.842877711017877e-09
1806,1.495586275268579e-06,2.881669125542885e-09
1807,1.7708060795484926e-06,0.0
1808,1.5953161209836253e-06,2.2660739951163578e-09
1809,1.5609900856361492e-06,0.0
1810,1.6100071889013634e-06,2.3401267590372754e-09
1811,1.4641328789366526e-06,2.5070767684098882e-09
1812,2.403154667263152e-06,0.0
1813,1.345847067568684e-06,0.0
1814,1.4726449535373831e-06,3.1466771410748606e-09
1815,1.2703923175649834e-06,2.697223555614414e-09
1816,1.418373585693189e-06,0.0
1817,1.0166382935494767e-06,0.0
1818,1.2195364433864597e-06,0.0
1819,1.3746193872066215e-06,1.035105001712111e-09
1820,1.2341140518401517e-06,0.0
1821,1.3046749245404499e-06,9.86148829262845e-10
1822,1.3694991594093153e-06,0.0
1823,1.0011161748479935e-06,0.0
1824,1.0652707942426787e-06,0.0
1825,1.1649601674434962e-06,0.0
1826,1.1899586525032646e-06,0.0
1827,1.3706085155718029e-06,9.217273055917019e-10
1828,1.312556264565501e-06,9.172301251858528e-10
1829,1.2808325209334726e-06,8.57317605795771e-10
1830,1.2398960507198353e-06,0.0
1831,1.2862744824815309e-06,4.677361609140007e-09
1832,1.4558247585227946e-06,0.0
1833,1.0819109093063162e-06,0.0
1834,9.987948033085559e-07,0.0
1835,9.128647207035101e-07,0.0
1836,8.952039252108079e-07,0.0
1837,8.620826861260866e-07,1.3915781860163179e-09
1838,9.31043871332804e-07,6.312161904276081e-10
1839,1.0410306003905134e-06,6.9914751765765e-10
1840,1.144633074545709e-06,6.369688665408546e-10
1841,1.325843300037377e-06,6.420548537278137e-10
1842,9.532444664728246e-07,6.708265054555795e-10
1843,1.0591091950118425e-06,5.906911071384968e-10
1844,1.0417289786346373e-06,5.488561272137815e-10
1845,1.0580112075331272e-06,1.1160455892778032e-09
1846,9.700909231469268e-07,0.0
1847,1.0559931524767308e-06,0.0
1848,8.672748776916706e-07,8.045221711050488e-10
1849,1.0382094615124515e-06,0.0
1850,1.0468631899129832e-06,1.3577992064028876e-09
1851,1.023525896926003e-06,6.449438760824933e-10
1852,1.0905163208008162e-06,1.3021090872200602e-09
1853,1.0462824775459012e-06,0.0
1854,8.598824479122413e-07,0.0
