year,peuvent_VERB abattre_VERB,peuvent_VERB rabattre_VERB
1800,3.772997558826319e-08,0.0
1801,3.809892135109294e-08,0.0
1802,1.5664880947952042e-08,0.0
1803,3.705644502360883e-08,0.0
1804,4.943701981119375e-08,0.0
1805,6.254330742194725e-08,2.55858996212055e-08
1806,1.729001475325731e-08,0.0
1807,2.562259560079383e-08,0.0
1808,2.039466551195801e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,5.8503168531842675e-08,0.0
1811,4.011322829455821e-08,0.0
1812,8.00162425207418e-09,0.0
1813,1.1502966579257645e-08,0.0
1814,2.2026739543434815e-08,0.0
1815,6.74305908887618e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,0.0,0.0
1818,9.536941902865692e-09,0.0
1819,4.140419918030602e-08,0.0
1820,3.9159388620646496e-08,0.0
1821,3.35290586406245e-08,0.0
1822,3.107940926838637e-08,0.0
1823,1.680056804787e-08,0.0
1824,3.621078548121659e-08,0.0
1825,3.434122675116669e-08,0.0
1826,2.290075862276808e-08,0.0
1827,2.6730091917670507e-08,0.0
1828,2.109629271274116e-08,0.0
1829,1.2859763920403111e-08,0.0
1830,2.6092090266160994e-08,0.0
1831,1.870944643656003e-08,1.5591206103948707e-09
1832,1.2176972319366541e-08,0.0
1833,9.266902800675325e-09,0.0
1834,1.5868701908061666e-08,0.0
1835,3.403389570166837e-08,0.0
1836,2.4866775305554256e-08,0.0
1837,2.7831564608504777e-08,0.0
1838,1.4517972601879592e-08,1.2624323808552163e-09
1839,1.5381244722334486e-08,0.0
1840,1.2102408852854296e-08,0.0
1841,2.0545755319290038e-08,0.0
1842,3.890793820460203e-08,0.0
1843,2.539971788451112e-08,0.0
1844,1.1525978393933656e-08,0.0
1845,1.6182660544927785e-08,0.0
1846,1.2879903366069811e-08,0.0
1847,2.6966118227278457e-08,0.0
1848,3.218088551193432e-08,1.6090443422100975e-09
1849,1.0893239199560867e-08,0.0
1850,1.2220192857625989e-08,0.0
1851,2.902247508984601e-08,0.0
1852,2.799534470909748e-08,0.0
1853,1.911018188138769e-08,0.0
1854,3.585008556683533e-08,0.0
1855,1.4859423913549108e-08,5.306937111981824e-10
1856,2.4332790005132665e-08,0.0
1857,1.2203773103180993e-08,0.0
1858,2.104280660830682e-08,0.0
1859,1.3748867822016564e-08,0.0
1860,2.0597328287408345e-08,0.0
1861,1.2733101684148096e-08,0.0
1862,2.0782737308877586e-08,0.0
1863,2.3474717281146695e-08,0.0
1864,1.342523781033833e-08,0.0
1865,1.835669216632141e-08,0.0
1866,1.3623716377253459e-08,4.379051787850585e-09
1867,1.164674756637396e-08,0.0
1868,1.0867722721741302e-08,0.0
1869,1.3185501579471293e-08,0.0
1870,1.3188312664169644e-08,0.0
1871,8.496941816815706e-09,1.0621177271019633e-09
1872,1.3908880269752899e-08,0.0
1873,1.3767810003173508e-08,0.0
1874,2.3898437007119355e-08,0.0
1875,9.7265964171811e-09,0.0
1876,1.4510435519810017e-08,0.0
1877,7.421779191219002e-09,0.0
1878,1.0870359723469392e-08,0.0
1879,9.774920428640144e-09,0.0
1880,7.059631101924424e-09,0.0
1881,5.5780060570498335e-09,0.0
1882,1.4641846846075168e-08,0.0
1883,2.5277355764075082e-09,0.0
1884,8.582206056928499e-09,0.0
1885,9.66845359329227e-09,0.0
1886,2.0651084398082276e-08,3.872078213618124e-09
1887,1.3057849024278312e-08,0.0
1888,2.53624587998047e-09,0.0
1889,1.7542383545787743e-08,0.0
1890,2.1629475099871343e-08,3.2771931834929546e-09
1891,8.92390783491237e-09,0.0
1892,8.149066310636499e-09,0.0
1893,8.005941687372342e-09,0.0
1894,2.520615716150587e-09,0.0
1895,7.22233739480771e-09,0.0
1896,2.358811590497112e-09,0.0
1897,1.2236098356765979e-08,5.826713556089658e-10
1898,6.224190496340043e-09,0.0
1899,1.2160672469008205e-08,2.2110313580014918e-09
1900,9.34389543516545e-09,0.0
1901,8.38310842965484e-09,0.0
1902,5.892340837476695e-09,0.0
1903,2.1600881083827517e-09,0.0
1904,9.13686282189019e-09,0.0
1905,1.5998352864698973e-08,0.0
1906,1.0802787109298606e-08,5.144184633820714e-09
1907,1.2342823652033985e-08,1.028568674676933e-09
1908,9.331639461152008e-09,0.0
1909,4.950885035270858e-09,0.0
1910,1.336037680488289e-08,0.0
1911,9.576673676292558e-09,0.0
1912,7.814131564032323e-09,0.0
1913,6.363587878865928e-09,0.0
1914,1.7411533548283842e-08,0.0
1915,8.246533234057551e-09,0.0
1916,2.4172416956957932e-08,2.197492410260793e-09
1917,1.5352993543160665e-08,0.0
1918,3.2161853624756986e-08,0.0
1919,1.6574126959767455e-08,0.0
1920,2.2716695191604686e-09,0.0
1921,6.815472630705699e-09,0.0
1922,1.1066902949607993e-08,7.377935484775833e-10
1923,4.246379248229459e-09,0.0
1924,3.867487219366694e-09,0.0
1925,2.1996355847875293e-09,0.0
1926,6.687683296036084e-09,0.0
1927,8.919379901328739e-09,0.0
1928,7.998228745975666e-09,0.0
1929,4.4561625500705304e-09,1.1140406375176326e-09
1930,1.05036033204442e-08,0.0
1931,3.4216069977333063e-09,0.0
1932,1.0959536611565568e-09,0.0
1933,5.735331320977366e-09,0.0
1934,9.585264137967897e-09,0.0
1935,1.196828414151696e-08,0.0
1936,1.2124714565686645e-08,0.0
1937,3.777335333410292e-09,0.0
1938,9.075650453382877e-09,0.0
1939,4.588215141154706e-09,0.0
1940,1.5214697057785997e-08,0.0
1941,1.1806010391524069e-08,2.9515025978810172e-09
1942,9.102635090130207e-09,0.0
1943,8.709705845433291e-09,0.0
1944,1.927911696952833e-08,0.0
1945,4.357008087652048e-09,0.0
1946,1.6705325123211878e-08,1.3921104269343232e-09
1947,2.3841741914054637e-09,0.0
1948,1.0871888278529696e-08,3.2615663503321457e-09
1949,1.1780409536754632e-08,9.817008317369869e-10
1950,6.381216888229346e-09,0.0
1951,3.1984206394497505e-09,0.0
1952,9.490323193972472e-09,4.2179215675730575e-09
1953,3.232148326759443e-09,0.0
1954,6.840775057526116e-09,0.0
1955,1.1262729415761896e-08,0.0
1956,6.976913269340912e-09,8.72114158667614e-10
1957,7.951533653738352e-09,2.6505113659425206e-09
1958,1.6544486891589827e-09,8.272243445794913e-10
1959,6.975672928177801e-09,0.0
1960,4.844583401109048e-09,0.0
1961,6.948159270159238e-10,0.0
1962,5.0735651235811474e-09,0.0
1963,1.3578711488548834e-08,6.466053248388448e-10
1964,1.0951143103454797e-08,0.0
1965,1.0396882466068291e-08,0.0
1966,7.754704434148607e-09,0.0
1967,8.381570104631919e-09,0.0
1968,8.982831367632116e-09,0.0
1969,1.2262746373892242e-08,9.083515606356229e-10
1970,1.5635665207014426e-08,9.197450023812337e-10
1971,1.0790635052160269e-08,5.138397485282553e-10
1972,1.0260293947794707e-08,0.0
1973,7.1671650836435674e-09,2.7566018356850464e-09
1974,7.875800456247362e-09,0.0
1975,5.140332159925265e-09,0.0
1976,4.570821499072508e-09,0.0
1977,8.815172591880582e-09,5.876781838942691e-10
1978,2.970295565063452e-09,0.0
