year,tant_ADV emporté_VERB,tant_ADV remporté_VERB
1800,3.144164484325529e-09,0.0
1801,1.1905912700171939e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,1.1702034896643454e-08,1.950339223455444e-09
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,1.729001475325731e-08,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,6.293354282149721e-09,0.0
1815,1.8880564667256294e-08,0.0
1816,0.0,0.0
1817,3.113746815941454e-09,0.0
1818,1.0729059418679299e-08,0.0
1819,1.035105001712111e-09,0.0
1820,1.1866481131050932e-09,2.3732962262101864e-09
1821,5.9168927535324656e-09,0.0
1822,1.0025615893027862e-08,0.0
1823,3.9530747564242574e-09,9.882686891060644e-10
1824,2.5263338088166165e-09,4.210556348027694e-09
1825,7.044354433105582e-09,0.0
1826,1.2331177856594877e-08,0.0
1827,6.452091305675367e-09,0.0
1828,4.586150570418113e-09,0.0
1829,2.571952872898464e-09,5.143905745796928e-09
1830,1.0436835840010872e-09,5.218417697960831e-09
1831,4.677361609140007e-09,0.0
1832,0.0,0.0
1833,2.3167257001688313e-09,1.1583628500844156e-09
1834,8.401078055442213e-09,0.0
1835,5.294161553592858e-09,0.0
1836,1.1425274948351216e-08,0.0
1837,7.653680356156656e-09,0.0
1838,8.2058102535143e-09,5.049729523420865e-09
1839,0.0,0.0
1840,7.64362617644565e-09,0.0
1841,6.420548537278137e-09,3.2102742686390684e-09
1842,9.391571076378114e-09,0.0
1843,0.0,0.0
1844,3.2931368743049916e-09,5.488561272137815e-10
1845,2.2320911785556063e-09,0.0
1846,2.3418005312692003e-09,5.854501328173001e-10
1847,2.1572894581822766e-09,3.235934187273415e-09
1848,4.02261068899179e-09,0.0
1849,0.0,0.0
1850,6.788996032014438e-10,1.3577992064028876e-09
1851,3.8696632564949596e-09,6.449438760824933e-10
1852,2.6042181744401205e-09,0.0
1853,5.3747388761848924e-09,2.388772735173461e-09
1854,1.0910895298366086e-08,1.558699391779328e-09
1855,2.653468555990912e-09,0.0
1856,4.141751386299575e-09,1.5531567143511893e-09
1857,2.9289055625270066e-09,9.763018171682347e-10
1858,1.3702292633865909e-08,2.936205500958522e-09
1859,7.638259802433822e-09,0.0
1860,2.746310290291376e-09,4.577183909670879e-10
1861,5.187560159214399e-09,0.0
1862,3.6143890103090826e-09,0.0
1863,1.048870412745373e-08,0.0
1864,7.1920918109924514e-09,4.794727948009836e-10
1865,4.706844358715045e-10,9.41368871743009e-10
1866,2.919367858567057e-09,4.865612912574591e-10
1867,9.7056229719783e-10,0.0
1868,9.385760613156435e-09,0.0
1869,0.0,0.0
1870,4.587239033071455e-09,0.0
1871,0.0,0.0
1872,3.628403577593531e-09,0.0
1873,0.0,0.0
1874,5.974609140757536e-10,0.0
1875,2.8607636259891933e-09,1.716458086775674e-09
1876,4.232210137899983e-09,0.0
