year,aient_VERB envoyé_VERB,aient_VERB renvoyé_VERB
1800,9.432493897065797e-09,0.0
1801,4.7623650800687756e-08,0.0
1802,4.923248297927785e-08,0.0
1803,1.1702034896643454e-08,0.0
1804,3.9549615138412264e-08,0.0
1805,6.822906328807221e-08,0.0
1806,0.0,2.881669125542885e-09
1807,3.4163463169534225e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,4.292158095609011e-08,4.518061036407062e-09
1810,3.978215445954447e-08,0.0
1811,2.2563691359778204e-08,0.0
1812,1.600324850414836e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,4.405347908686963e-08,0.0
1815,6.203614333344376e-08,0.0
1816,3.7081662185300956e-08,2.3176038865813098e-09
1817,1.2454987263765815e-08,0.0
1818,1.9073883805731384e-08,0.0
1819,1.5526575580793178e-08,8.280840013696888e-09
1820,3.678609061807947e-08,4.746592452420373e-09
1821,2.5639868894700157e-08,0.0
1822,4.912551787583652e-08,0.0
1823,1.2847492847356534e-08,0.0
1824,3.115811608722652e-08,1.0105335235266466e-08
1825,5.107157008410468e-08,8.805443041381977e-10
1826,3.170874407487645e-08,4.403992281964975e-09
1827,4.055600300034712e-08,0.0
1828,3.760643352279658e-08,7.337841001486822e-09
1829,1.8860987438529264e-08,0.0
1830,1.7742621594152297e-08,4.174734336004349e-09
1831,4.365537620287796e-08,1.5591206103948707e-09
1832,3.5177919244233635e-08,1.3529969367098715e-09
1833,1.853380560135065e-08,0.0
1834,4.0138484536100805e-08,0.0
1835,3.025235173481633e-08,0.0
1836,4.435695188931277e-08,6.72075017860152e-09
1837,3.896418832027848e-08,0.0
1838,4.3553917805638775e-08,1.1361890983607736e-08
1839,2.307186797168015e-08,6.9914751765765e-10
1840,2.4841785517537573e-08,3.1848443882154243e-09
1841,4.173356416004026e-08,0.0
1842,1.6770663080478698e-08,1.1404051036834062e-08
1843,1.8902115428431898e-08,5.906911071384968e-10
1844,2.360081374774836e-08,1.097712254427563e-09
1845,2.3436957263811564e-08,1.674068439427856e-09
1846,3.102885770545072e-08,1.7563503984519002e-09
1847,1.833696039454935e-08,1.3483059113639229e-08
1848,2.333114323960217e-08,8.04522137798358e-09
1849,3.100383594301093e-08,6.703531951757213e-09
1850,1.968808760466345e-08,6.788996032014438e-10
1851,3.998652076120379e-08,3.8696632564949596e-09
1852,8.463708844885787e-09,6.510545436100301e-10
1853,2.030456869306363e-08,2.388772735173461e-09
1854,2.5458755104068587e-08,4.1565315633818045e-09
1855,3.02495415382964e-08,2.1227748447927297e-09
1856,2.847454005916461e-08,3.6240324075009767e-09
1857,1.4644527368545823e-08,4.881509085841174e-10
1858,2.6915218498402282e-08,5.3830437884982985e-09
1859,3.564521477983362e-08,0.0
1860,1.9224172476128842e-08,9.154367819341758e-10
1861,3.584132457490341e-08,4.715963730639317e-10
1862,1.9427341513278407e-08,1.8071945051545413e-09
1863,3.146611149418277e-08,2.4973103585068657e-09
1864,3.7398876884253696e-08,1.9178911792039344e-09
1865,3.577201823645737e-08,4.706844358715045e-10
1866,4.9142691693759843e-08,0.0
1867,3.2513838732484146e-08,5.338092634588065e-09
1868,4.544684273355415e-08,3.951899252285784e-09
1869,4.5905078849273195e-08,6.8369265804335555e-09
1870,3.7844721134661086e-08,1.7202146374017957e-09
1871,3.823623728749226e-08,0.0
1872,3.9912439575573444e-08,1.2094678591978436e-09
1873,2.2746817762708815e-08,0.0
1874,1.7326366119618797e-08,0.0
1875,2.9751941355016243e-08,0.0
1876,2.7207066821688386e-08,6.04601479992084e-10
1877,1.7317484335421796e-08,6.184815992682502e-10
1878,1.5701630218245555e-08,0.0
1879,2.504823370941267e-08,3.0546627449723474e-09
1880,2.0537108014195837e-08,6.417846254436199e-10
1881,2.3009274485730202e-08,0.0
1882,2.0631693686823382e-08,1.3310770263785798e-09
1883,2.7805091562527195e-08,6.319338941018771e-10
1884,3.036780782394999e-08,7.922036360241691e-09
1885,2.3848851782304337e-08,0.0
1886,2.3877817056927597e-08,0.0
1887,2.415702127223085e-08,1.3057849246322917e-09
1888,2.599652049184442e-08,0.0
1889,1.3783300722991498e-08,6.265136742733546e-10
1890,1.7041404731799048e-08,6.554386478008212e-10
1891,3.888274235919198e-08,6.374220040683554e-10
1892,1.191017329205124e-08,0.0
1893,1.3548516086814288e-08,5.542574843531156e-09
1894,1.764431090123253e-08,6.301539290376468e-10
1895,2.1065151400989635e-08,6.018614495673091e-10
1896,2.6536630670648265e-08,5.89702897624278e-10
