year,voudront_VERB entrer_VERB,voudront_VERB rentrer_VERB
1800,3.458580977167003e-08,3.144164484325529e-09
1801,3.809892135109294e-08,1.1905912700171939e-08
1802,1.1189200677108602e-08,0.0
1803,2.7304748684287006e-08,5.851017448321727e-09
1804,4.69651695311768e-08,2.4718509461507665e-09
1805,4.5486043376286034e-08,5.685755422035754e-09
1806,1.4408345627714425e-08,0.0
1807,5.693910054560547e-08,0.0
1808,3.172503681980743e-08,0.0
1809,2.9367397402779716e-08,6.7770917766551975e-09
1810,1.0530570193623134e-07,0.0
1811,4.512738271955641e-08,0.0
1812,2.9339290108509886e-08,0.0
1813,1.00650957790549e-07,0.0
1814,9.440030979135372e-09,0.0
1815,8.091670444798638e-09,6.203614333344376e-08
1816,1.622322720606917e-08,0.0
1817,5.60474440192138e-08,0.0
1818,2.2650237241350624e-08,2.5034472272977837e-08
1819,4.243930362690662e-08,1.3456364911235141e-08
1820,1.4239777357261119e-08,2.3732962262101864e-09
1821,5.226588939422072e-08,3.94459531705138e-09
1822,8.120748873352568e-08,3.0076847679083585e-09
1823,3.656594316225892e-08,2.9648061783404955e-09
1824,5.136878655775945e-08,1.0105335235266466e-08
1825,4.490776106536032e-08,7.044354433105582e-09
1826,3.3470339388941284e-08,7.927186018719112e-09
1827,1.2904182611350734e-08,1.013900075008678e-08
1828,3.3020285172824515e-08,1.2841221419535032e-08
1829,1.1402324417986165e-07,7.715858174606183e-09
1830,2.817945699007396e-08,1.982998831806526e-08
1831,3.1182413096075834e-08,1.5591206103948707e-09
1832,2.4353944638733083e-08,0.0
1833,3.70676112027013e-08,4.6334514003376626e-09
1834,3.173740381612333e-08,8.401078055442213e-09
1835,5.142899794918776e-08,2.2689263801112247e-09
1836,7.392824841190304e-08,6.720750067579218e-10
1837,4.313892532081809e-08,3.478945576063097e-09
1838,3.5348108440302894e-08,1.2624323808552163e-09
1839,7.271134450093086e-08,7.690622361167243e-09
1840,5.6053259811505995e-08,7.0066574764382494e-09
1841,3.274479709602929e-08,1.9903700021473014e-08
1842,6.842430622100437e-08,8.049918065466954e-09
