year,ont_VERB acheté_VERB,ont_VERB racheté_VERB
1800,3.238489512114029e-07,2.829747991484055e-08
1801,4.619494120561285e-07,1.1905912700171939e-08
1802,3.2224897950072773e-07,2.6854081625060644e-08
1803,4.797834662895184e-07,3.315576790896557e-08
1804,5.536946332540538e-07,1.2359254952798437e-08
1805,4.1790300997490704e-07,3.1271653710973624e-08
1806,4.927654231323686e-07,4.034336598124355e-08
1807,5.665440880875394e-07,2.2775640928784924e-08
1808,2.6739672875919496e-07,1.5862518409903714e-08
1809,4.856915438722353e-07,4.51806094758922e-08
1810,6.341743414850498e-07,4.914266327205041e-08
1811,4.487667411012808e-07,1.7549536934780008e-08
1812,3.654075158010528e-07,5.3344164641089264e-09
1813,2.415623043816595e-07,2.300593315851529e-08
1814,4.0277467405758216e-07,1.5733386149463513e-08
1815,4.288585557787883e-07,4.5852800667489646e-08
1816,3.290997483418323e-07,1.0660977523002657e-07
1817,4.281401970729348e-07,9.029865566390072e-08
1818,4.136648499297735e-07,5.722165141719415e-08
1819,4.875344643551216e-07,3.9333990287104825e-08
1820,4.6397940423048567e-07,2.610625848831205e-08
1821,4.901159513792663e-07,6.01550809165019e-08
1822,3.5290167943458073e-07,1.0025615893027862e-08
1823,3.7653038020835083e-07,3.854247765389118e-08
1824,3.2421283435724035e-07,2.5263338088166165e-08
1825,3.557398997600103e-07,3.874394849390228e-08
1826,3.514385866765224e-07,6.1655889282974385e-09
1827,5.604102284451074e-07,3.502563927781921e-08
1828,6.108752472755441e-07,2.4765213879618386e-08
1829,4.938149231747957e-07,4.886710414098161e-08
1830,4.7591970542271156e-07,2.1917355041978226e-08
1831,5.035959702581749e-07,4.5214498811674275e-08
1832,4.843728902415023e-07,2.705993829010822e-08
1833,4.471280590223614e-07,1.6217079235048004e-08
1834,4.471240231396223e-07,1.6802156110884425e-08
1835,4.3185232811993046e-07,3.6302822081779595e-08
1836,4.7314080120486324e-07,1.344150035720304e-08
1837,4.633955370536569e-07,2.2265250976261086e-08
1838,3.982974021710106e-07,3.471689069556305e-08
1839,3.7334476132855343e-07,3.985140750728533e-08
1840,4.688090768922848e-07,4.968357103507515e-08
1841,4.6613183712906903e-07,2.247191943638427e-08
1842,4.2664566990424646e-07,3.8237111255057243e-08
1843,4.825946575692797e-07,3.6622846977252266e-08
1844,3.9188327605188533e-07,5.762989374602512e-08
1845,4.4865032577945385e-07,4.0177642546268544e-08
1846,5.380286438594339e-07,3.8639708321852595e-08
1847,5.215247256273869e-07,3.55952778363644e-08
1848,5.301801024870656e-07,4.98803736093123e-08
1849,4.256742727193341e-07,4.022119171054328e-08
1850,5.288628130983852e-07,5.702756666892128e-08
1851,4.3469216848279757e-07,4.1921353499674296e-08
1852,4.264407209575438e-07,2.799534470909748e-08
1853,4.3236786950728856e-07,4.060913738612726e-08
1854,4.083792362052918e-07,2.8056588163849483e-08
1855,4.6011143695068313e-07,2.7065379271107304e-08
1856,5.353213623493502e-07,4.4523826403519706e-08
1857,4.969376163899142e-07,4.930324237761852e-08
1858,4.0960068758977286e-07,2.5936483183386372e-08
1859,4.4149143718641426e-07,5.092173438470127e-08
1860,4.6275329168565804e-07,4.3483247225140076e-08
1861,5.536541607398249e-07,6.225072013421595e-08
1862,4.725813766981446e-07,7.093238707511773e-08
1863,4.600045713232248e-07,3.346395871517416e-08
1864,3.730298203663551e-07,4.2193605054308136e-08
1865,4.1184887322742725e-07,5.271665770578693e-08
1866,4.2038894321194675e-07,9.001384171369864e-08
1867,4.838253175876162e-07,4.85281148598915e-08
1868,4.4607062932300323e-07,4.1494942593089945e-08
1869,4.2047099668707233e-07,3.809144999422642e-08
1870,4.776462674271897e-07,4.185855573268782e-08
1871,4.354682801022136e-07,5.629224020253787e-08
1872,4.7592558871656365e-07,2.53988243770209e-08
1873,4.3518252823560033e-07,2.573981916498269e-08
1874,5.120240302858292e-07,5.018671700440791e-08
1875,4.216765603359818e-07,3.89063856687244e-08
1876,4.879133825852477e-07,4.292670396921494e-08
1877,4.861265097133582e-07,2.968711676487601e-08
1878,5.121146955389122e-07,5.495570576385944e-08
1879,6.378135708473565e-07,7.453376582589044e-08
1880,5.224126766734116e-07,4.813384535395926e-08
1881,5.201490580475365e-07,6.763332294212887e-08
1882,4.672080251566513e-07,6.256062334841772e-08
1883,5.952817332399718e-07,4.1707636455612374e-08
1884,5.268154268378566e-07,2.970763546272792e-08
1885,5.813963639411668e-07,4.5119449509911647e-08
1886,5.795210427095299e-07,4.323820945728585e-08
1887,5.405949536907428e-07,5.7454535351553204e-08
1888,5.345138447410136e-07,3.9311810695608074e-08
1889,4.3542701178012067e-07,6.01453109538852e-08
1890,5.210737299421453e-07,5.3745967676377404e-08
1891,5.736798129873932e-07,5.4818293904190796e-08
1892,6.005234922668024e-07,4.325273650351846e-08
1893,4.7173469397421286e-07,4.6803965148001225e-08
1894,4.56861585007573e-07,5.797416235964192e-08
