year,peut_VERB emporter_VERB,peut_VERB remporter_VERB
1800,1.477757365364596e-07,3.144164484325529e-09
1801,1.8335106233280385e-07,4.7623651688866175e-09
1802,1.4545960880241182e-07,2.6854081625060644e-08
1803,7.996391104825307e-08,9.751696339321825e-09
1804,5.6852570651244605e-08,2.4718509905596875e-08
1805,9.381496113292087e-08,4.5486043376286034e-08
1806,2.3341519295172475e-07,5.187004603612877e-08
1807,1.2811298688575334e-07,9.394951661079176e-08
1808,1.155697759713803e-07,2.039466551195801e-08
1809,1.197286110254936e-07,3.6144488291256494e-08
1810,1.6146874770583963e-07,7.254392642153107e-08
1811,1.178326058948187e-07,4.512738271955641e-08
1812,5.147712158759532e-07,2.9339290108509886e-08
1813,1.6679301495514665e-07,4.3136125782439194e-08
1814,2.234140765722259e-07,1.2586708564299443e-08
1815,2.3735567822313897e-07,1.3486118000116676e-08
1816,6.489290882427667e-08,2.7811246638975717e-08
1817,1.5257359109455138e-07,3.113746815941454e-09
1818,1.3113294983213564e-07,8.344824387052086e-09
1819,1.1282644862831148e-07,1.5526575580793178e-08
1820,1.4121113167675503e-07,1.3053129244156025e-08
1821,1.5088076565916708e-07,2.3667571014129862e-08
1822,1.5439448475262907e-07,1.604098542884458e-08
1823,1.2353358158634364e-07,4.0519015698237126e-08
1824,1.3052724057160958e-07,1.6842225392110777e-09
1825,1.0654586191094495e-07,2.641632912414593e-09
1826,1.0217262058631604e-07,7.927186018719112e-09
1827,8.387718253288767e-08,1.935627302884768e-08
1828,1.6877034170192928e-07,1.8344602503717056e-09
1829,1.8432328374728968e-07,4.286587973467704e-09
1830,1.628146435450617e-07,1.878630406793036e-08
1831,3.492430096230237e-07,3.1182413096075834e-08
1832,2.2730348803179368e-07,1.2176972319366541e-08
1833,1.18153010930655e-07,1.853380560135065e-08
1834,1.2414926686687977e-07,1.3068342852307069e-08
1835,1.4218605315363675e-07,9.075705520444899e-09
1836,1.344150035720304e-07,2.755507466645213e-08
1837,9.810626266926192e-08,9.045257876039159e-09
1838,1.2371837954106013e-07,2.9667161172142187e-08
1839,1.6150308113083156e-07,1.3982949909063791e-08
1840,1.3248951802324882e-07,2.229391071750797e-08
1841,1.3675767718268617e-07,8.988767952189392e-09
1842,9.12324082946725e-08,8.720745015011744e-09
1843,1.1282200063078562e-07,1.1813821920725331e-08
1844,1.3392089215358283e-07,1.1525978393933656e-08
1845,1.3057733383448067e-07,1.6182660544927785e-08
1846,1.1709002478710318e-07,9.367202125076801e-09
1847,9.060615724365562e-08,1.9954928376364478e-08
1848,1.0378335701943797e-07,8.84974404868899e-09
1849,1.2317740072376182e-07,5.02764896381791e-09
1850,1.0387164195435616e-07,2.1724787302446202e-08
1851,1.412427081959322e-07,1.3543821175687754e-08
1852,1.2174720609436918e-07,1.2370036550635177e-08
1853,1.6542250591555785e-07,1.4929829816878737e-08
1854,1.2521550729616138e-07,4.1565314745639625e-08
1855,1.1834470114990836e-07,2.865746040470185e-08
1856,1.1959306789322e-07,1.5531567143511893e-08
1857,1.327770462467015e-07,9.274867096564776e-09
1858,1.3017178446261823e-07,2.3489644007668176e-08
1859,8.656694916453489e-08,2.5970084749360467e-08
1860,8.650877703075821e-08,1.4646988510946812e-08
1861,1.4195050823673228e-07,1.839225838295988e-08
1862,7.635397025751445e-08,9.487771457372673e-09
1863,1.418472379555169e-07,1.548332484446746e-08
1864,8.34282687378618e-08,1.8699438442126848e-08
1865,1.219072629510265e-07,2.2592853810010638e-08
1866,1.3575059654158395e-07,2.4814625021463144e-08
1867,1.2957006845226715e-07,4.0278337110066786e-08
1868,1.0620729540278262e-07,2.0747471296544973e-08
1869,1.0304225384061283e-07,2.3440891894210836e-08
1870,1.0550650131335715e-07,2.8096838633473453e-08
1871,1.4657224767233856e-07,2.549082545044712e-08
1872,1.1913258646245595e-07,2.116568786902917e-08
1873,1.1852289105718228e-07,1.616221290134945e-08
1874,1.4040331564046937e-07,1.8521287614703397e-08
1875,1.2759005585394334e-07,8.010138330405425e-09
1876,1.4026754513452033e-07,1.813804395567331e-08
1877,1.1503757946229598e-07,1.36065949618569e-08
1878,1.1776222663684166e-07,1.509772218355465e-08
1879,1.1180065229154934e-07,7.94212251520321e-09
1880,1.424761819635023e-07,1.7969970400599777e-08
1881,1.0667936578556692e-07,1.8825771164188154e-08
