year,doivent_VERB entrer_VERB,doivent_VERB rentrer_VERB
1800,8.615010642643028e-07,9.432493186523061e-08
1801,7.762654945508984e-07,1.3096504858367553e-07
1802,9.376550451634103e-07,7.384872446891677e-08
1803,7.333275675591722e-07,2.7304748684287006e-08
1804,9.294159326600493e-07,1.4336735887354735e-07
1805,9.040351187650231e-07,5.401467717547348e-08
1806,7.694056307627761e-07,8.645007198992971e-08
1807,6.51952746011375e-07,8.825561081948763e-08
1808,6.820882845204324e-07,1.4729481279118772e-07
1809,7.477390795429528e-07,7.228897658251299e-08
1810,8.986086754703138e-07,1.0764583180389309e-07
1811,7.696725674577465e-07,8.524060746140094e-08
1812,9.948686283678398e-07,1.3336041604361526e-07
1813,7.706987616984406e-07,2.8757416004054903e-08
1814,1.0509901358091156e-06,1.6362720600682223e-07
1815,6.958836706871807e-07,1.1867783911156948e-07
1816,9.154535405286879e-07,1.9004352225238108e-07
1817,6.102943643782055e-07,1.0742426326260102e-07
1818,5.078421736470773e-07,1.2159600260019943e-07
1819,7.69083044360741e-07,1.542306478086175e-07
1820,6.051905643289501e-07,8.069207524386002e-08
1821,5.995784704282414e-07,8.57949515875589e-08
1822,6.456496635109943e-07,7.920236555492011e-08
1823,5.524422022062936e-07,1.1463917104492793e-07
1824,5.01056206303474e-07,1.684222468156804e-07
1825,6.577665772056207e-07,8.981552213072064e-08
1826,4.668231667892542e-07,8.984144272972117e-08
1827,6.959041343179706e-07,9.217273344575005e-08
1828,5.751032858825056e-07,1.0915038473058303e-07
1829,8.701773595021223e-07,7.372931065674493e-08
1830,8.422526320828183e-07,1.054120417620652e-07
1831,7.873559297877364e-07,1.4343909526814969e-07
1832,6.575564839295112e-07,1.420646782435142e-07
1833,5.212633027440461e-07,1.5290389399069682e-07
1834,6.039441586835892e-07,1.5028594191335287e-07
1835,5.679879109266039e-07,1.429423548415798e-07
1836,5.914259872952243e-07,8.468145296092189e-08
1837,5.524565267478465e-07,1.1202204319715747e-07
1838,5.497893198480597e-07,1.117252637072852e-07
1839,5.180683047001367e-07,9.927894950578775e-08
1840,5.331429520083475e-07,1.0637380398748064e-07
1841,5.842699124514183e-07,1.3675767718268617e-07
1842,4.870200314144313e-07,1.683774542016181e-07
1843,5.670634664056706e-07,1.4353794597354863e-07
1844,6.180119953569374e-07,1.4050716856672807e-07
1845,6.244275141398248e-07,1.5345626991347672e-07
1846,6.135517196526052e-07,1.0479557488451974e-07
