year,tout_ADV apporté_VERB,tout_ADV rapporté_VERB
1800,0.0,6.60274537267469e-08
1801,7.143547975374531e-09,5.476719877606229e-08
1802,6.713520406265161e-09,5.147032311469957e-08
1803,1.3652374342143503e-08,7.021220937986072e-08
1804,0.0,3.460591457837836e-08
1805,2.2743021688143017e-08,9.665784261869703e-08
1806,8.645007376628655e-09,2.305335300434308e-08
1807,5.693910232196231e-09,4.555128185756985e-08
1808,2.2660739951163578e-09,1.1330369531492579e-08
1809,0.0,6.7770917766551975e-09
1810,0.0,8.424456154898508e-08
1811,0.0,3.259199843341776e-08
1812,1.3336041604361526e-08,4.5342538612658245e-08
1813,8.627225156487839e-09,3.163315653864629e-08
1814,0.0,2.2026739543434815e-08
1815,0.0,6.47333635583891e-08
1816,4.6352077731626196e-09,6.257530316133852e-08
1817,3.113746815941454e-09,4.981994905506326e-08
1818,5.960588467246453e-09,5.96058882251782e-08
1819,1.1386155129855524e-08,4.0369094733705424e-08
1820,0.0,4.153268307049984e-08
1821,2.9584463767662328e-09,5.1279737789400315e-08
1822,5.012807946513931e-09,3.909990198280866e-08
1823,9.882686669016039e-09,1.8777104315859106e-08
1824,4.210556348027694e-09,2.863178316658832e-08
1825,5.283265824829186e-09,4.754939197937347e-08
1826,2.1139161532346407e-08,3.435113882233054e-08
1827,2.7651818612639545e-09,2.5808365222701468e-08
1828,9.172301251858528e-10,2.2930752408001354e-08
1829,8.57317605795771e-10,1.7146351893870815e-08
1830,0.0,3.339787468803479e-08
1831,3.1182413096075834e-08,1.870944643656003e-08
1832,1.0823975493678972e-08,5.411987658021644e-08
1833,3.4750886612755494e-09,3.1275796175123105e-08
1834,1.8669061851994684e-09,3.9205030333278046e-08
1835,2.2689263801112247e-09,4.4622218808854086e-08
1836,9.409050427677812e-09,4.704525125021064e-08
1837,2.2961039292113128e-08,4.5226290268374214e-08
1838,1.0730675015224733e-08,1.5149188570262595e-08
1839,5.5931801412612e-09,4.334714631681891e-08
1840,0.0,2.165694112932215e-08
1841,3.2102742686390684e-09,3.852328944731198e-08
1842,5.366612043644636e-09,5.2324466537356784e-08
1843,1.2995204023980023e-08,4.0757687003178944e-08
1844,5.488561272137815e-10,4.171306500211358e-08
1845,6.138250796539069e-09,1.3950569588416784e-08
1846,0.0,2.985795788390533e-08
1847,3.235934187273415e-09,3.343798482546845e-08
1848,1.6090443422100975e-09,3.137636639394259e-08
1849,1.6758828991214614e-08,1.3407063903514427e-08
1850,9.504594444820214e-09,1.6972489191857676e-08
1851,3.2247193804124663e-09,2.0638204034639784e-08
1852,0.0,7.487127362537649e-08
1853,1.2541057081705276e-08,2.5679307569248522e-08
1854,2.5978321716024766e-09,4.1565314745639625e-08
1855,1.5920811335945473e-09,2.9188154115900034e-08
1856,1.4496129630003907e-08,3.31340110903966e-08
1857,8.78671624349181e-09,2.880090299584026e-08
1858,1.3212924976357954e-08,2.9851424443450014e-08
1859,1.1202780925145817e-08,2.5970084749360467e-08
1860,9.612086238064421e-09,1.6020143434047895e-08
1861,6.6023493339173456e-09,4.0557289082698844e-08
1862,1.8071945051545413e-09,2.0782737308877586e-08
1863,1.9479021062807078e-08,5.4441368746438457e-08
1864,6.712618905169165e-09,3.404256787575832e-08
1865,1.882737743486018e-09,4.330296832222302e-08
1866,4.865612801552288e-09,2.6274308950746672e-08
1867,1.455843445796745e-09,2.2808213984149006e-08
1868,3.457911734727759e-09,3.408512938563035e-08
1869,5.860222973552709e-09,3.711474505507795e-08
1870,6.880858549607183e-09,4.6445794765759274e-08
1871,2.1242354542039266e-09,1.805600113868877e-08
1872,6.047339518033823e-09,1.9351485747165498e-08
1873,1.1972009161809183e-08,8.380406590902112e-09
1874,1.0156835372754358e-08,1.4936523129449597e-08
1875,8.58229043387837e-09,4.1194994082616176e-08
1876,1.6928840551599933e-08,3.627608791134662e-08
1877,5.566334504436554e-09,2.3502300550148902e-08
1878,1.2078177569208037e-08,2.8383716710322915e-08
1879,1.9549840857280287e-08,2.2604503158163425e-08
1880,1.2835692508872398e-09,2.3746030919369332e-08
1881,1.045876096839038e-08,1.3945014920579979e-08
1882,5.324308105514319e-09,2.6621540527571597e-08
1883,1.2638677882037541e-09,1.579834751908038e-08
1884,5.281357573494461e-09,1.1222884843675729e-08
1885,9.023890079618013e-09,1.0313017106966527e-08
1886,8.38950331427668e-09,1.871504551331782e-08
1887,6.528924512139156e-09,2.4809914123125054e-08
1888,2.7264643875923866e-08,1.521747527988282e-08
1889,1.3783300722991498e-08,3.257871128425904e-08
1890,5.243509182406569e-09,2.5562107097698572e-08
1891,1.0836173736095134e-08,2.5496881050912634e-08
