year,voulant_VERB entrer_VERB,voulant_VERB rentrer_VERB
1800,7.231578535993322e-08,1.2576658381391326e-08
1801,3.333655484993869e-08,4.286128785224719e-08
1802,2.9091921760482364e-08,3.8043282302169246e-08
1803,7.996391016007465e-08,1.5602713787643552e-08
1804,1.2112069214254007e-07,4.943701892301533e-09
1805,5.685755466444675e-08,1.421438833304478e-08
1806,7.492339904047185e-08,2.881669125542885e-08
1807,1.167251584277551e-07,2.8469551160981155e-09
1808,4.078933102391602e-08,2.2660739951163578e-09
1809,9.93973401364201e-08,2.2590304959990704e-08
1810,9.360507080558023e-08,2.106114038724627e-08
1811,6.267691787797958e-08,3.5099073869560016e-08
1812,7.468183138570339e-08,0.0
1813,6.90177963669214e-08,5.751483289628823e-09
1814,5.664018942752591e-08,3.1466771410748606e-09
1815,3.506390644503199e-08,0.0
1816,1.3905623319487859e-08,1.622322720606917e-08
1817,4.826307531402563e-08,6.227493631882908e-09
1818,1.1325118731697614e-07,4.2916237674717195e-08
1819,7.556266279351576e-08,2.070210047833143e-08
1820,9.374520359983762e-08,5.933240565525466e-09
1821,1.0749022372191774e-07,2.859831660373402e-08
1822,1.012587205195814e-07,1.1028177482330648e-08
1823,1.1958051127081148e-07,3.063632902922109e-08
1824,8.421112518419704e-08,4.8000341479337294e-08
1825,1.1359021812040737e-07,1.0566532093747583e-08
1826,7.046387384690433e-08,3.875513143736242e-08
1827,8.664236322841745e-08,1.6591091167583727e-08
1828,7.796455980813022e-08,3.393751413227619e-08
1829,1.2088178280578177e-07,3.172075191404389e-08
1830,6.992679857376061e-08,3.652892388572582e-08
1831,3.274153215215847e-08,1.5591206103948707e-09
1832,1.1500473662273691e-07,2.0294954605759585e-08
1833,6.950177144915415e-08,4.40177885252524e-08
1834,6.814207864636046e-08,1.4935249481595747e-08
1835,9.832014313815307e-08,3.7059130875150004e-08
1836,1.3374292961998435e-07,1.2097349788575684e-08
1837,1.078473077509301e-07,1.3915782304252389e-08
1838,8.900148174006972e-08,1.704283669745621e-08
1839,6.711816191717901e-08,1.0487212986909356e-08
1840,7.771020021918318e-08,2.993753511759678e-08
1841,6.2921378329861e-08,2.247191943638427e-08
1842,6.30576928450921e-08,1.1404050592744852e-08
1843,6.438533217689724e-08,2.717179126143776e-08
1844,6.366731236662204e-08,1.5367972006075092e-08
1845,5.970843863778441e-08,2.7901140065011987e-08
1846,5.795956425913573e-08,2.1076204115288988e-08
1847,6.957258236184316e-08,3.937053350000497e-08
1848,7.723412565052712e-08,3.539897619475596e-08
1849,4.4410900290614563e-08,1.2569122853633985e-08
1850,7.467895812851566e-08,2.5119284430275002e-08
1851,6.836405219701192e-08,3.0957306051959677e-08
1852,7.356916498224564e-08,7.812654523320361e-09
1853,5.4344578614973216e-08,2.090176032254476e-08
1854,8.520889593910397e-08,1.2989161579657349e-08
1855,5.890700194299825e-08,1.3798036491152743e-08
1856,4.866558001026533e-08,1.2942973359741927e-08
1857,7.224633691294002e-08,3.7099469718526734e-08
1858,5.3830436996804565e-08,1.8106601107348297e-08
1859,6.008764330545091e-08,9.165912473463322e-09
1860,6.087654502717754e-08,1.6935580049448618e-08
1861,3.8670901703063976e-08,2.2165028923382124e-08
1862,3.0722306698649504e-08,1.1746764477793548e-08
1863,3.945750420841776e-08,2.1976330977224734e-08
