year,devaient_VERB aller_VERB
1800,1.1947824418712116e-07
1801,1.1191558257905854e-07
1802,8.503792514602537e-08
1803,8.581492494386112e-08
1804,1.3100809326260787e-07
1805,3.695740957709859e-08
1806,1.2967511509032192e-07
1807,9.964342950752325e-08
1808,3.6257183921861724e-08
1809,7.454800510231507e-08
1810,6.786367379163494e-08
1811,1.0279014617253779e-07
1812,6.13457871168066e-08
1813,5.176335093892703e-08
1814,9.754699448194515e-08
1815,1.591361922237411e-07
1816,1.0197457100957763e-07
1817,1.4323235575375293e-07
1818,1.454383635746126e-07
1819,1.2317750019974483e-07
1820,1.696906792858499e-07
1821,1.3904698903388635e-07
1822,1.5639960793123464e-07
1823,2.0358335461878596e-07
1824,2.0631726727060595e-07
1825,1.5497579397560912e-07
1826,1.523781349987985e-07
1827,1.9540618723112857e-07
1828,1.5776357997765444e-07
1829,1.8003669310928672e-07
1830,1.6490200493990415e-07
1831,2.229542417353514e-07
1832,2.043025375542129e-07
1833,1.8533805246079282e-07
1834,1.652211949476623e-07
1835,2.1479169731719594e-07
1836,2.7891113063560624e-07
1837,2.525714535295265e-07
1838,2.468055413373804e-07
1839,2.803581651278364e-07
1840,3.7835951616216335e-07
1841,2.1252016324524448e-07
1842,1.9386885696803802e-07
1843,2.1383017667631066e-07
1844,2.50827241643492e-07
1845,3.537864472491492e-07
1846,2.453035961025307e-07
1847,2.648072836564097e-07
1848,1.7860392631519062e-07
1849,1.675882970175735e-07
1850,1.9823868058210792e-07
1851,2.1863597510218824e-07
1852,1.9206109413971717e-07
1853,2.311137592414525e-07
1854,1.792504207287493e-07
1855,1.8680418634176021e-07
1856,2.0605213535418443e-07
1857,1.898906987207738e-07
1858,1.7078929204217275e-07
1859,1.583665891757846e-07
1860,2.073464315799356e-07
1861,2.2070710770094593e-07
1862,2.6294679855709546e-07
1863,1.613262554656103e-07
1864,1.5774655537370563e-07
1865,2.3675427485159162e-07
1866,2.4522688590877806e-07
1867,2.1886179979446752e-07
1868,2.09450661259325e-07
1869,1.8313197358565958e-07
1870,2.322289702760827e-07
1871,2.474734230872855e-07
1872,2.812012667163799e-07
1873,2.5021498117894225e-07
1874,2.1269607941576396e-07
1875,1.951040786707381e-07
1876,1.451043516453865e-07
1877,2.3254908398939733e-07
1878,1.8841956261894666e-07
1879,1.7594857126823626e-07
1880,1.8290862158210075e-07
1881,2.0987248205983633e-07
1882,2.0764801433870161e-07
1883,1.8010115354627487e-07
1884,1.8352717745528935e-07
1885,1.9594732236782875e-07
1886,1.7359818116347014e-07
1887,1.4428923122977722e-07
1888,2.149468372181218e-07
1889,1.7166475174690277e-07
1890,1.7565756138537836e-07
1891,1.8612722385569214e-07
1892,1.8241371435578912e-07
1893,1.3918021579684137e-07
1894,1.7329233514828957e-07
1895,1.673174807592659e-07
1896,2.2231799334804236e-07
1897,2.155884004650943e-07
1898,2.0992496274629957e-07
1899,2.122590103681432e-07
1900,1.5002143527453882e-07
1901,2.1293095642249682e-07
1902,1.5762010718844977e-07
1903,1.7496714121989498e-07
1904,1.9617381497027964e-07
1905,1.7288542153437447e-07
1906,1.6718600193144084e-07
1907,1.7228525450718735e-07
1908,1.7877455604775605e-07
1909,1.8593324568882963e-07
1910,1.9987123778264504e-07
1911,2.0589847338214895e-07
1912,1.885810547719302e-07
1913,1.500746122928831e-07
1914,1.8483012809156207e-07
1915,1.6964297344657098e-07
1916,1.5602195446717815e-07
1917,2.248116999226113e-07
1918,2.1364660085509968e-07
1919,2.2559228796126263e-07
1920,1.6810353997698257e-07
1921,1.688722619519467e-07
1922,2.087955692786636e-07
1923,1.9321025490626198e-07
1924,1.9724186017811007e-07
1925,1.7707066035654861e-07
1926,1.5493132821120525e-07
1927,1.728129888078911e-07
1928,1.73675829273634e-07
1929,1.5373760220427357e-07
1930,1.796116180230456e-07
1931,1.3116159891524148e-07
1932,2.0055952631992113e-07
1933,1.7435407073662645e-07
1934,1.8212001862139005e-07
1935,1.543908609846767e-07
1936,1.564088165650901e-07
1937,1.9768054926316836e-07
1938,1.763269210641738e-07
1939,1.452934839107911e-07
1940,1.4707541140523972e-07
1941,2.243141921098868e-07
1942,1.608132293995368e-07
1943,1.335488235554294e-07
1944,1.4780655988033686e-07
1945,2.047793827841815e-07
1946,1.7958224418634927e-07
1947,1.6331593144514045e-07
1948,1.5329361247040652e-07
1949,1.6099893684895505e-07
1950,1.5314920176479063e-07
1951,1.6098717026125087e-07
1952,1.5289965915599169e-07
1953,1.4113713575625297e-07
1954,1.1238416419701025e-07
1955,1.61432453182897e-07
1956,1.7442283706259332e-07
1957,1.6079768272447836e-07
1958,1.455914855341689e-07
1959,1.4493897992906568e-07
1960,1.4118499791493377e-07
1961,1.598076693198891e-07
1962,1.4269402015543164e-07
1963,1.6617757125914068e-07
1964,1.520992043424485e-07
1965,1.4665076264464005e-07
1966,1.5897144578502775e-07
1967,1.1191861659654023e-07
1968,1.4821672777998174e-07
1969,1.3897778217142331e-07
1970,1.40720985086773e-07
1971,1.3411217025804945e-07
1972,1.436441152691259e-07
1973,1.3176557445149228e-07
1974,1.3670138798715925e-07
1975,1.2736600751850347e-07
1976,1.5255116636581079e-07
1977,1.328152734458854e-07
1978,1.4376230694779224e-07
1979,1.264026252556505e-07
1980,1.3701213674721657e-07
1981,1.2524587589268776e-07
1982,1.2477079280870385e-07
1983,1.3893695438582654e-07
1984,1.420757058667732e-07
1985,1.3354538452858833e-07
1986,1.3487591843386326e-07
1987,1.1671659905232445e-07
1988,1.193314176362037e-07
1989,1.3500780937647505e-07
1990,1.329470791233689e-07
1991,1.365721402635245e-07
1992,1.283816999375631e-07
1993,1.5011252685326326e-07
1994,1.2659823767080525e-07
1995,1.3773025386853988e-07
1996,1.4359467570557172e-07
1997,1.352160268197622e-07
1998,1.1348147666012665e-07
1999,1.2705159235792962e-07
2000,1.5418929422139627e-07
2001,1.375700549033354e-07
2002,1.3888471528389346e-07
2003,1.3792514153010416e-07
2004,1.4227475730876904e-07
2005,1.3871549242594483e-07
2006,1.2641922353395785e-07
2007,1.334156110033291e-07
2008,1.451786886264017e-07
2009,1.4829078054390266e-07
2010,1.6249848044935788e-07
2011,1.6710757222426764e-07
2012,2.0255303923022439e-07
2013,1.9830679320875788e-07
2014,2.2130849686163856e-07
2015,2.2387411036106641e-07
2016,2.118980830800865e-07
2017,2.2011599298821238e-07
2018,2.0496845820616727e-07
2019,2.0229333586030407e-07
