year,pourrait_VERB apporter_VERB,pourrait_VERB rapporter_VERB
1800,3.458580977167003e-08,1.4148740490327327e-07
1801,6.667310969987739e-08,1.4287095950749062e-08
1802,6.713520406265161e-08,4.2518962573012686e-08
1803,1.5602713787643552e-08,7.216254971353919e-08
1804,7.168367943677367e-08,1.2112069214254007e-07
1805,6.538618890772341e-08,5.1171799242411e-08
1806,5.4751712497136396e-08,2.305335300434308e-08
1807,2.562259560079383e-08,7.117387923472052e-08
1808,5.211970233176544e-08,1.1330369531492579e-08
1809,2.9367397402779716e-08,7.228897658251299e-08
1810,5.148278958699848e-08,8.658469141664682e-08
1811,7.52123057168319e-08,4.011322829455821e-08
1812,9.601949813031752e-08,9.335229123053068e-08
1813,1.1790540810352468e-07,1.0927818294703684e-07
1814,1.0384034254684593e-07,1.0384034254684593e-07
1815,7.012781111370714e-08,1.0788894400093341e-07
1816,1.8540831092650478e-08,5.5622493277951435e-08
1817,6.694555310104988e-08,6.383181272440197e-08
1818,1.3709353652302525e-07,1.8597036444134574e-07
1819,7.452756278780726e-08,7.970308502081025e-08
1820,7.238553223487543e-08,8.069207524386002e-08
1821,1.0354562363090736e-07,1.2918549430196435e-07
1822,1.1830226753772877e-07,9.624591257306747e-08
1823,1.2452186126665765e-07,8.400284201570685e-08
1824,8.336901657912676e-08,1.3136936161117774e-07
1825,1.259178361578961e-07,1.7170613375583343e-07
1826,1.268349762995058e-07,1.523781349987985e-07
1827,9.401618683568813e-08,1.5577191447846417e-07
1828,1.164882235116238e-07,1.2290882978049922e-07
1829,1.2945496052907401e-07,1.5260253860560624e-07
1830,1.3672254794983019e-07,1.356788601469816e-07
1831,1.3096612860863388e-07,1.1225668572478753e-07
1832,1.204167290325131e-07,1.0282776941039629e-07
1833,1.5174553880115127e-07,1.4942881421120546e-07
1834,1.8015644798197172e-07,1.5588666713028942e-07
1835,2.3067417487254716e-07,1.1495893659230205e-07
1836,1.290383977448073e-07,1.1425274948351216e-07
