year,devaient_VERB entrer_VERB,devaient_VERB rentrer_VERB
1800,9.118077315406481e-08,6.288328968651058e-09
1801,8.334139067756041e-08,2.1430643926123594e-08
1802,6.937304419807333e-08,1.1189200677108602e-08
1803,1.1311967540450496e-07,7.801356893821776e-09
1804,1.038177401824214e-07,4.943701892301533e-09
1805,1.1371511021707192e-07,1.421438877713399e-08
1806,2.679952331163804e-07,6.627838899930794e-08
1807,2.2490945639219717e-07,2.562259560079383e-08
1808,1.4729481279118772e-07,1.8128591960930862e-08
1809,1.8524050915402768e-07,6.325285539787728e-08
1810,1.0530570193623134e-07,7.020380277111826e-09
1811,8.524060746140094e-08,6.769107585569145e-08
1812,1.1202274663446588e-07,2.9339290108509886e-08
1813,3.393375038740487e-07,2.8757416004054903e-08
1814,1.6362720600682223e-07,2.2026739543434815e-08
1815,2.265667831125029e-07,7.552225866902518e-08
1816,1.969963250303408e-07,9.270415546325239e-09
1817,2.16405396713526e-07,2.6466848268569265e-08
1818,1.680886043686769e-07,4.172412104708201e-08
1819,1.9770504877669737e-07,2.6912729822470283e-08
1820,1.7206397728841694e-07,4.9839222526770754e-08
1821,2.0413280310549453e-07,5.325203744632745e-08
1822,1.4637399203820678e-07,6.316138012607553e-08
1823,1.5120511420718685e-07,5.138997138942614e-08
1824,2.39159589909832e-07,2.947389532437228e-08
1825,1.5497579397560912e-07,4.490776106536032e-08
1826,2.369347811281841e-07,7.662946188702335e-08
1827,2.7836165372718824e-07,4.2399456390285195e-08
1828,1.8161156845053483e-07,5.044765671868845e-08
1829,1.79179380666028e-07,7.372931065674493e-08
1830,2.1291144491897285e-07,5.0096812032052185e-08
1831,2.354272083948672e-07,7.951515357262906e-08
1832,2.665403826540569e-07,5.411987658021644e-08
1833,1.9460496503143077e-07,5.444305273272221e-08
1834,3.0897297165211057e-07,1.0454674281845655e-07
1835,2.4731298253755085e-07,4.386591001548368e-08
1836,2.103594738400716e-07,5.511014933290426e-08
1837,2.581377600563428e-07,9.323574090558395e-08
1838,2.7205416586184583e-07,1.1425012758081721e-07
1839,2.3071868326951517e-07,6.50207212515852e-08
1840,2.2994575488155533e-07,1.0828470919932442e-07
1841,2.780097645427304e-07,7.062603657459476e-08
1842,2.5155995331260783e-07,8.989075439558292e-08
1843,2.3686713745973975e-07,6.615740488769006e-08
1844,2.77172347296073e-07,6.860701518007772e-08
1845,2.4943619791883975e-07,9.374782905524626e-08
1846,2.4354724814656947e-07,8.606117063436614e-08
1847,2.2975132196734194e-07,8.089835290547853e-08
1848,2.58251617424321e-07,7.401604307233356e-08
1849,3.0501070114041795e-07,1.0474268918869711e-07
1850,2.450827594202565e-07,7.400005586077896e-08
1851,2.4056407710304484e-07,5.997978291816253e-08
1852,1.666699631641677e-07,3.580800012059626e-08
1853,2.6873692604567623e-07,6.031650912063924e-08
1854,1.6885908848962572e-07,5.6113176327698966e-08
1855,2.0962401947599574e-07,5.7845614520601885e-08
1856,1.6049285989083728e-07,4.40061072026765e-08
1857,1.6157794391347124e-07,6.394776619345066e-08
1858,1.7225740123194555e-07,5.1872966366772744e-08
1859,1.8484588792944123e-07,6.059686086246074e-08
1860,2.2611288841289934e-07,7.506581312100025e-08
1861,1.810930143619771e-07,6.225072013421595e-08
1862,2.36742479842178e-07,3.7047488632424574e-08
1863,1.9079450908066065e-07,5.8437063188421234e-08
1864,1.7644599381583248e-07,5.034464223285795e-08
1865,1.9674610030051554e-07,5.036323358353911e-08
1866,2.097079203622343e-07,7.006482860560936e-08
1867,1.8974492377310526e-07,3.688136729351754e-08
1868,1.6597977037235978e-07,6.668830110356794e-08
1869,1.9045724286570476e-07,6.006728625607138e-08
1870,2.075725689110186e-07,4.243196016773254e-08
1871,1.922433057188755e-07,6.266494523288202e-08
1872,1.9956219432515354e-07,6.289232601375261e-08
1873,1.7060112611488876e-07,5.327543917132971e-08
1874,2.1747577250152972e-07,6.333085877940903e-08
1875,1.8709393145854847e-07,6.350894921069994e-08
1876,1.7352061831843457e-07,5.018192439365521e-08
1877,1.3421050937267864e-07,6.308512467967375e-08
1878,1.8781565813696943e-07,3.0799352401800206e-08
1879,2.0771706488176278e-07,7.453376582589044e-08
1880,1.8034147331036365e-07,6.867095692086878e-08
1881,1.7222093617874634e-07,6.414706632540401e-08
1882,1.597292396127159e-07,5.0580926114207614e-08
1883,1.459767275946433e-07,5.1186646032874705e-08
1884,1.663627671177892e-07,5.2813575734944607e-08
1885,1.6243001255134004e-07,3.93183761104865e-08
1886,1.697261069466549e-07,3.807543791367607e-08
1887,1.416776598262004e-07,7.312395666758675e-08
1888,1.737328432227514e-07,7.22830080235326e-08
1889,1.741708075542192e-07,6.703696442400542e-08
1890,1.4812913207151723e-07,6.030035848425541e-08
1891,1.5106901685157936e-07,6.055508805502541e-08
1892,1.1408692301984047e-07,5.8924015888806025e-08
1893,1.6935645419380307e-07,5.4194064347257154e-08
1894,1.9597787570546643e-07,5.5453547531669756e-08
1895,1.6009514069992292e-07,7.282523739604585e-08
1896,1.533227589334274e-07,4.8355637716213096e-08
1897,1.2003029326024262e-07,4.661370667236042e-08
1898,1.2504963819992554e-07,5.6583548513344795e-08
1899,1.3653118458023528e-07,4.9748205555033564e-08
1900,1.2769990576089185e-07,5.7620688664883346e-08
1901,1.2015789252473041e-07,5.979950401524547e-08
1902,1.669496469958176e-07,5.352209342390779e-08
1903,1.2906527047107375e-07,4.590187074882124e-08
1904,1.0964235741539596e-07,5.750849041419315e-08
1905,1.9249631577622495e-07,3.509316215399849e-08
1906,1.6204181463308487e-07,4.218231453023691e-08
1907,1.45028181464113e-07,4.525702124169584e-08
1908,1.3260751074994914e-07,7.367083298959187e-08
1909,1.3092341077935998e-07,6.326131085643283e-08
1910,1.60324518105881e-07,3.634022505139001e-08
1911,1.3939380494321085e-07,4.309503154331651e-08
1912,1.1564915070039206e-07,4.428008182344456e-08
1913,1.1719607329041537e-07,5.46207949980726e-08
1914,1.7478501490586495e-07,3.549274296688054e-08
1915,1.3076645188903058e-07,5.654765544704787e-08
1916,1.5492321381316287e-07,4.504859418830165e-08
1917,1.1734073979141613e-07,5.04455535121906e-08
1918,1.6770108857144805e-07,6.547234221443432e-08
1919,1.1509810349252803e-07,4.235610262526279e-08
1920,1.4235796186312655e-07,4.316171953178127e-08
1921,1.4994040498095274e-07,2.9533714140939082e-08
1922,1.387051895562763e-07,4.426761179843197e-08
1923,1.1359064444604883e-07,2.7601466001669905e-08
1924,1.19892106908992e-07,4.1253198190815965e-08
1925,1.550743036204949e-07,3.519416935660047e-08
1926,1.3263904463656218e-07,5.5730691173039304e-08
1927,1.4716977148054866e-07,4.4596898618465275e-08
1928,1.4168291784244502e-07,4.4561559775502246e-08
1929,1.3034275525569683e-07,4.4561623724348465e-08
1930,1.1869072125136881e-07,4.411513643276521e-08
1931,1.2089678591564734e-07,3.9918749195066994e-08
1932,1.358982473220749e-07,3.507051715700982e-08
1933,1.307655423943288e-07,3.9000251916831985e-08
1934,1.3778817731235904e-07,3.5944740517379614e-08
1935,9.215578700150218e-08,4.188899538348778e-08
1936,1.1033490210365926e-07,3.273672888326473e-08
1937,1.4102052148246003e-07,5.162358363008934e-08
1938,1.1798345411762057e-07,3.5006078036303734e-08
1939,1.269406197934586e-07,5.199976982339649e-08
1940,9.889553354014424e-08,2.2822046474857416e-08
1941,1.2101160962174617e-07,3.246652724442356e-08
1942,1.1226583751522412e-07,5.76500234217292e-08
1943,1.4225852851268428e-07,2.322588166236983e-08
1944,1.2210107058763242e-07,4.177142187700156e-08
1945,1.3724574898787978e-07,4.1391576388605245e-08
1946,1.600926964329119e-07,5.707652661612883e-08
1947,1.3589793468327116e-07,3.9338875268413176e-08
1948,1.0110855441780586e-07,3.696441908118686e-08
1949,1.1878579897484087e-07,2.2579119018928395e-08
1950,8.933703554703243e-08,2.3397795700930146e-08
1951,9.808489664919762e-08,2.8785784422780125e-08
1952,9.384875454543362e-08,1.2653764258629963e-08
1953,1.0773827341381548e-07,4.201792691560513e-08
1954,1.202021877588777e-07,3.224936762080688e-08
1955,8.540903451148552e-08,3.191106756617046e-08
1956,5.843164885277474e-08,2.441919733087161e-08
1957,9.806891654307037e-08,2.8272120644601273e-08
1958,8.024075981438727e-08,4.053399393910695e-08
1959,8.448315469422596e-08,2.712761748568937e-08
1960,9.412333668024075e-08,4.15249985508126e-08
1961,1.0213793899538359e-07,3.821487482014163e-08
1962,1.1732619498161512e-07,2.6002021868976044e-08
1963,1.1444914349567625e-07,2.5217607557692645e-08
1964,9.673509993035623e-08,3.467862086381501e-08
1965,9.19303317914455e-08,1.8057743744748223e-08
1966,9.139473178265689e-08,4.265087483190655e-08
1967,9.663457944952825e-08,2.859594694371026e-08
1968,1.0240427883445591e-07,3.09907690621003e-08
1969,1.1354394757745467e-07,3.315483354526805e-08
1970,9.427386515881153e-08,2.989171221656761e-08
1971,1.1150322620778752e-07,2.928886644326667e-08
1972,8.156933262171151e-08,2.667676390899487e-08
1973,7.497957454916104e-08,2.591205827684462e-08
1974,8.438357212980918e-08,3.31908722728258e-08
1975,9.19548313049745e-08,1.6563292959403952e-08
1976,6.970503108050252e-08,2.2282755196556536e-08
1977,6.817067088604745e-08,2.11564152863275e-08
1978,9.089104935355863e-08,2.7920778578049976e-08
1979,8.017203612098456e-08,3.4526642878063285e-08
1980,6.708477684469472e-08,3.752199617679253e-08
1981,7.843681260055746e-08,2.909752794266751e-08
1982,8.318053090761168e-08,2.1726258125909226e-08
1983,6.567928778622445e-08,2.273513821648976e-08
1984,6.610869718315371e-08,2.3196033538397387e-08
1985,7.699914306158462e-08,2.8273122509858695e-08
1986,7.073492724885e-08,2.7574632355253925e-08
1987,7.394088186174486e-08,2.4443266966045485e-08
1988,7.495692244674501e-08,2.818380373525997e-08
1989,6.750390468823753e-08,2.8538234886354985e-08
1990,6.211462277860846e-08,2.7243254763220648e-08
1991,5.2753186707832356e-08,2.4618154625954958e-08
1992,5.3997453619558655e-08,2.1488782309120324e-08
1993,6.702440913386454e-08,2.4926434250005514e-08
1994,6.69915678486177e-08,3.9034457444131476e-08
1995,6.34426768897356e-08,2.331653803366862e-08
1996,5.925282309249269e-08,2.7758080278772468e-08
1997,7.432086590597464e-08,2.3974472185273044e-08
1998,5.5787111818972335e-08,3.814503202193009e-08
1999,5.5756455452637965e-08,4.4787970665538523e-08
2000,5.787621404351739e-08,2.6508189421292627e-08
2001,7.360435461123416e-08,3.1544725942467267e-08
2002,8.236696658059373e-08,3.373540380380291e-08
2003,6.208715319644398e-08,4.2502612984662846e-08
2004,5.417893333969914e-08,3.215497557107483e-08
2005,6.125099361042885e-08,4.864049429897932e-08
2006,5.5591513614672294e-08,3.3766696105885785e-08
2007,6.351222481271179e-08,3.0358044966760644e-08
2008,5.321799534385718e-08,4.044567702976565e-08
2009,6.103286409597786e-08,4.672828524121542e-08
2010,3.7790343299093365e-08,4.393127639445993e-08
2011,5.0476430146773055e-08,4.512287077318433e-08
2012,5.412761794332255e-08,6.842547861651838e-08
2013,5.35512008070782e-08,6.917029793385154e-08
2014,6.193172907842381e-08,6.669571206430192e-08
2015,6.561063514709531e-08,6.472399860513178e-08
2016,7.31183007474101e-08,6.338300551078646e-08
2017,4.8048175216308664e-08,5.987155304865155e-08
2018,5.937373259712331e-08,6.969960253400131e-08
2019,5.5866632209244926e-08,5.816252013346457e-08
