year,voulut_VERB abattre_VERB,voulut_VERB rabattre_VERB
1800,1.8864987794131594e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,3.900678446910888e-09
1804,2.4718509905596875e-08,0.0
1805,8.528632911009026e-09,0.0
1806,8.645007376628655e-09,0.0
1807,2.562259560079383e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,0.0,0.0
1810,1.4040760554223652e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,1.3336041604361526e-08,0.0
1813,0.0,0.0
1814,1.2586708564299443e-08,0.0
1815,2.697223555614414e-09,0.0
1816,1.1588019432906549e-08,0.0
1817,1.556873407970727e-09,0.0
1818,2.384235475716423e-09,0.0
1819,5.2790355198339967e-08,0.0
1820,2.3732962262101864e-09,0.0
1821,1.972297702934611e-08,0.0
1822,2.0051231786055723e-09,0.0
1823,2.174191138237802e-08,0.0
1824,2.0210670470532932e-08,0.0
1825,1.1447076175841175e-08,0.0
1826,1.0569580766173203e-08,0.0
1827,4.608636583469661e-09,0.0
1828,9.172301140836225e-09,0.0
1829,4.286587973467704e-09,0.0
1830,1.6698937344017395e-08,2.0873671680021744e-09
1831,9.354723218280014e-09,0.0
1832,1.0823975493678972e-08,0.0
1833,0.0,1.2741991461950875e-08
1834,8.401078055442213e-09,0.0
1835,1.8151411040889798e-08,5.294161553592858e-09
1836,2.016224964762614e-09,1.3441500135158435e-09
1837,1.0436836284100082e-08,0.0
1838,8.2058102535143e-09,0.0
1839,7.690622361167243e-09,0.0
1840,7.0066574764382494e-09,0.0
1841,1.2841097074556274e-09,0.0
1842,3.3541325272778977e-09,2.0124795163667386e-09
1843,3.5441467538532834e-09,0.0
1844,1.6465684371524958e-09,0.0
1845,8.928364714222425e-09,5.580227946389016e-10
1846,1.2294452567118697e-08,5.854501328173001e-10
1847,2.0494249852731627e-08,0.0
1848,2.252662056889676e-08,0.0
1849,1.5920887719289567e-08,0.0
1850,1.0183494048021657e-08,0.0
1851,1.9348316282474798e-09,0.0
1852,2.018269107395554e-08,0.0
1853,1.0749477752369785e-08,5.971931837933653e-10
1854,7.79349651480743e-09,0.0
1855,1.2205955357558196e-08,0.0
1856,3.6240324075009767e-09,0.0
1857,9.274867096564776e-09,4.881509085841174e-10
1858,1.565976326389773e-08,0.0
1859,6.110608019582742e-09,0.0
1860,7.781213007262977e-09,0.0
1861,1.226150558863992e-08,0.0
1862,2.3493528900075944e-08,0.0
1863,2.7470415275843152e-08,0.0
1864,4.315255264231155e-09,0.0
1865,1.2237795665726026e-08,4.706844358715045e-10
1866,8.75810357570117e-09,0.0
1867,6.79393608038481e-09,0.0
1868,4.939874287401835e-09,1.4819622196071691e-09
1869,4.883519366671862e-09,4.883519144627257e-10
1870,9.747882501187632e-09,1.1468097582678638e-09
1871,7.434824311758348e-09,3.18635318130589e-09
1872,9.071008832961525e-09,1.2094678591978436e-09
1873,5.986004469882289e-10,4.190203295451056e-09
1874,5.974609140757536e-10,0.0
1875,2.8607636259891933e-09,5.721527140956084e-10
1876,8.464420275799966e-09,0.0
1877,2.4739263970730008e-09,0.0
1878,2.4156354694326865e-09,1.2078177347163432e-09
1879,1.1607718342077078e-08,6.10932526790009e-10
1880,2.5671385017744797e-09,0.0
