year,veut_VERB aller_VERB
1800,7.263020052050706e-07
1801,6.64349954604404e-07
1802,6.668763603556727e-07
1803,6.202078566275304e-07
1804,6.179627121127851e-07
1805,9.864785397439846e-07
1806,5.532804721042339e-07
1807,4.4697196699416963e-07
1808,6.345007363961486e-07
1809,6.912633239153365e-07
1810,8.86908026132005e-07
1811,8.198140903914464e-07
1812,7.70823191942327e-07
1813,5.320122227203683e-07
1814,5.2234838676668e-07
1815,4.612252268998418e-07
1816,4.79744016956829e-07
1817,4.997563678443839e-07
1818,4.768471058014256e-07
1819,6.10711936133157e-07
1820,7.998008300091897e-07
1821,5.788693897557096e-07
1822,7.258545906552172e-07
1823,5.712192887585843e-07
1824,6.256886990740895e-07
1825,6.542444452861673e-07
1826,5.989429610053776e-07
1827,4.461160187929636e-07
1828,6.044546694283781e-07
1829,7.621553663739178e-07
1830,5.166234018361138e-07
1831,6.064979061193299e-07
1832,5.411988013293012e-07
1833,4.749287825234205e-07
1834,7.3182724236176e-07
1835,6.753837737960566e-07
1836,6.082278787289397e-07
1837,5.747218096985307e-07
1838,5.497893198480597e-07
1839,5.068819746156805e-07
1840,5.707241257368878e-07
1841,5.470307087307447e-07
1842,5.380028369472711e-07
1843,5.186267912904441e-07
1844,5.192179060031776e-07
1845,5.647190732815943e-07
1846,5.31003252035589e-07
1847,4.5464875597645005e-07
1848,6.041961455593992e-07
1849,6.066696300877084e-07
1850,5.247894137028197e-07
1851,6.0044277461202e-07
1852,5.104267870592594e-07
1853,5.506121283360699e-07
1854,6.380275863193674e-07
1855,6.150739864096977e-07
1856,5.213429403738701e-07
1857,5.9456777989908e-07
1858,6.337310196613544e-07
1859,6.589272061319207e-07
1860,5.382768222261802e-07
1861,5.706315846509824e-07
1862,6.510418302241305e-07
1863,6.173351607685618e-07
1864,6.036562467670592e-07
1865,5.234010700405634e-07
1866,5.473814326251158e-07
1867,5.537057745641505e-07
1868,6.654010462625592e-07
1869,5.650231855724996e-07
1870,5.722580453948467e-07
1871,4.843257102038478e-07
1872,5.400273721534177e-07
1873,4.752887434733566e-07
1874,5.424944902188145e-07
1875,6.29368003046693e-07
1876,6.15484282207035e-07
1877,5.999271479595336e-07
1878,5.815642225570627e-07
1879,5.425080757959222e-07
1880,6.141879111964954e-07
1881,5.619841090265254e-07
1882,5.677043759533262e-07
1883,5.282967094899504e-07
1884,4.865450478064304e-07
1885,4.982476298209804e-07
1886,5.246666319180804e-07
1887,4.426610757946037e-07
1888,4.774482817992975e-07
1889,5.550911055252072e-07
1890,5.623663810183643e-07
1891,5.296976723911939e-07
1892,5.503753754965146e-07
1893,5.173070007913338e-07
1894,4.1779205162129074e-07
1895,4.6945191911618167e-07
1896,4.676344076415262e-07
1897,4.830345687878435e-07
1898,4.741701502553042e-07
1899,4.941655333823292e-07
1900,4.417586296767695e-07
1901,4.571588476665056e-07
1902,4.5371021428763925e-07
1903,5.308416461957677e-07
1904,4.5200599174677336e-07
1905,5.005936145607848e-07
1906,4.958993713444215e-07
1907,5.425699782790616e-07
1908,5.098021915728168e-07
1909,4.978390393262089e-07
1910,4.5959694716657395e-07
1911,5.043714850216929e-07
1912,5.860599117113452e-07
1913,5.573442081185931e-07
1914,5.290427793624985e-07
1915,3.604913274557475e-07
1916,4.438934695372154e-07
1917,5.132286560183275e-07
1918,4.537118627467862e-07
1919,4.594716358496953e-07
1920,4.884089435108763e-07
1921,4.3770481283900153e-07
1922,5.245711918178131e-07
1923,4.533009985152603e-07
1924,4.512068585427187e-07
1925,4.4982547819927277e-07
1926,4.6925242713768966e-07
1927,5.40737403298408e-07
1928,4.718955040061701e-07
1929,5.035463459535094e-07
1930,4.884175837105431e-07
1931,4.174360412889655e-07
1932,4.4386123931872135e-07
1933,3.9573785670654615e-07
1934,4.984337351743306e-07
1935,4.631725971648848e-07
1936,4.825636210625817e-07
1937,3.387010849564831e-07
1938,3.8895643683645176e-07
1939,3.9917472349770833e-07
1940,3.9558213416057697e-07
1941,3.8369535104720853e-07
1942,4.156870261340373e-07
1943,4.790338152815821e-07
1944,4.5948561933073506e-07
1945,5.337334982868924e-07
1946,5.05336060996342e-07
1947,5.114053465149482e-07
1948,5.077171749690024e-07
1949,4.1722285004652804e-07
1950,5.221962737778085e-07
1951,5.405330512076034e-07
1952,4.5448103946910123e-07
1953,4.2772094843712694e-07
1954,4.817860030925658e-07
1955,4.439392569111078e-07
1956,4.578599259730254e-07
1957,4.1171276166096504e-07
1958,4.897167968920257e-07
1959,5.022484401706606e-07
1960,4.5608291543430823e-07
1961,4.5718888941337354e-07
1962,5.460424290504307e-07
1963,5.340959887689678e-07
1964,5.061861543254054e-07
1965,5.570540224653087e-07
1966,5.289816158438043e-07
1967,5.610721700577415e-07
1968,5.735537911277788e-07
1969,4.850597292715975e-07
1970,6.093310389587714e-07
1971,5.739589710174187e-07
1972,5.135277092449542e-07
1973,5.039068469159247e-07
1974,4.995507651983644e-07
1975,4.86046985770372e-07
1976,5.153601136953512e-07
1977,4.766069992001576e-07
1978,5.75049227791169e-07
1979,4.915657427773112e-07
1980,5.326986070031126e-07
1981,5.085742031951668e-07
1982,5.263962066237582e-07
1983,5.07119864323613e-07
1984,5.114725354360417e-07
1985,5.185411282582209e-07
1986,6.144347821646079e-07
1987,5.866384071850916e-07
1988,5.52882283955114e-07
1989,5.553979463002179e-07
1990,5.530380917662114e-07
1991,5.468747303893906e-07
1992,5.592593197434326e-07
1993,5.649991408063215e-07
1994,5.559772375818284e-07
1995,5.351959089239244e-07
1996,5.556954079111165e-07
1997,5.701129452972964e-07
1998,6.022146976647491e-07
1999,5.657909127876337e-07
2000,5.928998234594474e-07
2001,6.054834784663399e-07
2002,5.91464925037144e-07
2003,6.100374889683735e-07
2004,5.779086222901242e-07
2005,6.143114319456799e-07
2006,5.814460450892511e-07
2007,6.666786021014559e-07
2008,6.29249598205206e-07
