year,eut_VERB ajouté_VERB
1800,3.458580977167003e-08
1801,3.333655484993869e-08
1802,4.2518962573012686e-08
1803,2.9255089017965474e-08
1804,4.943701981119375e-08
1805,6.538618890772341e-08
1806,8.06867319624871e-08
1807,7.971474502710407e-08
1808,7.251436784372345e-08
1809,4.51806094758922e-08
1810,7.956430891908894e-08
1811,7.771937760026049e-08
1812,4.000812481308458e-08
1813,4.601186631703058e-08
1814,5.349351184236184e-08
1815,3.506390555685357e-08
1816,1.0429217667251578e-07
1817,6.07180652423267e-08
1818,4.053200441944682e-08
1819,2.898294049202832e-08
1820,4.6279275522920216e-08
1821,5.1279737789400315e-08
1822,3.0076847679083585e-08
1823,3.854247765389118e-08
1824,4.5474010335055937e-08
1825,5.107157008410468e-08
1826,3.699353356978463e-08
1827,4.516463647519231e-08
1828,3.393751413227619e-08
1829,4.372319911682965e-08
1830,4.383470941782264e-08
1831,4.677361786775691e-08
1832,5.81788692777252e-08
1833,3.822597460789723e-08
1834,5.320682583409564e-08
1835,4.0840674842002045e-08
1836,8.199315110202221e-08
1837,4.453050272967829e-08
1838,3.59793246307305e-08
1839,5.173691519644308e-08
1840,4.0129037870428874e-08
1841,5.8426991245141835e-08
1842,4.427454936006825e-08
1843,2.5990408047960045e-08
1844,4.006649589882727e-08
1845,3.738752563098302e-08
1846,3.6297908678761814e-08
1847,4.96176593145492e-08
1848,3.378993085334514e-08
1849,2.765206952304311e-08
1850,2.4440384827073558e-08
1851,2.3217978650791338e-08
1852,3.190167419120371e-08
1853,2.149895550473957e-08
1854,2.7017454939937124e-08
1855,2.4411910715116392e-08
1856,5.073645298336871e-08
1857,4.9791392342513063e-08
1858,5.970284888690003e-08
1859,3.5135996556689975e-08
1860,3.432887818455299e-08
1861,3.206855225812433e-08
1862,5.8733821584056045e-08
1863,3.9457503930862003e-08
1864,4.507044337742627e-08
1865,4.753912818955541e-08
1866,4.1357711311196255e-08
1867,4.270474107670452e-08
1868,4.3964877960434023e-08
1869,5.664882141154237e-08
1870,5.447346396181274e-08
1871,5.735435792963983e-08
1872,3.205089882385437e-08
1873,2.993002112816612e-08
1874,3.764003908557356e-08
1875,3.089624556196213e-08
1876,3.204387866162506e-08
1877,3.7727378554563984e-08
1878,2.8383716710322915e-08
1879,3.726688291294522e-08
1880,1.6686399817444908e-08
1881,1.6036766581351003e-08
1882,3.793569547383413e-08
1883,4.297150574261721e-08
1884,2.2445769687351458e-08
1885,3.4161868001092444e-08
1886,3.549404986591398e-08
1887,1.9586773092328258e-08
1888,2.2192152115962926e-08
1889,2.5687061366852504e-08
1890,2.818386235503567e-08
1891,1.466070642663908e-08
1892,2.2566644997112917e-08
1893,2.0322774574310642e-08
1894,1.2603078580752936e-08
1895,7.824199066419624e-09
1896,1.6511680911435178e-08
1897,2.505486840220783e-08
1898,2.093591255913907e-08
1899,1.713549302451156e-08
1900,3.270363591045822e-08
1901,1.8442838367604963e-08
