year,voulant_VERB amener_VERB,voulant_VERB ramener_VERB
1800,0.0,9.432493897065797e-09
1801,4.7623651688866175e-09,4.7623651688866175e-09
1802,4.475680270843441e-09,2.6854081625060644e-08
1803,5.851017448321727e-09,2.730474935042082e-08
1804,0.0,2.2246657849223084e-08
1805,2.842877711017877e-09,1.4214388555089386e-08
1806,2.881669125542885e-09,1.181484350354367e-07
1807,1.1387820464392462e-08,4.555128185756985e-08
1808,1.8128591960930862e-08,1.3596443970698147e-08
1809,9.036122072814123e-09,4.969867006821005e-08
1810,0.0,3.7442028144596406e-08
1811,4.011322829455821e-08,2.757784534068719e-08
1812,2.6672082320544632e-09,3.467370746079723e-08
1813,2.8757416448144113e-09,2.300593315851529e-08
1814,3.1466771410748606e-09,5.349351184236184e-08
1815,2.697223555614414e-09,7.282503844407984e-08
1816,2.3176038865813098e-09,3.244645441213834e-08
1817,1.401186100480345e-08,3.580808893843823e-08
1818,1.1921177378582115e-09,2.1458119725537017e-08
1819,1.2421260464634543e-08,2.6912730377581795e-08
1820,1.1866481131050932e-09,2.610625760013363e-08
1821,0.0,2.465372084259343e-08
1822,1.1028177482330648e-08,1.0526896687679255e-07
1823,2.9648061783404955e-09,5.138997138942614e-08
1824,8.421112696055388e-10,6.736890334479995e-08
1825,8.805443485471187e-09,8.805442774928451e-08
1826,1.3211976401805714e-08,7.222547360186127e-08
1827,6.4520911946530646e-09,5.8068820862899884e-08
1828,2.7516904310687096e-08,4.035812484204371e-08
1829,1.714635211591542e-09,3.6864656216550884e-08
1830,9.39315203396518e-09,3.444155760590206e-08
1831,7.795603274018958e-09,2.9623292263636358e-08
1832,1.2176972430388844e-08,3.2471927369215337e-08
1833,5.791814139399776e-09,4.1701060937704426e-08
1834,1.8669062740173104e-08,6.347481251722797e-08
1835,1.739510224751939e-08,3.857174846189082e-08
1836,1.4785650037651976e-08,4.2340726480460944e-08
1837,1.18284144701164e-08,4.174734669071256e-08
1838,1.7042837363590024e-08,1.079379643442735e-07
1839,3.4957374772659477e-09,4.474543979782197e-08
1840,3.758116218222085e-08,2.866359904984961e-08
1841,2.0545755319290038e-08,3.467096121312352e-08
1842,5.366612043644636e-09,3.5553806565502555e-08
1843,1.1813821976236483e-08,3.721354069341487e-08
1844,3.1833656155555445e-08,4.006649589882727e-08
1845,1.562463802784464e-08,2.7901140287056592e-08
1846,1.5221703009160592e-08,1.8734404472198207e-08
1847,7.550513103637968e-09,3.7752563741833e-08
1848,3.298540862672894e-08,5.631655031201888e-09
1849,2.2624419893091385e-08,2.6814127807028854e-08
1850,6.1100964288129944e-09,2.851378244628222e-08
1851,6.449438760824933e-09,3.482697086276687e-08
1852,1.6276363368206148e-08,4.6224873706535163e-08
1853,1.1943863675867306e-08,2.9859659633757474e-08
1854,1.9743524148907454e-08,3.533051784465613e-08
1855,1.2736649068756378e-08,3.980202833986368e-08
1856,1.0872097000458325e-08,3.002769710658271e-08
1857,4.393358121745905e-09,4.637433770326993e-08
1858,1.6149130033227266e-08,6.068158109329147e-08
1859,1.476730293603623e-08,3.258990899368541e-08
1860,1.2816114614011553e-08,4.485640126006274e-08
1861,8.017138508620292e-09,2.782418651037233e-08
1862,5.421583626485926e-09,3.9758280334645235e-08
1863,8.490855407661257e-09,4.5950510951797696e-08
1864,1.5343128989542265e-08,1.5822602006387854e-08
1865,9.88437331983505e-09,3.6242702616817724e-08
1866,1.897588974841824e-08,2.043557378872407e-08
1867,2.2808213984149006e-08,3.008743121313273e-08
1868,1.9265508299781686e-08,1.728955856261649e-08
1869,1.025539064780645e-08,3.7603099301009024e-08
1870,1.1468097582678638e-08,2.2362788953955715e-08
1871,2.0180236370848093e-08,4.673317977044178e-08
1872,7.256807155187062e-09,4.958818333733461e-08
1873,1.1972008939764578e-09,4.250063123656389e-08
1874,1.0754296120296658e-08,1.672890553860995e-08
1875,1.6020275550587826e-08,2.7463329388410784e-08
1876,1.209202959984168e-08,1.4510435963899226e-08
1877,1.1751150275074451e-08,2.8450154232473324e-08
1878,1.3285995414946683e-08,1.932508364443919e-08
