year,doit_VERB approcher_VERB,doit_VERB rapprocher_VERB
1800,5.0306631749208464e-08,8.174827570428533e-08
1801,5.000483582762172e-08,5.000483582762172e-08
1802,6.042168365638645e-08,3.1329761895904085e-08
1803,9.166594594489652e-08,7.021220937986072e-08
1804,6.179627121127851e-08,3.707776485839531e-08
1805,8.52863308864471e-08,2.558589926593413e-07
1806,1.5272846098923765e-07,1.152667650217154e-07
1807,6.832692633906845e-08,4.27043254092041e-08
1808,1.6315732409566408e-07,1.1330369886763947e-07
1809,6.551188391767937e-08,3.6144488291256494e-08
1810,3.978215445954447e-08,4.44624070894406e-08
1811,7.52123057168319e-08,2.757784400841956e-08
1812,6.934741492159446e-08,9.335229123053068e-08
1813,4.601186631703058e-08,4.3136125782439194e-08
1814,7.552024783308298e-08,4.72001566720337e-08
1815,4.045835311217161e-08,4.045835311217161e-08
1816,6.489290882427667e-08,1.1356259221884102e-07
1817,8.095742032310227e-08,1.4634609613040084e-07
1818,2.5034472272977837e-08,6.556647491606782e-08
1819,6.417651121637391e-08,8.073818946741085e-08
1820,3.678609061807947e-08,8.899861114741725e-08
1821,8.480879643002481e-08,4.536284592404627e-08
1822,1.0627152846609533e-07,4.210758675071702e-08
1823,3.360113609574e-08,8.20263039713609e-08
1824,8.757957203897604e-08,1.1621135342920752e-07
1825,7.220463515977826e-08,8.717388766399381e-08
1826,5.460950447400137e-08,3.963592831723872e-08
1827,4.885154680778214e-08,4.977327350275118e-08
1828,3.5771975603893225e-08,6.879226077671774e-08
1829,3.6864655328372464e-08,8.487444347338169e-08
1830,8.55820516676431e-08,1.1271782796029584e-07
1831,5.456922025359745e-08,8.107426907599802e-08
1832,3.6530916958099624e-08,4.19429042608499e-08
1833,4.054269808762001e-08,4.170106393530659e-08
1834,6.627517024071494e-08,4.29388435918554e-08
1835,5.218530674255817e-08,5.596685070941021e-08
1836,8.266522399935639e-08,7.661655132551459e-08
1837,7.027470161347082e-08,6.95789097449051e-08
1838,4.670999942391063e-08,3.28232410140572e-08
1839,4.824117993962318e-08,4.264799713382672e-08
1840,6.688173215252391e-08,4.968357103507515e-08
1841,5.3290552415319326e-08,6.998397594770722e-08
1842,3.6895457355967665e-08,3.152884531232303e-08
1843,2.3627643841450663e-08,5.6706348061652534e-08
1844,7.354672248993666e-08,2.5796238034558883e-08
1845,3.4039391749729475e-08,5.133809821700197e-08
1846,3.9810608143397985e-08,4.156695965207291e-08
1847,1.7258315665458213e-08,4.0988499705463255e-08
1848,5.792559676365272e-08,4.263967667839097e-08
1849,3.77073661184113e-08,5.6980020701757894e-08
1850,4.480737203493845e-08,7.19633561629962e-08
1851,8.319776156895387e-08,4.127640806927957e-08
1852,2.799534470909748e-08,4.166749079104193e-08
1853,2.9859659633757474e-08,3.702597695109944e-08
1854,3.636965217879151e-08,3.013485283531736e-08
1855,2.600399184871094e-08,4.192480318465641e-08
1856,5.228961086345407e-08,5.2807330064297275e-08
1857,4.6862489000432106e-08,4.637433548282388e-08
1858,8.906490478466367e-08,4.3553715300959084e-08
1859,2.64793023063703e-08,4.4811123700583266e-08
1860,4.073693560258107e-08,7.18617840789193e-08
1861,3.819930682880113e-08,5.847795137015055e-08
1862,3.930648162508987e-08,5.647482836934614e-08
1863,3.696019490462277e-08,6.093437576737415e-08
1864,3.9796240969280916e-08,3.9796240969280916e-08
1865,4.142022902442477e-08,3.4830648587558244e-08
1866,4.670988573707291e-08,4.379051787850585e-08
1867,3.34843974769683e-08,4.31900204489466e-08
1868,4.0506968446152314e-08,6.026646559575966e-08
1869,3.857980246380066e-08,7.129938239813782e-08
1870,3.2110673231500186e-08,6.422134646300037e-08
1871,1.4869648623516696e-08,4.460894587055009e-08
1872,6.47065334646868e-08,5.624025689598966e-08
1873,4.908523720814628e-08,8.440266441311906e-08
1874,4.779687401423871e-08,7.766991672042423e-08
1875,3.3757011408397375e-08,4.920513418937844e-08
1876,3.808989390563511e-08,8.222580305528027e-08
1877,4.886004489890183e-08,5.318941731502491e-08
1878,3.4422804162659304e-08,1.1051532311512346e-07
1879,2.7491964260661916e-08,6.048232137345622e-08
1880,2.888030792291829e-08,4.1074216028391675e-08
1881,2.649552932609822e-08,5.0899306103247e-08
1882,3.3276926103553706e-08,6.256062334841772e-08
1883,2.9700892412165558e-08,4.676310894069502e-08
1884,3.895001299270007e-08,3.3668655419205606e-08
1885,3.222817923642651e-08,4.576401479994274e-08
1886,4.001147502208369e-08,5.679048342699389e-08
1887,4.700825684267329e-08,4.439668899181015e-08
1888,3.9311810695608074e-08,7.164894810784972e-08
1889,3.257871128425904e-08,6.453090861668898e-08
1890,4.0637196718762425e-08,5.1124214195397144e-08
1891,2.677172439291553e-08,5.354344878583106e-08
1892,5.2655504845233736e-08,5.140180192597654e-08
1893,3.263960834942736e-08,7.574852389780062e-08
1894,3.150769600779313e-08,4.7891699495039575e-08
1895,2.9491211250842753e-08,6.801034402315054e-08
1896,2.889544248318998e-08,6.309821287686646e-08
1897,4.1952336715667116e-08,8.332200707172888e-08
1898,3.734514208986184e-08,1.0750873968845553e-07
1899,2.2110313580014918e-08,1.0668226479992882e-07
1900,4.2047531678690575e-08,6.436906119233754e-08
1901,3.520905522691464e-08,8.941982088117584e-08
1902,5.695929417015577e-08,6.334266089425e-08
1903,3.888158772724637e-08,7.722314876446035e-08
1904,2.418581246388385e-08,8.06193796165644e-08
1905,3.973784501454247e-08,8.928113004458282e-08
1906,2.4692084821253957e-08,6.944649300066885e-08
1907,3.188563013623025e-08,7.25140907320565e-08
1908,6.090122184332358e-08,7.17062818011982e-08
1909,3.190570296851547e-08,8.03143578309573e-08
1910,4.756294202934441e-08,4.11499598840237e-08
1911,3.937076797910777e-08,6.916486228192298e-08
1912,2.3963337980603683e-08,6.980624789321155e-08
1913,2.1742257771961704e-08,1.03408297036367e-07
1914,2.678697441638178e-08,8.236995086008392e-08
1915,1.8849219074468238e-08,9.542416989916092e-08
1916,6.59247731960022e-08,7.471474106068854e-08
1917,2.0836205649743533e-08,7.457168749169796e-08
1918,2.2972752589112133e-08,7.121553124989077e-08
1919,2.9465114792515124e-08,1.0128633221029304e-07
1920,2.4988365154854364e-08,6.66356356759934e-08
1921,3.1048266180278006e-08,7.118382683302116e-08
1922,5.090775445637519e-08,5.902348476638508e-08
1923,3.1847843473542525e-08,5.732611896291928e-08
1924,4.512068585427187e-08,8.895220560134476e-08
1925,1.8696901804560184e-08,7.478760721824074e-08
1926,3.78968714187522e-08,6.13037585139864e-08
1927,3.0102906833917586e-08,8.250426475342465e-08
1928,4.34189573184085e-08,5.5987602110008083e-08
1929,4.233354289340241e-08,6.461435475557664e-08
1930,7.247486166761519e-08,5.146765857944047e-08
1931,3.42160717536899e-08,4.904303452235581e-08
1932,3.287861005674131e-08,4.7126007984843454e-08
1933,2.7529589274877253e-08,6.652984296806608e-08
1934,2.6359476379411717e-08,6.230421689679133e-08
1935,2.2739740757060645e-08,6.702239119249498e-08
1936,4.00115567344983e-08,5.577368611398015e-08
1937,5.414180748175568e-08,6.043736533456467e-08
1938,3.241303758727554e-08,8.038433207957496e-08
1939,6.423501019980904e-08,6.72938256229827e-08
1940,3.550096039361961e-08,5.0715659227762444e-08
1941,1.7709016475464523e-08,8.559357667081713e-08
1942,4.5513175450651033e-08,9.406056733496371e-08
1943,4.064529335323641e-08,6.096794180621146e-08
1944,2.2492303131116387e-08,1.124615138792251e-07
1945,3.703456741277478e-08,7.62476446425353e-08
1946,6.26449718765798e-08,5.568441707737293e-08
1947,3.5762614203349585e-08,7.986983519003843e-08
1948,4.892349636520521e-08,4.240036233227329e-08
1949,4.810334175431308e-08,8.540797580280923e-08
1950,4.2541444145172136e-08,7.87016745107394e-08
1951,5.863770979885885e-08,7.249753508631329e-08
1952,3.1634410646574906e-08,8.330395218081321e-08
1953,5.8178667217134716e-08,7.97263197682696e-08
1954,5.374894840315392e-08,6.156697907044872e-08
1955,4.598947711542678e-08,8.07162265914485e-08
1956,5.843164885277474e-08,5.05826207586324e-08
1957,6.979679767482594e-08,5.301022554249357e-08
1958,5.4596807075313336e-08,5.7905705119765116e-08
1959,6.510628480782543e-08,7.828255377262394e-08
1960,3.944875004435744e-08,4.844583401109048e-08
1961,2.570818935510033e-08,7.08712235564235e-08
1962,5.010145542883038e-08,7.737186535905494e-08
