year,devant_VERB avoir_VERB
1800,3.521464293498866e-07
1801,3.405091035801888e-07
1802,2.842056971985585e-07
1803,3.588624224448722e-07
1804,3.287561867182376e-07
1805,4.975036063115112e-07
1806,4.437770542153885e-07
1807,6.348710144266079e-07
1808,5.030684064877278e-07
1809,4.992457434127573e-07
1810,5.5695016953905e-07
1811,5.71613497868384e-07
1812,3.440698606027581e-07
1813,3.565919541870244e-07
1814,3.7445457223839185e-07
1815,4.2076686668224283e-07
1816,3.1519414278591285e-07
1817,3.0981780696492933e-07
1818,4.4704415813612286e-07
1819,3.353740112288506e-07
1820,3.643009733877989e-07
1821,4.3094703983115323e-07
1822,3.2182225595533964e-07
1823,3.893778739438858e-07
1824,4.0758186514722183e-07
1825,3.4341226751166687e-07
1826,6.024661161063705e-07
1827,4.949675371790363e-07
1828,4.7695965577077e-07
1829,4.843844294555311e-07
1830,4.800944566341059e-07
1831,5.394557547333534e-07
1832,4.924908694192709e-07
1833,5.34005266672466e-07
1834,6.142121264929301e-07
1835,4.583231429933221e-07
1836,4.072774402175128e-07
1837,4.056450393363775e-07
1838,4.1975877707045584e-07
1839,4.6073822090875183e-07
1840,4.172146077507932e-07
1841,4.898878387393779e-07
1842,5.01778231409844e-07
1843,4.406555547120661e-07
1844,4.906773938273545e-07
1845,4.7487739607277035e-07
1846,4.80069104469294e-07
1847,4.994125220036949e-07
1848,4.3524650550352817e-07
1849,5.547172463593597e-07
1850,5.356517931431881e-07
1851,4.6371465600714146e-07
1852,4.6810822595944046e-07
1853,4.2042398717967444e-07
1854,4.1305531794932904e-07
1855,3.9642819160690124e-07
1856,4.5093318590261333e-07
1857,4.813168175132887e-07
1858,4.712609893431363e-07
1859,4.832472768612206e-07
1860,4.092002541256079e-07
1861,4.810282803191512e-07
1862,4.906532922177576e-07
1863,5.27431950558821e-07
1864,5.163922196516069e-07
1865,5.808245759908459e-07
1866,4.588272872751986e-07
1867,5.027512770539033e-07
1868,5.097950293020403e-07
1869,5.200947725825245e-07
1870,4.828069108953059e-07
1871,4.620212052941497e-07
1872,5.400273721534177e-07
1873,5.165921947991592e-07
1874,4.7498141952928563e-07
1875,4.336917527325568e-07
1876,5.241894882601628e-07
1877,4.960222668159986e-07
1878,5.68278267110145e-07
1879,5.241801090960507e-07
1880,5.801733209409576e-07
1881,5.250298045211821e-07
1882,4.971572593603923e-07
1883,5.409353889263002e-07
1884,5.519018486666027e-07
1885,5.62059426556516e-07
1886,5.046608748671133e-07
1887,5.510412393050501e-07
1888,5.827025120197504e-07
1889,5.331631314220431e-07
1890,6.442961648644996e-07
1891,6.030012400515261e-07
1892,5.497485631167365e-07
1893,5.517941303878615e-07
1894,5.961256306363794e-07
1895,5.711665380658815e-07
1896,5.401678322414227e-07
1897,6.106395744609472e-07
1898,5.686646886715607e-07
1899,5.593909122580953e-07
1900,5.486943450705439e-07
1901,5.683747303919517e-07
1902,6.550318403242272e-07
1903,5.55142662506114e-07
1904,5.261758246888348e-07
1905,5.454922415992769e-07
1906,5.277933041725191e-07
1907,5.636556466015463e-07
1908,4.881920858679223e-07
1909,5.622005119221285e-07
1910,6.060266741769738e-07
1911,6.155672735985718e-07
1912,5.360494697015383e-07
1913,5.806773515359964e-07
1914,5.250246886134846e-07
1915,5.31312366547354e-07
1916,5.131144575898361e-07
1917,6.086365829105489e-07
1918,5.915483711760317e-07
1919,6.178466378514713e-07
1920,6.777147518732818e-07
1921,5.747715476900339e-07
1922,5.467049959406722e-07
1923,4.3843866137649457e-07
1924,4.4733937443197647e-07
1925,5.411103529695538e-07
1926,4.770546979671053e-07
1927,4.281302494746342e-07
1928,4.970327722730872e-07
1929,5.33625438947638e-07
1930,4.989211674910621e-07
1931,4.7560337179675116e-07
1932,4.756439011543989e-07
1933,4.86356100282137e-07
1934,4.840558176510967e-07
1935,4.4881065264235076e-07
1936,4.1102782688540174e-07
1937,4.709078211817541e-07
1938,4.304451124426123e-07
1939,3.9152769204520155e-07
1940,3.448664642746735e-07
1941,3.3351980732732045e-07
1942,3.8837910665279196e-07
1943,2.3806528304248786e-07
1944,4.3699333218683023e-07
1945,3.5945316767538316e-07
1946,3.104406118836778e-07
1947,3.194793407601537e-07
1948,2.815818902490719e-07
1949,3.3083318839999265e-07
1950,3.2012437145567674e-07
1951,3.209081853583484e-07
1952,2.9420002078950347e-07
1953,3.339886518460844e-07
1954,3.088121331984439e-07
1955,3.7260863905430597e-07
1956,2.799486367166537e-07
1957,3.1806135325496143e-07
1958,3.0276410711849167e-07
1959,2.7360138687981816e-07
1960,2.9275125257299806e-07
1961,2.7028340809920337e-07
1962,2.993403427353769e-07
1963,2.9097239462316793e-07
1964,2.79862547358789e-07
1965,2.861878556359443e-07
1966,2.8969361665076576e-07
1967,2.573635242697492e-07
1968,2.89247168439033e-07
1969,3.6879072240481037e-07
1970,3.219107611585059e-07
1971,2.486984271854453e-07
1972,2.4881211402316694e-07
1973,4.97290955081553e-07
1974,2.644018763930944e-07
1975,2.558743119607243e-07
1976,2.3882543587205873e-07
1977,2.3448359343092307e-07
1978,2.025741707711859e-07
1979,2.2647137143394502e-07
1980,2.0239136233612953e-07
1981,2.3088256284609088e-07
1982,2.17883325603907e-07
1983,2.0019551527639123e-07
1984,1.780295662001663e-07
1985,2.0031808389830985e-07
1986,1.7024338205828826e-07
1987,2.2121156462162617e-07
1988,2.1947387551790598e-07
1989,1.7013178421620978e-07
1990,1.928822399577257e-07
1991,2.0339284390047396e-07
1992,1.9339904611115344e-07
1993,2.0218107010805397e-07
1994,1.8198497286903148e-07
1995,2.288274316697425e-07
1996,1.686837123315854e-07
1997,1.4816224336300365e-07
1998,1.6974540528735815e-07
1999,1.8417910041534924e-07
2000,1.5639831474345556e-07
2001,1.6473356367896486e-07
2002,1.7875383662158129e-07
2003,2.0167907166523946e-07
2004,1.801559648129114e-07
2005,1.5537936803866614e-07
2006,2.2483679629203834e-07
2007,1.5937973785185022e-07
2008,1.2687169714808988e-07
2009,1.5496625849209522e-07
2010,1.2234623625317909e-07
2011,1.0133526018307748e-07
2012,9.055312233385848e-08
2013,1.0236088598958304e-07
2014,1.219145673303501e-07
2015,1.0794722271612045e-07
2016,1.300801528714146e-07
2017,1.0137913619701067e-07
2018,9.267465372886363e-08
2019,1.1709033742590691e-07
