year,ait_VERB établi_VERB,ait_VERB etabli_VERB,ait_VERB rétabli_VERB
1800,1.5091990235305275e-07,0.0,1.8864987794131594e-08
1801,3.8098920640550205e-07,7.143547975374531e-09,4.286128785224719e-08
1802,1.544109693440987e-07,0.0,1.5664880947952042e-08
1803,2.106366423504369e-07,0.0,2.9255089017965474e-08
1804,2.1999473176492756e-07,0.0,2.2246657849223084e-08
1805,4.1221727542506414e-07,0.0,2.842877755426798e-08
1806,2.535868759423465e-07,0.0,1.152667650217154e-08
1807,4.0426763803225185e-07,0.0,8.54086508184082e-08
1808,2.515342032438639e-07,0.0,2.4926814390369145e-08
1809,2.4849336455190496e-07,0.0,2.710836710662079e-08
1810,3.2293749541167927e-07,0.0,5.616304221689461e-08
1811,2.2312983105621242e-07,0.0,2.2563691359778204e-08
1812,3.707419580223359e-07,0.0,1.8670457180292033e-08
1813,2.7894694198948855e-07,2.8757416448144113e-09,3.4508900625951355e-08
1814,1.5104049566616595e-07,0.0,4.090680150170556e-08
1815,1.8880564311984926e-07,2.697223555614414e-09,5.933891955578474e-08
1816,2.2712518443768204e-07,0.0,6.952811304472561e-08
1817,3.144884317407559e-07,3.113746815941454e-09,6.227493543065066e-08
1818,2.1696543228699738e-07,0.0,3.099506074022429e-08
1819,3.56076128582572e-07,0.0,2.5877625375869684e-08
1820,2.2071654370847682e-07,0.0,3.559944161679596e-08
1821,3.855842010125343e-07,0.0,3.648750634965836e-08
1822,3.1480433904107485e-07,0.0,4.210758675071702e-08
1823,2.5596159503038507e-07,9.882686891060644e-10,1.4824030003524058e-08
1824,1.8947503122035414e-07,0.0,1.3473780313688621e-08
1825,3.0202670586731983e-07,8.805443041381977e-10,1.937197424695114e-08
1826,3.3029940027518023e-07,8.807984341885344e-10,1.5854372037438225e-08
1827,2.967962018374237e-07,1.8434546111834038e-09,1.7512819638909605e-08
1828,2.1463185362335935e-07,4.586150570418113e-09,3.210305266065916e-08
1829,3.206367864549975e-07,0.0,2.4004892296147773e-08
1830,3.2667296068211726e-07,2.0873671680021744e-09,4.905312778191728e-08
1831,2.8687819053629937e-07,0.0,3.1182413096075834e-08
1832,1.9618455837644433e-07,0.0,2.570694235259907e-08
1833,2.3746439126171026e-07,0.0,1.6217079235048004e-08
1834,2.156276650566724e-07,0.0,3.733812548034621e-08
1835,2.3596834353156737e-07,2.2689263801112247e-09,1.3613558280667348e-08
1836,2.4261908038170077e-07,6.720750067579218e-10,1.4113575197427508e-08
1837,2.456135632655787e-07,0.0,3.1310509740478665e-08
1838,2.2155688839120558e-07,6.312161904276081e-10,3.219202682203104e-08
1839,2.950402517853945e-07,2.7965900706306e-09,5.8029243632518046e-08
1840,2.465069428581046e-07,6.369688665408546e-10,3.758116307039927e-08
1841,2.6837892619369086e-07,1.926164561183441e-09,3.9165346521485844e-08
1842,1.8984390237619664e-07,0.0,2.5491406319133603e-08
1843,2.723085970046668e-07,5.906911071384968e-10,3.0125246297529884e-08
1844,2.431432619687257e-07,0.0,2.195424464446205e-08
1845,2.3492759737564484e-07,0.0,3.236532108985557e-08
1846,2.394490934420901e-07,5.854501328173001e-10,2.1076203893244383e-08
1847,2.432343819691596e-07,0.0,2.480882876909618e-08
1848,1.946943655184441e-07,0.0,1.930853166243196e-08
1849,2.7233099331169797e-07,0.0,8.379414495607307e-09
1850,1.6700930416391202e-07,1.3577992064028876e-09,3.055048125588655e-08
1851,2.1670113881100406e-07,1.2898877521649865e-09,2.7087642351375507e-08
1852,2.2200960358986777e-07,0.0,2.148479971708639e-08
1853,1.7856076794942055e-07,2.9859659189668264e-09,4.299791100947914e-08
1854,1.8704392346080567e-07,0.0,2.8056588163849483e-08
1855,2.361586979304775e-07,1.0613874223963649e-09,4.086341576226005e-08
1856,1.76024428810706e-07,5.177189232874468e-10,3.2616291889553395e-08
1857,1.8012768521202815e-07,0.0,2.8312753030945714e-08
1858,1.947683045955273e-07,4.893676019968041e-10,2.8872689128434104e-08
1859,1.7262468077205995e-07,5.092173349652285e-10,2.49516496353408e-08
1860,1.6294774241032428e-07,9.154367819341758e-10,3.158256944857385e-08
1861,1.4006411674927222e-07,4.715963730639317e-10,3.5369726703038395e-08
1862,1.3870217685507669e-07,4.517986262886353e-10,2.4397126097142063e-08
