year,faudrait_VERB appeler_VERB,faudrait_VERB rappeler_VERB
1800,3.144164395507687e-08,5.65949598296811e-08
1801,7.619784270218588e-08,1.4287095950749062e-08
1802,2.6854081625060644e-08,1.5664880947952042e-08
1803,1.3652374342143503e-08,1.950339223455444e-09
1804,3.460591457837836e-08,0.0
1805,1.1371510844071508e-08,0.0
1806,2.5935023018064385e-08,1.152667650217154e-08
1807,2.2775640928784924e-08,0.0
1808,4.5321479902327155e-09,9.064295980465431e-09
1809,1.3554183553310395e-08,2.4849335034105025e-08
1810,1.6380887757350138e-08,3.042164919975221e-08
1811,1.2535384286138651e-08,2.2563691359778204e-08
1812,9.068507722531649e-08,1.8670457180292033e-08
1813,2.5881675469463516e-08,8.627225156487839e-09
1814,1.5733386149463513e-08,3.1466771410748606e-09
1815,4.045835311217161e-08,2.1577788444915313e-08
1816,2.5493642752394408e-08,0.0
1817,5.1376822796100896e-08,3.113746771532533e-08
1818,6.675859509641668e-08,1.0729059418679299e-08
1819,5.3825459644940565e-08,1.2421260464634543e-08
1820,5.458581142647745e-08,2.8479554714522237e-08
1821,3.35290586406245e-08,4.043210211079895e-08
1822,5.6143449000956025e-08,1.0025615893027862e-08
1823,3.360113609574e-08,1.7788837070042973e-08
1824,3.2000230021367315e-08,6.736890156844311e-09
1825,4.226612659863349e-08,1.7610886082763955e-09
1826,4.668231667892542e-08,2.642395191543301e-09
1827,3.2260455640198415e-08,1.3825909306319772e-08
1828,3.118582370120748e-08,3.8523666034961934e-08
1829,6.001223340490469e-08,6.77280880267972e-08
1830,5.740259823028282e-08,2.0873670791843324e-08
1831,3.274153215215847e-08,3.741889287312006e-08
1832,5.817886972181441e-08,3.5177919244233635e-08
1833,4.51761508202253e-08,2.0850531967653296e-08
1834,2.9870498963191494e-08,3.9205030333278046e-08
1835,3.857174846189082e-08,2.4201881387853064e-08
1836,4.368487438455304e-08,2.4866775305554256e-08
1837,4.383471363667013e-08,4.5226290268374214e-08
1838,3.471689069556305e-08,1.7042836475411605e-08
1839,2.866504900111977e-08,3.146163862766116e-08
1840,6.751869818799605e-08,1.592422194107712e-08
1841,6.934192242624704e-08,1.6051371787284552e-08
1842,5.0982812638267205e-08,2.0124794275488966e-08
1843,4.7255287682901326e-08,1.1223130869097986e-08
1844,3.512679214168202e-08,3.1833653935109396e-08
1845,4.910600637231255e-08,1.9530798311961917e-08
1846,4.742146231251354e-08,9.952652035849496e-09
1847,5.716817241818717e-08,2.1033571329098777e-08
1848,7.079795238951192e-08,3.137636639394259e-08
1849,5.6980020701757894e-08,3.100383594301093e-08
1850,6.177986477950981e-08,1.9009188889640427e-08
1851,5.546517201082679e-08,1.4188765717904062e-08
1852,3.971432604998881e-08,1.8880582430824688e-08
1853,2.8665272822081533e-08,2.20961471342207e-08
1854,4.364358119346434e-08,2.6497888327980945e-08
1855,6.686740761097099e-08,2.1227748447927297e-08
1856,2.1226476576430287e-08,2.692138423299184e-08
1857,6.541222319356166e-08,1.7085282522089074e-08
