year,doit_VERB apporter_VERB,doit_VERB rapporter_VERB
1800,4.024530539936677e-07,9.558259534969693e-07
1801,5.667214395543851e-07,7.214983384074003e-07
1802,5.057518706053088e-07,8.52617063173966e-07
1803,6.026548362569883e-07,1.26772044950485e-06
1804,8.972818932306836e-07,1.0851425713553908e-06
1805,6.652333581769199e-07,1.3731099670621916e-06
1806,7.290622647815326e-07,1.4091361890677945e-06
1807,1.0220568356089643e-06,1.7821938627093914e-06
1808,8.543099170310597e-07,1.531866018922301e-06
1809,5.534624847314262e-07,1.165659796242835e-06
1810,5.967323204458808e-07,7.93302945112373e-07
1811,4.83865790101845e-07,8.900122452359938e-07
1812,7.974952609401953e-07,1.5283103493857197e-06
1813,5.5501811857539e-07,1.1963085171373677e-06
1814,4.5626819655808504e-07,4.279480947388947e-07
1815,3.8300575511129864e-07,1.486170162934286e-06
1816,6.350234684759926e-07,9.641232736612437e-07
1817,4.6861890723448596e-07,1.0804701560118701e-06
1818,4.959209718435886e-07,1.1623147884165519e-06
1819,5.651673404827307e-07,1.046491206579958e-06
1820,4.960189130542858e-07,7.642013883923937e-07
1821,5.768970368080772e-07,6.883319088046846e-07
1822,5.353679171093972e-07,8.702234595148184e-07
1823,4.921578238281654e-07,6.542338724102592e-07
1824,5.145299724063079e-07,7.536895623161399e-07
1825,4.878215236203687e-07,7.211658044070646e-07
1826,4.853199584431422e-07,9.450967013435729e-07
1827,6.258528628677595e-07,1.1567677802304388e-06
1828,6.86088128531992e-07,1.0006980346588534e-06
1829,4.5180638608144363e-07,8.830371598378406e-07
1830,6.982243121456122e-07,8.819126264825172e-07
1831,5.706381216441514e-07,7.218728228508553e-07
1832,6.643214760515548e-07,6.913814445397293e-07
1833,6.614251901737589e-07,7.714696721450309e-07
1834,6.842211064395087e-07,7.150250667109503e-07
1835,5.384918608797307e-07,9.151336257673393e-07
1836,5.658871486957651e-07,7.218085329441237e-07
1837,6.12294400070823e-07,7.570185402983043e-07
1838,5.220157959229255e-07,7.107494184310781e-07
1839,6.082583468014491e-07,7.208211059150926e-07
1840,6.063943374101655e-07,6.662694431724958e-07
1841,6.080259709051461e-07,6.189408736645419e-07
1842,5.60810974548076e-07,6.218561452442373e-07
1843,5.564310185945942e-07,6.113652943895431e-07
1844,6.767396030227246e-07,7.486397635148023e-07
1845,5.708573098672787e-07,6.534447152262146e-07
1846,5.667157552124991e-07,6.738530942129728e-07
1847,5.166708092474437e-07,5.474121849147195e-07
1848,5.229393877925759e-07,4.811042799701681e-07
1849,5.832072815792344e-07,4.717610693205643e-07
1850,4.6844073153806676e-07,6.150830245132966e-07
1851,4.966067876921443e-07,5.591663239101763e-07
1852,3.951901135224034e-07,4.6680611376359593e-07
1853,5.362794581742492e-07,5.744998361478793e-07
1854,4.982642280992877e-07,4.6553154220418946e-07
1855,5.057511316408636e-07,6.331176223284274e-07
1856,5.34803632490366e-07,6.041779556653637e-07
1857,4.925442453895812e-07,4.3396616433710733e-07
1858,5.108997811476002e-07,4.5951617266837275e-07
1859,4.5880480570303916e-07,5.82035397656e-07
1860,4.719076684978063e-07,3.7624451465489983e-07
1861,5.116820602779626e-07,4.975341880708584e-07
1862,4.730331681912503e-07,4.599309875175095e-07
1863,4.5451048436007113e-07,3.8858149764564587e-07
1864,4.459097056042083e-07,3.9700347542748204e-07
1865,4.509156781296042e-07,4.4197267357048986e-07
1866,5.313249289429223e-07,3.9119527173170354e-07
