year,veulent_VERB enseigner_VERB,veulent_VERB renseigner_VERB
1800,4.087413785214267e-08,0.0
1801,7.143547975374531e-09,0.0
1802,3.8043282302169246e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,4.943701892301533e-09,0.0
1805,8.528632911009026e-09,0.0
1806,1.4408345627714425e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,9.064295980465431e-09,0.0
1809,3.162642769893864e-08,0.0
1810,4.212228077449254e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,8.00162425207418e-09,0.0
1813,2.300593315851529e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,2.966945977789237e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,1.5568733857662664e-08,0.0
1818,2.98029441125891e-08,0.0
1819,1.8631890696951814e-08,0.0
1820,8.306536791735653e-09,0.0
1821,1.7750679148775816e-08,0.0
1822,1.2030739071633434e-08,0.0
1823,1.3835761869529506e-08,0.0
1824,1.1789557774477544e-08,0.0
1825,9.68598712347557e-09,0.0
1826,2.7304752237000685e-08,0.0
1827,2.3043183361437514e-08,0.0
1828,1.834460228167245e-08,0.0
1829,2.1432940755516938e-08,0.0
1830,3.1310506187764986e-08,0.0
1831,1.2472964883158966e-08,0.0
1832,3.6530916958099624e-08,0.0
1833,1.1583628278799551e-08,0.0
1834,3.267085801894609e-08,0.0
1835,1.739510224751939e-08,0.0
1836,3.696412420595152e-08,0.0
1837,1.2524203896191466e-08,0.0
1838,1.5780404538645598e-08,1.2624323808552163e-09
1839,1.2584655095793096e-08,0.0
1840,7.0066574764382494e-09,0.0
1841,5.072233477676491e-08,0.0
1842,2.4820581145945653e-08,0.0
1843,2.8943864194275193e-08,0.0
1844,3.567564732520623e-08,0.0
1845,2.3436957263811564e-08,0.0
1846,1.1709002656346001e-08,0.0
1847,9.168480197274675e-09,0.0
1848,2.815827571112095e-08,0.0
1849,1.3407063903514427e-08,0.0
1850,1.2899092460827433e-08,0.0
1851,4.51460699935069e-08,0.0
1852,1.4323200403509873e-08,0.0
1853,1.4332636411040767e-08,0.0
