year,eurent_VERB apporté_VERB,eurent_VERB rapporté_VERB
1800,0.0,3.144164484325529e-09
1801,7.143547975374531e-09,0.0
1802,3.3567602031325805e-08,3.8043282302169246e-08
1803,1.3652374342143503e-08,1.755305234496518e-08
1804,0.0,0.0
1805,1.421438877713399e-08,5.685755422035754e-09
1806,1.152667650217154e-08,0.0
1807,5.693910232196231e-09,8.540865792383556e-09
1808,1.3596443970698147e-08,1.3596443970698147e-08
1809,2.0331274441787173e-08,2.0331274441787173e-08
1810,2.3401266702194334e-08,2.8081521108447305e-08
1811,1.2535384286138651e-08,2.2563691359778204e-08
1812,1.8670457180292033e-08,8.00162425207418e-09
1813,8.052076339026826e-08,2.8757416448144113e-09
1814,0.0,3.1466771410748606e-09
1815,1.8880564667256294e-08,0.0
1816,1.622322720606917e-08,2.3176038865813098e-09
1817,1.71256075987003e-08,2.490997452753163e-08
1818,1.9073883805731384e-08,1.4305412854298538e-08
1819,1.6561680027393777e-08,2.794783426907088e-08
1820,3.678609061807947e-08,2.3732962262101864e-09
1821,2.1695274909916407e-08,1.676452932031225e-08
1822,9.023054303725075e-09,1.0025615893027862e-08
1823,2.174191138237802e-08,3.360113609574e-08
1824,3.9579230559638745e-08,2.4421225930382207e-08
1825,2.993850500843109e-08,5.0191026446100295e-08
1826,1.9377566218281572e-08,5.9013494535520294e-08
1827,5.530363722527909e-09,1.8434546333878643e-08
1828,9.172301251858528e-10,4.035812395386529e-08
1829,1.628903412154159e-08,3.5150023336427694e-08
1830,3.1310507520032616e-09,1.461157062010443e-08
1831,2.6505050598757407e-08,1.870944643656003e-08
1832,2.705993873419743e-09,8.117981842303834e-09
1833,2.548398292390175e-08,2.3167257001688313e-09
1834,1.8669062740173104e-08,1.120143711119681e-08
1835,1.2100940693926532e-08,2.117664621437143e-08
1836,1.9490174807401672e-08,2.9571300075303952e-08
1837,2.0873672568200163e-08,2.99189295560609e-08
1838,4.418513199766494e-08,3.597932263232906e-08
1839,2.866504900111977e-08,3.076248944466897e-08
1840,1.1465439264668476e-08,3.184844388215424e-08
1841,1.6051371787284552e-08,8.988767952189392e-09
1842,1.9453969102301016e-08,1.8783142152756227e-08
1843,2.2446261738195972e-08,1.1813821920725331e-08
1844,1.1525978393933656e-08,8.781698035420504e-09
1845,1.7298706467272496e-08,7.254296274794569e-09
1846,1.6392604607062822e-08,3.5127007969038004e-09
1847,6.47186837454683e-09,1.6179670936367074e-08
1848,1.689496542667257e-08,8.04522137798358e-09
1849,1.005529792763582e-08,8.379414495607307e-09
1850,8.146795238417326e-09,6.788996032014438e-09
1851,2.257303499675345e-08,1.2898877521649865e-08
1852,1.8880582430824688e-08,1.3021090872200602e-08
1853,9.555090940693844e-09,3.4637203327747557e-08
1854,1.8704392701351935e-08,1.1950028522278444e-08
1855,1.4328730202350926e-08,6.8990182455763716e-09
1856,1.4496129630003907e-08,5.694908100650764e-09
1857,4.881508974818871e-09,7.322263684272912e-09
1858,1.0766087576996597e-08,1.1255455234504552e-08
1859,8.147477359443656e-09,9.675129142294736e-09
1860,7.781213007262977e-09,1.9224172476128842e-08
1861,1.4147890858851042e-08,1.2733101684148096e-08
1862,1.9427341513278407e-08,1.1294965851504912e-08
1863,1.39849385405455e-08,4.495158911765884e-09
1864,1.1507347075223606e-08,2.3973640850272204e-09
1865,1.6473954644879996e-08,8.47231973466478e-09
1866,3.4059290943133647e-09,2.432806400776144e-09
1867,1.455843445796745e-08,1.164674756637396e-08
1868,5.433861360870651e-09,1.0867722721741302e-08
1869,2.0022428159904848e-08,2.1487483792270723e-08
1870,1.0321287824410774e-08,1.1468097582678638e-09
1871,2.442870794538976e-08,2.0180236148803488e-08
1872,1.0280476914203973e-08,3.0236697590169115e-09
1873,1.0176207432266438e-08,1.1972008939764578e-09
1874,1.6728906260254917e-08,2.9873046258899194e-09
1875,7.437985338754061e-09,7.437985338754061e-09
1876,1.1487427897804992e-08,1.209202959984168e-09
1877,2.040989244278535e-08,8.658742167710898e-09
1878,1.2078177347163432e-09,1.2078177569208037e-08
1879,1.221865097988939e-08,1.0996785704264767e-08
1880,1.0268554007097919e-08,8.343199908722454e-09
1881,1.673401861523871e-08,2.7890030285249168e-09
1882,8.652000893505374e-09,3.3276925659464496e-09
1883,1.8958017378167824e-08,3.791603475633565e-09
1884,6.601696966868076e-09,7.2618666635548834e-09
1885,1.933690763067375e-09,8.379326565943757e-09
1886,8.38950331427668e-09,5.808117542471791e-09
1887,1.0446279397058333e-08,1.2404957061562527e-08
1888,4.4384300679212174e-09,4.4384300679212174e-09
1889,6.891650361495749e-09,5.012109394186837e-09
1890,7.209825181320184e-09,1.3108772956016423e-09
1891,5.736798147637501e-09,2.5496880162734215e-09
1892,6.8953633913793055e-09,1.8805537127519756e-09
1893,4.310891643655168e-09,6.158416554491453e-10
1894,2.520615716150587e-09,1.2603078580752936e-09
1895,4.814891596538473e-09,0.0
1896,7.076434549446731e-09,2.358811590497112e-09
1897,5.2440420894583895e-09,2.9133566670225264e-09
1898,9.05336783318944e-09,7.355861253444118e-09
1899,2.7637891975018647e-09,1.6582735185011188e-09
1900,1.245852754294674e-08,2.07642125715779e-09
1901,9.500856101851696e-09,3.912117296778206e-09
1902,3.437198747846537e-09,4.419255628107521e-09
1903,3.2401321625741275e-09,4.860198465905796e-09
1904,4.837162670412454e-09,1.0749250378694342e-09
1905,5.160758931310738e-09,5.160759042333041e-10
1906,2.0576738091193647e-09,1.5432553013283723e-09
1907,2.5714217422034835e-09,2.5714217422034835e-09
1908,1.080505640516094e-08,8.840499887696751e-09
1909,1.1001967337165297e-08,0.0
1910,4.275320542035388e-09,6.947395991829808e-09
1911,1.8621308939259507e-08,6.384448969498635e-09
1912,8.335073964360618e-09,1.0418842455450772e-09
1913,1.590896969716482e-09,1.060597942803554e-09
1914,6.027069510139427e-09,2.0090231700464756e-09
1915,0.0,0.0
1916,5.493730803607377e-09,4.394984820521586e-09
1917,7.676496771580332e-09,1.0966424435210342e-09
1918,2.2972752589112133e-09,1.1486376294556067e-09
1919,8.287063479883727e-09,9.207848372660976e-10
1920,1.2872794385998532e-08,2.2716695191604686e-09
1921,3.7863738810983705e-09,5.300923255902035e-09
1922,5.902348387820666e-09,2.2133805899215986e-09
1923,2.1231896241147297e-09,2.1231896241147297e-09
1924,1.2891624656674594e-08,0.0
1925,7.698724324711748e-09,2.1996355847875293e-09
1926,1.5604593173179637e-08,1.114613823460786e-08
1927,1.6723836537835268e-08,2.2298449753321847e-09
1928,3.4278122562625413e-09,2.2852082448565625e-09
1929,3.342121912552898e-09,2.2280812750352652e-09
1930,3.1510811737689437e-09,5.2518016602221e-09
1931,5.7026783295555106e-09,0.0
1932,5.4797681947604815e-09,1.0959536611565568e-09
1933,1.1470662197865522e-09,5.735331320977366e-09
1934,2.516131836216573e-08,0.0
1935,7.180970484910176e-09,2.393656828303392e-09
1936,2.424942913137329e-09,0.0
1937,6.295559185076627e-09,3.777335333410292e-09
1938,3.8895642262559704e-09,1.2965214457594243e-09
1939,2.2941076593951948e-08,1.5294050470515685e-09
1940,0.0,5.0715658339584024e-09
1941,8.854508237732261e-09,5.9030051957620344e-09
1942,0.0,3.034211770724937e-09
1943,0.0,0.0
1944,0.0,1.6065930807940276e-08
1945,4.357008087652048e-09,0.0
1946,5.568441707737293e-09,5.568441707737293e-09
1947,5.960435700558264e-09,0.0
1948,9.784699273041042e-09,2.174377566888097e-09
1949,3.9268033269479474e-09,1.9634016634739737e-09
1950,2.1270722960764488e-09,1.0635361480382244e-09
1951,4.264560704569931e-09,0.0
1952,4.2179215675730575e-09,2.1089607837865287e-09
1953,3.232148326759443e-09,3.232148326759443e-09
1954,7.818028890937967e-09,2.9317608341017376e-09
1955,4.6928039232341234e-09,9.385607846468247e-10
1956,2.616342476002842e-09,8.72114158667614e-10
1957,8.835037590415595e-09,2.6505113659425206e-09
1958,2.4816730892496253e-09,0.0
1959,3.8753737996444215e-09,3.100299128533379e-09
1960,6.920833239831836e-09,0.0
1961,5.55852741612739e-09,6.94815938118154e-09
1962,1.9025869768540815e-09,1.9025869768540815e-09
1963,1.939815863494232e-09,4.526237162849611e-09
1964,4.258777774879263e-09,0.0
1965,7.660860390501512e-09,2.73602163147757e-09
1966,3.3234448526542337e-09,2.215629901769489e-09
1967,5.423369309198733e-09,3.944268467392931e-09
1968,2.6948494546985557e-09,1.7965663401398047e-09
1969,4.995933444718048e-09,1.3625273131978588e-09
1970,7.3579600190498695e-09,4.598724956395017e-09
1971,1.541519245584766e-09,1.541519245584766e-09
1972,4.104117490300041e-09,2.0520587451500205e-09
