year,devait_VERB approcher_VERB,devait_VERB rapprocher_VERB
1800,0.0,6.288328968651058e-09
1801,1.4287095950749062e-08,0.0
1802,0.0,0.0
1803,2.7304748684287006e-08,2.3404069793286908e-08
1804,9.887403784603066e-09,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,2.881669125542885e-09
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,4.518061036407062e-09,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,5.0141535368197765e-09
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,5.664018942752591e-08
1815,0.0,8.091670444798638e-09
1816,4.1716869958463576e-08,1.622322720606917e-08
1817,2.9580593974287694e-08,7.784366928831332e-09
1818,1.1921176934492905e-08,3.814776761146277e-08
1819,1.1386155129855524e-08,3.726378139390363e-08
1820,7.119888678630559e-09,1.1866481131050932e-08
1821,2.9584464655840748e-08,1.3806083387635226e-08
1822,1.2030739071633434e-08,4.010246357211145e-09
1823,9.882686891060644e-10,3.4589405117912975e-08
1824,1.3473780313688621e-08,8.421112696055388e-09
1825,1.4088708866211164e-08,1.7610886082763955e-09
1826,7.0463874735082754e-09,4.403992281964975e-09
1827,1.013900075008678e-08,1.935627302884768e-08
1828,1.6510142586412258e-08,1.8344602503717056e-09
1829,1.3717081692732336e-08,8.57317605795771e-10
1830,3.1310507520032616e-09,1.1480519646056564e-08
1831,0.0,4.677361609140007e-09
1832,6.764984572527055e-09,1.0823975493678972e-08
1833,3.243415847009601e-08,2.0850531967653296e-08
1834,1.4935249481595747e-08,3.267085801894609e-08
1835,3.100866052818674e-08,1.3613558280667348e-08
1836,2.083432448785061e-08,9.409050427677812e-09
1837,1.2524203896191466e-08,7.653680356156656e-09
1838,1.4517972601879592e-08,1.2624323808552163e-09
1839,1.3982949909063791e-08,7.690622361167243e-09
1840,1.46502836528839e-08,1.0828470564661075e-08
1841,1.9903700021473014e-08,8.346713542550788e-09
1842,1.0733224087289273e-08,1.609983613093391e-08
1843,1.3585895075607368e-08,2.1855571574747046e-08
1844,2.25031016043431e-08,3.0735943568060975e-08
