year,pouvaient_VERB amener_VERB,pouvaient_VERB ramener_VERB
1800,2.2009151834367913e-08,3.144164484325529e-09
1801,5.2386017301842e-08,3.095537337571841e-08
1802,2.9091921760482364e-08,1.3427040812530322e-08
1803,1.950339267864365e-08,1.1702034896643454e-08
1804,2.2246657849223084e-08,1.9774807569206132e-08
1805,3.980028751016107e-08,2.55858996212055e-08
1806,2.0171682990621775e-08,5.76333825108577e-09
1807,6.263301344233696e-08,5.4092147649953404e-08
1808,5.211970233176544e-08,2.039466551195801e-08
1809,3.840352036377226e-08,2.25903047379461e-08
1810,3.978215445954447e-08,3.042164919975221e-08
1811,8.273353557797236e-08,2.0056614147279106e-08
1812,4.800974906515876e-08,1.8670457180292033e-08
1813,2.8757416004054903e-08,2.5881675469463516e-08
1814,4.090680150170556e-08,3.1466772298927026e-08
1815,8.091670622434322e-08,8.091670444798638e-09
1816,6.025770460382773e-08,2.5493642752394408e-08
1817,5.916118794857539e-08,1.401186100480345e-08
1818,4.6492591110336434e-08,1.0729059418679299e-08
1819,6.521161566297451e-08,2.070209959015301e-08
1820,1.376511846729045e-07,1.3053129244156025e-08
1821,7.691961201317099e-08,1.4792232327920374e-08
1822,8.020492714422289e-08,1.9048670196752937e-08
1823,1.8381797417532653e-07,3.063632902922109e-08
1824,1.3557990996559965e-07,6.736890156844311e-09
1825,8.277116592125822e-08,2.4655239627691117e-08
1826,1.1274219957613241e-07,2.025836387531399e-08
1827,9.770309361556428e-08,2.3964910056406552e-08
1828,1.3575005652910477e-07,4.035812395386529e-08
1829,1.0030615982259405e-07,2.4004892296147773e-08
1830,8.453837097022188e-08,1.0436835395921662e-08
1831,1.1225668572478753e-07,0.0
1832,1.204167290325131e-07,2.570694235259907e-08
1833,1.5522061858064262e-07,2.3167256557599103e-08
1834,1.0267984151823839e-07,1.4935249481595747e-08
1835,1.1420262779893164e-07,1.5126175867408165e-08
1836,1.0954822471376247e-07,2.688300071440608e-08
1837,1.1828414869796688e-07,1.0436836284100082e-08
1838,1.2434958307494526e-07,3.28232410140572e-08
1839,1.5940563002914132e-07,3.425822825420255e-08
1840,1.7898824467010854e-07,4.1402977046800515e-08
1841,1.2263247128885268e-07,2.6966304744746594e-08
1842,1.737440697979764e-07,1.475818312002275e-08
1843,1.2581720909565774e-07,3.721353891705803e-08
1844,1.8331795104131743e-07,2.7991662321369404e-08
1845,1.5122417096335994e-07,2.511102614732863e-08
1846,1.7036599331277102e-07,2.1076203893244383e-08
1847,1.450777205036502e-07,7.011190739092399e-09
1848,1.8504009346997918e-07,4.82713291560799e-09
1849,1.952403749783116e-07,3.4355601030711114e-08
1850,9.233034603539636e-08,3.2587180953669304e-08
1851,1.7220001780060556e-07,3.418202609850596e-08
1852,6.966283905285309e-08,1.3021090872200602e-08
1853,1.5347865200965316e-07,9.555090940693844e-09
1854,8.001322981954218e-08,1.9743524148907454e-08
1855,1.0507735481724012e-07,2.4942604426314574e-08
1856,1.2011078354134952e-07,2.7439103433835044e-08
1857,1.2935998938701232e-07,1.3668225662399891e-08
1858,1.0717150189520908e-07,1.9085335978274998e-08
1859,1.1711998837427018e-07,4.379269213927728e-08
1860,1.0344435708020683e-07,1.1442959468865865e-08
1861,1.61285953481638e-07,9.431927239234028e-09
1862,1.621957039787958e-07,2.1234535907410645e-08
1863,1.198709043137569e-07,8.990317823531768e-09
1864,1.7980229927161417e-07,2.1096802527154068e-08
1865,1.581499731173608e-07,8.47231973466478e-09
1866,1.1482846673516178e-07,2.1408697037372804e-08
1867,1.1258522647494829e-07,2.6690463172940326e-08
1868,1.4375034140812204e-07,1.3831646938911035e-08
1869,1.1232094010438232e-07,1.70923168951731e-08
1870,1.1353416340398326e-07,1.490852596930381e-08
1871,2.177341400511068e-07,3.504988654867702e-08
1872,1.445314126158337e-07,1.1489944995446422e-08
1873,1.0954388329764697e-07,1.855661402316855e-08
1874,1.0037343400881582e-07,1.9716210886144836e-08
1875,1.390331050288296e-07,1.1443054503956773e-08
1876,1.0882826728675354e-07,1.4510435519810017e-08
1877,1.3915835950228939e-07,9.27722432209066e-09
1878,1.5641239770047832e-07,1.7513357875031943e-08
1879,1.4112541180111293e-07,1.0996785704264767e-08
1880,1.283569304177945e-07,1.4761046607247863e-08
1881,1.1016562240229177e-07,1.3945014920579979e-08
1882,1.0515508819253228e-07,1.1314154946262533e-08
1883,7.64639978001469e-08,1.7062214752172622e-08
1884,1.1883054185091169e-07,1.3203393933736152e-08
1885,1.2568989404826425e-07,6.445635580831777e-09
1886,9.615661156203714e-08,1.0325542199041138e-08
1887,1.0119833149246915e-07,9.140494583448344e-09
1888,1.0398608196737769e-07,6.974675947901687e-09
1889,7.267558288504006e-08,1.1903759755682586e-08
