year,doivent_VERB accompagner_VERB,doivent_VERB raccompagner_VERB
1800,1.6978488304175698e-07,3.144164484325529e-09
1801,2.0478169915350009e-07,0.0
1802,2.0588129245879827e-07,0.0
1803,8.581492494386112e-08,1.950339223455444e-09
1804,2.8920655381625693e-07,0.0
1805,1.847870549909203e-07,0.0
1806,2.737585589329683e-07,2.881669125542885e-09
1807,1.9074599322266295e-07,2.8469551160981155e-09
1808,1.7901984961099515e-07,0.0
1809,2.1460789412230952e-07,0.0
1810,2.4103306373035593e-07,0.0
1811,1.930449116116506e-07,0.0
1812,1.5736529235255148e-07,0.0
1813,2.3581081620704936e-07,0.0
1814,1.5733385794192145e-07,0.0
1815,1.780167480092132e-07,2.697223555614414e-09
1816,2.0394914201915526e-07,4.6352077731626196e-09
1817,1.1676550570882682e-07,0.0
1818,1.513989502655022e-07,1.1921177378582115e-09
1819,2.0598589856035687e-07,1.035105001712111e-09
1820,1.3171793966648693e-07,0.0
1821,1.4693617345074017e-07,9.86148829262845e-10
1822,2.095353721642823e-07,1.0025615893027862e-09
1823,1.2847492314449482e-07,9.882686891060644e-10
1824,1.6926436785524857e-07,0.0
1825,1.6994505358525203e-07,8.805443041381977e-10
1826,1.497357402513444e-07,0.0
1827,1.511632774509053e-07,0.0
1828,1.8528048428834154e-07,0.0
1829,1.423147182322282e-07,1.714635211591542e-09
1830,1.3359149875213916e-07,0.0
1831,1.2784788339104125e-07,0.0
1832,1.93478555843285e-07,0.0
1833,2.2703912350152677e-07,0.0
1834,2.1282730244820414e-07,9.334530925997342e-10
1835,1.2781617897417163e-07,0.0
1836,1.98262128492388e-07,0.0
1837,1.4054940322694165e-07,0.0
1838,1.4770458278690057e-07,6.312161904276081e-10
1839,1.9016812302652397e-07,1.3982950353153e-09
1840,1.738925021754767e-07,0.0
1841,1.4574645490483817e-07,1.2841097074556274e-09
1842,2.0795621935576492e-07,1.341653010911159e-09
1843,2.108767205299955e-07,0.0
1844,2.1844473963028577e-07,5.488561272137815e-10
1845,1.7856729073173483e-07,5.580227946389016e-10
1846,1.6216968390381226e-07,5.854501328173001e-10
1847,1.9469537448912888e-07,1.0786447290911383e-09
1848,2.1400289540451922e-07,0.0
1849,2.6143774789488816e-07,0.0
1850,1.1812853273340806e-07,1.3577992064028876e-09
1851,1.5027193001060368e-07,6.449438760824933e-10
1852,1.8034211279882584e-07,0.0
1853,1.3854881331099023e-07,5.971931837933653e-10
1854,1.6210472608690907e-07,5.195664454227256e-10
1855,1.5230909866659204e-07,0.0
1856,1.905205664343157e-07,0.0
1857,1.3863486003629077e-07,0.0
1858,1.2136317195654556e-07,4.893676019968041e-10
1859,1.22721374395951e-07,0.0
1860,1.3456920555654506e-07,4.577183909670879e-10
1861,1.858089717643452e-07,4.715963730639317e-10
1862,1.4683455162867176e-07,0.0
1863,1.5133700514979864e-07,0.0
1864,1.3473184878876054e-07,1.4384183844029508e-09
1865,1.3743985505243472e-07,9.41368871743009e-10
1866,1.5083399773629935e-07,0.0
1867,8.589476152565112e-08,4.85281148598915e-10
1868,1.1213514028440841e-07,4.93987406535723e-10
1869,1.1036753022608536e-07,0.0
1870,6.708837219093766e-08,0.0
1871,1.2532989046576404e-07,0.0
1872,1.2880832400696818e-07,0.0
1873,1.0774807890356897e-07,5.986004469882289e-10
1874,1.0873788625076486e-07,1.1949218281515073e-09
1875,1.7221796611011086e-07,0.0
1876,1.0822366647289527e-07,0.0
1877,1.5523887952895166e-07,0.0
1878,8.575506171837333e-08,1.2078177347163432e-09
1879,1.0569132768978307e-07,0.0
1880,1.2065551402429264e-07,6.417846254436199e-10
1881,1.3526664588425774e-07,0.0
1882,1.3710094037833187e-07,6.655385131892899e-10
1883,1.1058843085720582e-07,0.0
1884,1.0430681385287244e-07,0.0
1885,1.4953874938328227e-07,0.0
1886,1.3487739636275364e-07,0.0
1887,1.4428923122977722e-07,6.528924623161458e-10
1888,1.5471100311970076e-07,6.340614699951175e-10
1889,9.773613385277713e-08,6.265136742733546e-10
1890,1.3633123785439238e-07,6.554386478008212e-10
1891,1.5106901685157936e-07,0.0
1892,1.498174526659568e-07,0.0
1893,1.6258219659448514e-07,0.0
1894,1.531274023136575e-07,6.301539290376468e-10
1895,1.4685419102988817e-07,0.0
1896,1.1086414275496281e-07,0.0
1897,1.0721152676751444e-07,0.0
1898,1.1939128796711884e-07,5.6583548957434e-10
1899,1.2381775604808354e-07,0.0
1900,9.291984781611973e-08,0.0
1901,7.2653605798223e-08,0.0
1902,1.1637372665518342e-07,9.820567692386817e-10
1903,1.4148577065498102e-07,0.0
1904,1.1985413550519297e-07,0.0
1905,1.3934050002717413e-07,5.160759042333041e-10
1906,1.2551809902561217e-07,0.0
1907,1.0954256168815846e-07,0.0
1908,1.1394422472221777e-07,4.911389073214423e-10
1909,1.1056977200496476e-07,5.500983557560346e-10
1910,1.3093169570765895e-07,5.344150677544235e-10
1911,1.0215118351197816e-07,0.0
1912,1.0991878696131607e-07,0.0
1913,8.272663620800813e-08,5.30298971401777e-10
1914,8.170027143705738e-08,0.0
1915,9.424609714869803e-08,0.0
1916,9.668966782783173e-08,2.197492410260793e-09
1917,1.710762234097274e-07,0.0
1918,1.3553923849940475e-07,0.0
1919,8.194984957299312e-08,0.0
1920,8.253732630691957e-08,7.572231730534895e-10
1921,8.784387262039672e-08,0.0
1922,7.451714623130101e-08,0.0
1923,7.325004247604738e-08,0.0
1924,7.219309594574952e-08,0.0
1925,7.6987248576188e-08,0.0
1926,6.464760105018286e-08,0.0
1927,8.027441822378023e-08,0.0
1928,7.655447831211859e-08,0.0
1929,8.689517017046455e-08,0.0
1930,7.772666776872938e-08,0.0
1931,7.52753521737759e-08,0.0
1932,3.090589189014281e-07,0.0
1933,4.46208758830835e-07,0.0
1934,2.9474688290065387e-07,0.0
1935,3.3630877283030713e-07,0.0
1936,3.431294146594155e-07,0.0
1937,4.797216206497978e-07,0.0
1938,2.9819992164448195e-07,0.0
1939,7.830553840904031e-07,0.0
1940,4.158683850619127e-07,0.0
1941,3.482772967799974e-07,0.0
1942,8.49579322448335e-08,0.0
1943,6.967764676346633e-08,0.0
1944,2.4741532911320974e-07,0.0
1945,1.3506725338174874e-07,0.0
1946,6.12528623378239e-08,0.0
1947,1.0967201546918659e-07,0.0
1948,1.1306763525453789e-07,0.0
1949,1.560904365760507e-07,0.0
1950,5.424034199563721e-08,0.0
1951,8.635735326834038e-08,0.0
1952,6.326882129314981e-08,0.0
1953,7.110725874781565e-08,0.0
1954,6.449873524161376e-08,0.0
1955,8.72861534162439e-08,0.0
1956,7.151336234301198e-08,0.0
