year,fallait_VERB assurer_VERB,fallait_VERB rassurer_VERB
1800,1.2576657937302116e-08,1.2576657937302116e-08
1801,4.0480102825313224e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,1.5602713787643552e-08,0.0
1804,2.2246657849223084e-08,4.943701892301533e-09
1805,7.391481915419718e-08,0.0
1806,5.76333825108577e-09,8.645007376628655e-09
1807,0.0,8.540865792383556e-09
1808,0.0,0.0
1809,3.6144488291256494e-08,1.8072244145628247e-08
1810,2.8081521108447305e-08,2.3401267590372754e-09
1811,0.0,2.5070767684098882e-09
1812,5.601137331723294e-08,5.3344164641089264e-09
1813,1.1502966579257645e-08,1.4378708002027452e-08
1814,2.5173417128598885e-08,6.293354282149721e-09
1815,2.1577788444915313e-08,1.6183340889597275e-08
1816,3.7081662185300956e-08,1.3905623319487859e-08
1817,2.0239355080775567e-08,6.227493631882908e-09
1818,3.814776761146277e-08,5.0068944545955674e-08
1819,3.8298885840504227e-08,5.175524897538253e-09
1820,3.797273961936298e-08,2.7292905713238724e-08
1821,1.7750679148775816e-08,9.861488514673056e-09
1822,3.909990198280866e-08,1.1028177482330648e-08
1823,8.103803139647425e-08,9.882686891060644e-10
1824,2.863178316658832e-08,3.3684450784221553e-09
1825,3.258013947515792e-08,7.924898959288385e-09
1826,5.813269510213104e-08,1.0569580766173203e-08
1827,3.6869092667757286e-08,6.452091305675367e-09
1828,6.328887991458032e-08,1.7427371545863934e-08
1829,5.401101077495696e-08,1.5431716349212365e-08
1830,3.5485243188304594e-08,3.1310507520032616e-09
1831,3.274153215215847e-08,3.1182412207897414e-09
1832,7.306183391619925e-08,1.7588959622116818e-08
1833,6.834341093053808e-08,1.7375443306377747e-08
1834,9.241185949804276e-08,1.4935249481595747e-08
1835,5.067268915581735e-08,1.2100940693926532e-08
1836,4.5701099793404865e-08,8.736974699274924e-09
1837,4.800944708449606e-08,1.1132625488130543e-08
1838,4.86036455527028e-08,5.680945491803868e-09
1839,3.5656523067473245e-08,5.5931801412612e-09
1840,7.707323135264232e-08,1.4013314952876499e-08
1841,4.8154113585496816e-08,4.4301785351308354e-08
1842,6.439934452373564e-08,2.2808102073668124e-08
1843,3.7804230856863796e-08,1.8311423488626133e-08
1844,8.836583731408609e-08,1.2074834465636286e-08
1845,7.700714377278928e-08,3.0691253982695343e-08
1846,6.6741314697083e-08,1.6392604607062822e-08
1847,7.5505127483666e-08,1.240441438454809e-08
1848,8.527935335678194e-08,4.505324113779352e-08
1849,7.29009101974043e-08,4.692472543865733e-08
1850,4.1412874907109654e-08,1.765138968323754e-08
1851,5.7400004749297295e-08,1.483370937194195e-08
1852,7.161600024119252e-08,9.114764054629632e-09
1853,7.703791737867505e-08,1.911018188138769e-08
1854,4.8319680701069956e-08,5.7152309551611324e-09
1855,6.04990830765928e-08,2.0697054736729115e-08
1856,6.264399132760445e-08,1.6049286344355096e-08
1857,4.1980978693345605e-08,3.905207179855097e-08
1858,4.600055447667728e-08,3.2787628612140907e-08
1859,6.161529597648041e-08,1.782260738991681e-08
1860,7.140406665939736e-08,3.295572525985335e-08
1861,5.2818794671338765e-08,2.971057178058345e-08
1862,6.099281790739042e-08,8.584174260306554e-09
1863,5.743813957792554e-08,2.8469338886338846e-08
1864,7.863354056780736e-08,3.835782358407869e-09
1865,7.154403647291474e-08,1.8827376990770972e-08
1866,7.444387506438943e-08,1.4110277390955162e-08
1867,7.570385918143074e-08,6.308654931785895e-09
1868,8.694178177393042e-08,2.3711395513714706e-08
1869,5.567211758261692e-08,1.0743741896135361e-08
1870,6.135432073506308e-08,1.4335121534259088e-08
1871,1.072738911034321e-07,1.3807530230280918e-08
1872,9.010535251263718e-08,1.2094679036067646e-08
1873,8.200826329129995e-08,8.979006871356887e-09
1874,7.05003913026303e-08,2.5690820137924675e-08
1875,9.841026837875688e-08,1.2015206607429718e-08
1876,7.073837338111844e-08,1.0882827083946722e-08
1877,6.246663986075873e-08,3.0924081073635534e-09
1878,5.6163525385954927e-08,7.2469061862534545e-09
1879,7.514469757552433e-08,3.4823152361695975e-08
1880,5.776061584583658e-08,1.9895322722618403e-08
1881,7.111957955885373e-08,7.669758161910067e-09
1882,8.452339272935205e-08,9.983077475794744e-09
1883,8.088753844504026e-08,9.479008689083912e-09
1884,8.846274113238906e-08,1.9805090900604227e-09
1885,7.605849816627597e-08,1.8692343672910283e-08
1886,6.066255764380912e-08,1.4197620856748472e-08
1887,7.442974236937516e-08,1.7628096316002484e-08
1888,6.847864142400795e-08,1.1413106904001324e-08
1889,8.207329216247672e-08,1.0650732740202784e-08
1890,7.799719980994269e-08,5.898947996740844e-09
1891,9.880041318410804e-08,5.099376032546843e-09
1892,8.211750923692307e-08,8.149066310636499e-09
